total_counts	n_genes_by_counts	cellrank_total_counts	cellrank_n_genes_by_counts	cell_index
3641.0	1208	241	233	233
3648.0	1207	240	234	234
3778.0	1202	213	235	235
4019.0	1202	176	236	236
3917.0	1201	189	237	237
3340.0	1200	330	238	238
3599.0	1200	256	239	239
3538.0	1199	267	240	240
3806.0	1197	210	241	241
3254.0	1195	368	242	242
3420.0	1195	301	243	243
3320.0	1194	340	244	244
3092.0	1194	454	245	245
3297.0	1193	353	246	246
2964.0	1193	521	247	247
3282.0	1192	358	248	248
3505.0	1191	273	249	249
4073.0	1191	164	250	250
3738.0	1191	222	251	251
3715.0	1189	227	252	252
3695.0	1188	230	253	253
4142.0	1187	152	254	254
3899.0	1186	195	255	255
3806.0	1186	209	256	256
3619.0	1186	253	257	257
2883.0	1185	568	258	258
3668.0	1185	236	259	259
2532.0	1184	891	260	260
4185.0	1182	139	261	261
3305.0	1181	345	262	262
3633.0	1181	243	263	263
2434.0	1179	1016	264	264
3348.0	1179	327	265	265
3474.0	1178	284	266	266
3266.0	1177	361	267	267
3626.0	1176	247	268	268
3628.0	1175	245	269	269
2707.0	1175	725	270	270
3623.0	1174	251	271	271
4132.0	1173	154	272	272
3301.0	1172	348	273	273
3182.0	1170	410	274	274
3416.0	1169	302	275	275
4047.0	1169	171	276	276
3055.0	1168	471	277	277
3303.0	1168	346	278	278
3103.0	1168	444	279	279
3623.0	1167	252	280	280
2894.0	1165	561	281	281
3686.0	1165	232	282	282
3343.0	1160	329	283	283
2460.0	1159	979	284	284
3452.0	1158	293	285	285
4042.0	1157	173	286	286
3628.0	1157	246	287	287
3679.0	1155	233	288	288
3465.0	1155	289	289	289
2550.0	1155	873	290	290
3402.0	1155	309	291	291
3287.0	1153	356	292	292
3632.0	1153	244	293	293
3459.0	1153	292	294	294
3514.0	1152	271	295	295
3930.0	1150	187	296	296
3199.0	1150	403	297	297
3001.0	1149	496	298	298
3410.0	1147	306	299	299
3728.0	1146	224	300	300
3496.0	1145	278	301	301
3300.0	1144	350	302	302
3121.0	1141	437	303	303
3687.0	1141	231	304	304
3266.0	1141	360	305	305
3217.0	1138	395	306	306
3710.0	1136	228	307	307
3324.0	1136	336	308	308
3101.0	1135	447	309	309
3246.0	1135	375	310	310
3349.0	1135	326	311	311
3301.0	1134	349	312	312
3557.0	1134	262	313	313
3174.0	1131	412	314	314
3291.0	1130	355	315	315
3152.0	1130	421	316	316
3147.0	1129	423	317	317
3235.0	1128	382	318	318
2912.0	1127	551	319	319
3251.0	1127	371	320	320
3860.0	1126	201	321	321
3823.0	1126	208	322	322
3244.0	1124	376	323	323
3219.0	1123	392	324	324
3215.0	1121	397	325	325
3388.0	1121	313	326	326
3471.0	1120	286	327	327
3623.0	1119	250	328	328
3247.0	1119	374	329	329
3309.0	1118	344	330	330
2656.0	1118	761	331	331
3254.0	1118	369	332	332
4014.0	1118	177	333	333
3665.0	1117	237	334	334
3143.0	1116	426	335	335
3497.0	1116	277	336	336
3066.0	1114	465	337	337
3914.0	1112	192	338	338
3103.0	1112	445	339	339
3138.0	1112	429	340	340
2872.0	1111	583	341	341
3465.0	1110	287	342	342
2709.0	1109	723	343	343
3447.0	1109	294	344	344
3500.0	1108	275	345	345
3345.0	1108	328	346	346
3399.0	1104	310	347	347
3534.0	1104	268	348	348
3108.0	1103	441	349	349
3739.0	1102	221	350	350
3138.0	1102	428	351	351
3230.0	1102	387	352	352
3293.0	1101	354	353	353
3217.0	1101	396	354	354
2263.0	1101	1236	355	355
3302.0	1100	347	356	356
3203.0	1100	402	357	357
2659.0	1100	758	358	358
2262.0	1100	1239	359	359
3150.0	1100	422	360	360
2171.0	1099	1391	361	361
4232.0	1099	129	362	362
3130.0	1099	432	363	363
3077.0	1097	461	364	364
3108.0	1097	440	365	365
3046.0	1096	478	366	366
3142.0	1095	427	367	367
2991.0	1095	507	368	368
3962.0	1095	184	369	369
3176.0	1094	411	370	370
3244.0	1093	377	371	371
3184.0	1093	406	372	372
2996.0	1091	501	373	373
2676.0	1090	743	374	374
3255.0	1089	367	375	375
3084.0	1089	459	376	376
3602.0	1088	255	377	377
2608.0	1088	808	378	378
3235.0	1087	380	379	379
3099.0	1087	449	380	380
3515.0	1083	270	381	381
3553.0	1083	265	382	382
2278.0	1082	1215	383	383
2176.0	1080	1381	384	384
3634.0	1080	242	385	385
3223.0	1079	390	386	386
3427.0	1079	299	387	387
2965.0	1078	520	388	388
2744.0	1078	690	389	389
2864.0	1078	592	390	390
2374.0	1078	1079	391	391
3062.0	1078	467	392	392
2519.0	1078	904	393	393
3318.0	1076	341	394	394
3915.0	1076	190	395	395
2904.0	1075	559	396	396
2875.0	1075	579	397	397
3364.0	1074	322	398	398
3217.0	1074	394	399	399
3042.0	1073	480	400	400
2772.0	1071	654	401	401
3425.0	1070	300	402	402
3465.0	1070	288	403	403
2799.0	1069	636	404	404
3558.0	1068	261	405	405
3018.0	1068	490	406	406
3067.0	1064	464	407	407
2765.0	1064	662	408	408
3265.0	1063	362	409	409
4275.0	1063	125	410	410
3385.0	1062	314	411	411
2992.0	1061	506	412	412
2894.0	1061	562	413	413
3330.0	1061	334	414	414
2989.0	1061	508	415	415
3160.0	1060	419	416	416
3232.0	1059	385	417	417
3369.0	1058	320	418	418
3033.0	1058	485	419	419
1885.0	1058	1845	420	420
2832.0	1058	613	421	421
3065.0	1055	466	422	422
2258.0	1055	1251	423	423
2734.0	1053	699	424	424
3298.0	1053	352	425	425
3446.0	1053	295	426	426
3310.0	1053	343	427	427
2181.0	1052	1372	428	428
3493.0	1051	279	429	429
2213.0	1050	1321	430	430
2837.0	1049	609	431	431
2641.0	1049	773	432	432
2163.0	1047	1402	433	433
3052.0	1046	474	434	434
2780.0	1045	648	435	435
2974.0	1045	515	436	436
3395.0	1045	311	437	437
3069.0	1043	462	438	438
3528.0	1043	269	439	439
3840.0	1042	205	440	440
3116.0	1042	438	441	441
2878.0	1042	574	442	442
2879.0	1042	571	443	443
2956.0	1040	527	444	444
2703.0	1040	728	445	445
2947.0	1039	531	446	446
3250.0	1038	372	447	447
2003.0	1037	1659	448	448
2837.0	1035	607	449	449
3369.0	1035	319	450	450
3183.0	1035	409	451	451
3383.0	1034	316	452	452
3052.0	1033	475	453	453
3171.0	1033	413	454	454
2999.0	1032	498	455	455
2553.0	1031	871	456	456
2804.0	1031	630	457	457
3092.0	1030	455	458	458
3264.0	1030	364	459	459
3217.0	1030	393	460	460
3375.0	1030	318	461	461
3164.0	1029	417	462	462
3989.0	1029	180	463	463
2925.0	1028	542	464	464
3079.0	1028	460	465	465
2939.0	1027	533	466	466
3229.0	1026	388	467	467
3508.0	1026	272	468	468
3087.0	1026	457	469	469
2709.0	1025	722	470	470
2614.0	1024	801	471	471
2520.0	1023	902	472	472
2504.0	1023	925	473	473
3413.0	1022	304	474	474
2975.0	1022	514	475	475
2315.0	1022	1163	476	476
3107.0	1021	443	477	477
3211.0	1020	398	478	478
2985.0	1020	509	479	479
2562.0	1020	861	480	480
2582.0	1019	835	481	481
2357.0	1019	1101	482	482
2819.0	1018	620	483	483
2821.0	1018	617	484	484
3000.0	1018	497	485	485
3323.0	1018	338	486	486
2674.0	1017	745	487	487
2761.0	1017	671	488	488
3208.0	1017	400	489	489
2757.0	1016	675	490	490
3281.0	1015	359	491	491
2523.0	1015	899	492	492
2845.0	1014	603	493	493
2937.0	1014	534	494	494
2807.0	1013	629	495	495
2584.0	1013	834	496	496
3411.0	1013	305	497	497
2928.0	1013	538	498	498
3159.0	1012	420	499	499
2468.0	1012	972	500	500
3068.0	1012	463	501	501
2590.0	1011	827	502	502
2878.0	1011	575	503	503
2808.0	1010	626	504	504
3053.0	1010	473	505	505
3129.0	1010	433	506	506
2698.0	1010	732	507	507
2871.0	1008	584	508	508
3230.0	1008	386	509	509
3368.0	1007	321	510	510
2995.0	1007	503	511	511
2136.0	1007	1448	512	512
3015.0	1006	491	513	513
2732.0	1006	702	514	514
3489.0	1006	281	515	515
2833.0	1005	612	516	516
3006.0	1005	492	517	517
2418.0	1004	1035	518	518
2045.0	1004	1598	519	519
2386.0	1002	1068	520	520
2640.0	1002	775	521	521
1995.0	1002	1672	522	522
3129.0	1002	434	523	523
3144.0	1001	425	524	524
2731.0	1000	704	525	525
2958.0	999	524	526	526
3092.0	999	453	527	527
3061.0	999	468	528	528
3086.0	998	458	529	529
1988.0	997	1683	530	530
2829.0	997	614	531	531
2408.0	997	1041	532	532
2472.0	996	969	533	533
3473.0	996	285	534	534
2995.0	996	504	535	535
2915.0	995	547	536	536
1997.0	995	1669	537	537
3144.0	995	424	538	538
2808.0	995	627	539	539
3162.0	995	418	540	540
3243.0	994	378	541	541
2129.0	994	1463	542	542
2542.0	994	881	543	543
2231.0	994	1290	544	544
2886.0	994	566	545	545
3672.0	993	235	546	546
3236.0	993	379	547	547
2047.0	993	1594	548	548
2735.0	993	697	549	549
2304.0	993	1179	550	550
2581.0	992	838	551	551
2855.0	992	599	552	552
2483.0	992	957	553	553
2439.0	992	1010	554	554
2747.0	991	685	555	555
2264.0	989	1235	556	556
2961.0	989	523	557	557
3357.0	989	325	558	558
1948.0	988	1749	559	559
2937.0	988	535	560	560
3190.0	988	405	561	561
2148.0	987	1430	562	562
2728.0	986	706	563	563
2775.0	986	650	564	564
3503.0	986	274	565	565
2154.0	985	1420	566	566
2439.0	985	1009	567	567
2980.0	984	510	568	568
3261.0	983	365	569	569
2261.0	983	1242	570	570
3377.0	983	317	571	571
2801.0	983	634	572	572
2799.0	982	637	573	573
3234.0	981	384	574	574
2730.0	981	705	575	575
2969.0	980	517	576	576
2542.0	980	879	577	577
2134.0	980	1453	578	578
3282.0	980	357	579	579
2754.0	980	676	580	580
2513.0	979	911	581	581
2665.0	979	752	582	582
2879.0	979	573	583	583
2979.0	979	511	584	584
3047.0	978	477	585	585
2500.0	978	933	586	586
2214.0	978	1317	587	587
2704.0	978	727	588	588
2419.0	977	1033	589	589
2644.0	977	772	590	590
2632.0	977	788	591	591
2384.0	977	1074	592	592
2711.0	976	717	593	593
2433.0	975	1017	594	594
2480.0	975	959	595	595
2773.0	975	652	596	596
3100.0	975	448	597	597
2297.0	975	1191	598	598
3460.0	974	291	599	599
2282.0	974	1210	600	600
1954.0	974	1741	601	601
2770.0	973	657	602	602
3210.0	973	399	603	603
3061.0	973	470	604	604
2693.0	972	735	605	605
3169.0	972	414	606	606
2934.0	972	536	607	607
2737.0	971	696	608	608
2857.0	971	597	609	609
2921.0	971	544	610	610
2614.0	971	802	611	611
3314.0	970	342	612	612
2460.0	970	981	613	613
2344.0	970	1119	614	614
1945.0	969	1754	615	615
3415.0	969	303	616	616
2747.0	969	684	617	617
3338.0	968	331	618	618
2605.0	967	814	619	619
3128.0	967	436	620	620
2998.0	967	499	621	621
2909.0	967	556	622	622
3003.0	967	494	623	623
2651.0	967	767	624	624
3257.0	966	366	625	625
2507.0	966	919	626	626
2245.0	966	1272	627	627
3205.0	966	401	628	628
2921.0	965	543	629	629
2698.0	965	731	630	630
3114.0	964	439	631	631
2914.0	964	549	632	632
2978.0	964	512	633	633
2910.0	964	554	634	634
2913.0	963	550	635	635
2741.0	963	692	636	636
2910.0	962	553	637	637
2721.0	962	711	638	638
3020.0	962	489	639	639
2672.0	960	748	640	640
2243.0	960	1278	641	641
2874.0	960	581	642	642
2639.0	960	776	643	643
3002.0	960	495	644	644
2526.0	959	897	645	645
2056.0	959	1572	646	646
3037.0	958	481	647	647
2837.0	958	608	648	648
2451.0	958	992	649	649
2040.0	957	1606	650	650
2748.0	956	682	651	651
2869.0	956	586	652	652
2613.0	956	803	653	653
2019.0	956	1634	654	654
3235.0	956	383	655	655
2848.0	955	601	656	656
2501.0	955	931	657	657
3299.0	955	351	658	658
2734.0	955	700	659	659
2941.0	954	532	660	660
2573.0	954	845	661	661
2479.0	954	961	662	662
3333.0	953	332	663	663
2893.0	953	563	664	664
2189.0	953	1355	665	665
2752.0	952	679	666	666
2874.0	952	580	667	667
2534.0	952	889	668	668
2746.0	952	688	669	669
2857.0	952	596	670	670
3198.0	952	404	671	671
2788.0	951	646	672	672
2057.0	951	1571	673	673
2569.0	951	849	674	674
3034.0	950	483	675	675
2074.0	950	1543	676	676
2722.0	950	710	677	677
3021.0	948	487	678	678
2223.0	948	1304	679	679
2884.0	948	567	680	680
2364.0	948	1093	681	681
2537.0	948	887	682	682
2481.0	948	958	683	683
2129.0	947	1462	684	684
2901.0	947	560	685	685
2196.0	946	1342	686	686
2556.0	946	868	687	687
2579.0	946	840	688	688
2087.0	946	1528	689	689
2912.0	945	552	690	690
2442.0	945	1007	691	691
3024.0	945	486	692	692
2553.0	945	869	693	693
2562.0	945	862	694	694
2589.0	945	829	695	695
2696.0	945	733	696	696
2432.0	944	1020	697	697
2793.0	944	640	698	698
2823.0	944	616	699	699
2893.0	944	564	700	700
2652.0	943	765	701	701
3107.0	943	442	702	702
1980.0	943	1695	703	703
2955.0	943	528	704	704
2693.0	943	736	705	705
2448.0	943	997	706	706
2471.0	942	971	707	707
1849.0	942	1896	708	708
2532.0	942	892	709	709
2710.0	942	721	710	710
2634.0	942	783	711	711
2567.0	941	854	712	712
2396.0	941	1053	713	713
2747.0	941	683	714	714
2187.0	941	1361	715	715
2158.0	940	1412	716	716
2292.0	940	1199	717	717
1933.0	940	1776	718	718
2716.0	940	713	719	719
2067.0	940	1558	720	720
2996.0	940	502	721	721
2917.0	940	546	722	722
2723.0	940	709	723	723
2829.0	939	615	724	724
2194.0	939	1344	725	725
2854.0	939	600	726	726
2276.0	938	1220	727	727
3250.0	938	373	728	728
2711.0	938	718	729	729
2844.0	938	605	730	730
2279.0	937	1214	731	731
2520.0	937	903	732	732
2140.0	937	1443	733	733
2997.0	937	500	734	734
2869.0	937	587	735	735
2326.0	936	1150	736	736
2213.0	936	1320	737	737
2811.0	936	625	738	738
2879.0	935	570	739	739
2738.0	935	695	740	740
2684.0	935	740	741	741
2598.0	935	817	742	742
2957.0	935	525	743	743
3330.0	935	335	744	744
3676.0	934	234	745	745
2716.0	934	714	746	746
2713.0	934	716	747	747
2836.0	934	610	748	748
3091.0	933	456	749	749
3251.0	933	370	750	750
2037.0	932	1609	751	751
2671.0	932	749	752	752
2517.0	931	907	753	753
2162.0	931	1406	754	754
2676.0	931	742	755	755
2877.0	930	576	756	756
1955.0	929	1740	757	757
1974.0	929	1710	758	758
2499.0	929	934	759	759
2641.0	928	774	760	760
2328.0	928	1145	761	761
3220.0	928	391	762	762
2762.0	928	670	763	763
2501.0	927	930	764	764
2815.0	927	624	765	765
2993.0	927	505	766	766
2744.0	927	691	767	767
2588.0	927	830	768	768
2767.0	927	660	769	769
3050.0	927	476	770	770
2388.0	926	1066	771	771
2632.0	926	787	772	772
2090.0	926	1523	773	773
2276.0	925	1219	774	774
2925.0	925	541	775	775
2561.0	925	863	776	776
2545.0	925	878	777	777
2548.0	925	876	778	778
3166.0	925	416	779	779
2966.0	924	519	780	780
2863.0	924	593	781	781
2820.0	924	619	782	782
2627.0	923	791	783	783
3579.0	923	257	784	784
3183.0	923	407	785	785
3166.0	923	415	786	786
1911.0	923	1810	787	787
2637.0	923	779	788	788
2701.0	923	730	789	789
2237.0	923	1286	790	790
2759.0	922	672	791	791
2927.0	922	539	792	792
2502.0	922	929	793	793
2062.0	922	1565	794	794
2512.0	922	914	795	795
2402.0	920	1050	796	796
2005.0	920	1658	797	797
2802.0	920	632	798	798
2625.0	919	793	799	799
2334.0	919	1138	800	800
3137.0	919	430	801	801
2491.0	919	948	802	802
2433.0	918	1018	803	803
2310.0	918	1171	804	804
3358.0	917	324	805	805
2393.0	917	1057	806	806
2217.0	917	1313	807	807
2168.0	916	1393	808	808
1879.0	916	1850	809	809
1800.0	915	1958	810	810
2845.0	915	604	811	811
2028.0	915	1618	812	812
2874.0	914	582	813	813
2460.0	914	978	814	814
2573.0	914	844	815	815
2919.0	914	545	816	816
2387.0	914	1067	817	817
2634.0	914	782	818	818
2972.0	914	516	819	819
2664.0	913	754	820	820
3359.0	913	323	821	821
2060.0	913	1567	822	822
2909.0	913	555	823	823
1721.0	912	2058	824	824
2788.0	912	645	825	825
2498.0	912	938	826	826
2120.0	912	1474	827	827
2541.0	911	884	828	828
2815.0	911	623	829	829
2280.0	911	1213	830	830
2228.0	910	1297	831	831
2520.0	910	901	832	832
3034.0	910	484	833	833
2182.0	910	1370	834	834
2766.0	910	661	835	835
2516.0	909	910	836	836
2654.0	909	763	837	837
2580.0	909	839	838	838
3321.0	909	339	839	839
1812.0	908	1941	840	840
2667.0	908	751	841	841
2229.0	908	1293	842	842
2772.0	907	653	843	843
3044.0	907	479	844	844
2638.0	907	777	845	845
1873.0	907	1857	846	846
2581.0	907	836	847	847
2206.0	907	1334	848	848
2702.0	907	729	849	849
1941.0	906	1763	850	850
2502.0	906	927	851	851
2820.0	906	618	852	852
2617.0	906	799	853	853
2551.0	906	872	854	854
2172.0	906	1388	855	855
2794.0	905	639	856	856
2360.0	905	1096	857	857
2364.0	905	1094	858	858
2052.0	905	1579	859	859
1799.0	904	1959	860	860
2522.0	904	900	861	861
2862.0	904	594	862	862
2609.0	904	807	863	863
2856.0	904	598	864	864
2119.0	904	1477	865	865
2154.0	903	1422	866	866
2188.0	903	1356	867	867
2373.0	903	1082	868	868
2493.0	902	945	869	869
2411.0	902	1037	870	870
2245.0	902	1274	871	871
2607.0	902	809	872	872
2867.0	901	588	873	873
2563.0	901	859	874	874
2559.0	901	865	875	875
2338.0	901	1134	876	876
2963.0	900	522	877	877
3055.0	900	472	878	878
2807.0	900	628	879	879
2658.0	900	759	880	880
2611.0	900	805	881	881
2335.0	899	1136	882	882
3235.0	899	381	883	883
2559.0	899	866	884	884
2478.0	898	962	885	885
2886.0	898	565	886	886
2790.0	898	642	887	887
2365.0	898	1092	888	888
2423.0	898	1027	889	889
2392.0	897	1058	890	890
2396.0	897	1055	891	891
1939.0	897	1767	892	892
2343.0	895	1120	893	893
2068.0	895	1553	894	894
2194.0	895	1345	895	895
2587.0	894	832	896	896
2355.0	894	1103	897	897
2957.0	894	526	898	898
2425.0	894	1026	899	899
2323.0	894	1154	900	900
2636.0	893	780	901	901
2622.0	893	796	902	902
2301.0	892	1182	903	903
2746.0	892	686	904	904
2575.0	892	842	905	905
1723.0	892	2054	906	906
2403.0	892	1047	907	907
2484.0	891	954	908	908
1869.0	891	1864	909	909
2206.0	891	1331	910	910
2300.0	891	1185	911	911
2010.0	890	1650	912	912
1734.0	890	2039	913	913
1869.0	890	1868	914	914
2592.0	889	823	915	915
2553.0	889	870	916	916
2068.0	889	1556	917	917
2567.0	889	852	918	918
2314.0	889	1168	919	919
2746.0	889	687	920	920
2270.0	889	1230	921	921
2420.0	888	1031	922	922
2751.0	888	681	923	923
2758.0	888	674	924	924
2866.0	888	589	925	925
2112.0	888	1485	926	926
2240.0	888	1283	927	927
2262.0	887	1237	928	928
2575.0	887	843	929	929
1918.0	887	1796	930	930
2592.0	887	824	931	931
2301.0	886	1181	932	932
2454.0	886	988	933	933
2759.0	886	673	934	934
2506.0	886	922	935	935
2928.0	886	537	936	936
2068.0	885	1554	937	937
2754.0	885	677	938	938
2070.0	885	1552	939	939
2317.0	885	1161	940	940
2471.0	885	970	941	941
1992.0	885	1676	942	942
2638.0	884	778	943	943
2293.0	884	1198	944	944
2338.0	884	1131	945	945
2203.0	884	1335	946	946
2384.0	883	1075	947	947
2176.0	883	1380	948	948
2763.0	883	669	949	949
2134.0	882	1454	950	950
2327.0	882	1146	951	951
2063.0	882	1563	952	952
2272.0	882	1226	953	953
2586.0	881	833	954	954
2603.0	881	815	955	955
2610.0	881	806	956	956
2497.0	881	939	957	957
2273.0	881	1222	958	958
2673.0	881	747	959	959
2523.0	881	898	960	960
2876.0	880	578	961	961
2411.0	880	1038	962	962
2280.0	880	1212	963	963
2620.0	880	797	964	964
2452.0	880	990	965	965
2540.0	880	885	966	966
2071.0	879	1548	967	967
2286.0	879	1208	968	968
2752.0	879	678	969	969
2801.0	879	633	970	970
2716.0	879	712	971	971
2549.0	879	874	972	972
2185.0	879	1366	973	973
2450.0	878	995	974	974
2428.0	878	1024	975	975
2490.0	878	950	976	976
2468.0	878	973	977	977
2549.0	878	875	978	978
2498.0	878	936	979	979
2139.0	878	1444	980	980
2683.0	877	741	981	981
2879.0	877	572	982	982
2688.0	877	739	983	983
2567.0	876	853	984	984
2370.0	876	1086	985	985
2625.0	876	792	986	986
2022.0	876	1625	987	987
2529.0	876	895	988	988
1915.0	876	1802	989	989
2517.0	875	906	990	990
1810.0	875	1943	991	991
3005.0	875	493	992	992
2206.0	874	1332	993	993
2882.0	874	569	994	994
3096.0	873	452	995	995
2978.0	873	513	996	996
2908.0	873	557	997	997
2187.0	873	1362	998	998
1737.0	872	2035	999	999
2595.0	872	821	1000	1000
2531.0	872	893	1001	1001
2224.0	872	1302	1002	1002
2767.0	872	659	1003	1003
2252.0	872	1264	1004	1004
2505.0	872	924	1005	1005
2858.0	872	595	1006	1006
2949.0	871	530	1007	1007
1980.0	871	1696	1008	1008
2590.0	871	826	1009	1009
2765.0	871	663	1010	1010
1980.0	870	1697	1011	1011
2125.0	870	1469	1012	1012
2517.0	870	909	1013	1013
