# Version: v1.0.16-src
sample_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,437.80,437.80,1.03,0.33,334,94.15
Read 2 (I),20.84,20.84,0.00,nan,643,94.86
Read 3 (I),20.40,20.40,0.00,nan,646,79.75
Read 4,437.72,437.72,1.00,0.71,326,86.64
Non-indexed,875.52,875.52,1.01,0.52,330,90.40
Total,916.77,916.77,1.01,0.52,487,90.26


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
3,1,56,2355 +/- 0,77.63 +/- 1.00,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,187.46,95.34,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,593 +/- 33
3,2,56,2355 +/- 0,78.89 +/- 0.90,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,190.51,95.70,1.34,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,651 +/- 28
4,-,112,2355 +/- 0,76.56 +/- 1.26,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,369.79,95.41,2.59,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,672 +/- 43
4,1,56,2355 +/- 0,76.02 +/- 1.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,183.59,95.20,1.29,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,643 +/- 31
4,2,56,2355 +/- 0,77.10 +/- 1.23,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,186.20,95.63,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,702 +/- 32
5,-,112,2355 +/- 0,75.38 +/- 0.98,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,364.06,95.43,2.55,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,704 +/- 41
5,1,56,2355 +/- 0,75.09 +/- 1.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,181.35,95.24,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,679 +/- 31
5,2,56,2355 +/- 0,75.66 +/- 0.83,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,182.71,95.62,1.28,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,730 +/- 34
6,-,112,2355 +/- 0,79.76 +/- 0.77,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,385.24,94.83,2.70,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,581 +/- 27
6,1,56,2355 +/- 0,79.49 +/- 0.81,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,191.96,94.36,1.35,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,563 +/- 19
6,2,56,2355 +/- 0,80.04 +/- 0.63,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,193.28,95.30,1.35,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,598 +/- 22
7,-,112,2355 +/- 0,79.17 +/- 3.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,382.38,94.69,2.68,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,554 +/- 41
7,1,56,2355 +/- 0,77.73 +/- 3.49,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,187.71,94.12,1.32,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,532 +/- 23
7,2,56,2355 +/- 0,80.61 +/- 1.55,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,194.67,95.23,1.36,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,575 +/- 44
8,-,112,2355 +/- 0,75.86 +/- 1.63,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,366.41,93.17,2.57,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,592 +/- 37
8,1,56,2355 +/- 0,74.88 +/- 1.72,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,180.84,91.77,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,565 +/- 24
8,2,56,2355 +/- 0,76.84 +/- 0.66,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,185.57,94.54,1.30,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,619 +/- 27
Read 3 (I)
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,76.69 +/- 2.37,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,370.41,72.47,2.51,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,663 +/- 80
1,1,56,2355 +/- 0,75.38 +/- 2.57,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,182.04,68.20,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,596 +/- 48
1,2,56,2355 +/- 0,78.00 +/- 1.12,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,188.37,76.89,1.23,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,729 +/- 40
2,-,112,2355 +/- 0,73.96 +/- 1.74,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,357.20,73.42,2.33,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,696 +/- 55
2,1,56,2355 +/- 0,72.60 +/- 1.34,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,175.33,69.75,1.23,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,662 +/- 42
2,2,56,2355 +/- 0,75.31 +/- 0.78,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,181.88,77.51,1.10,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,730 +/- 44
3,-,112,2355 +/- 0,78.26 +/- 1.14,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,377.98,72.64,2.65,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,689 +/- 45
3,1,56,2355 +/- 0,77.63 +/- 1.00,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,187.46,69.34,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,665 +/- 39
3,2,56,2355 +/- 0,78.89 +/- 0.90,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,190.51,75.88,1.34,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,712 +/- 37
4,-,112,2355 +/- 0,76.56 +/- 1.26,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,369.79,74.64,2.59,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,718 +/- 60
4,1,56,2355 +/- 0,76.02 +/- 1.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,183.59,70.42,1.29,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,688 +/- 55
4,2,56,2355 +/- 0,77.10 +/- 1.23,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,186.20,78.80,1.30,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,748 +/- 49
5,-,112,2355 +/- 0,75.38 +/- 0.98,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,364.06,78.02,2.38,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,711 +/- 85
5,1,56,2355 +/- 0,75.09 +/- 1.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,181.35,70.60,1.18,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,663 +/- 80
5,2,56,2355 +/- 0,75.66 +/- 0.83,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,182.71,85.40,1.19,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,759 +/- 61
6,-,112,2355 +/- 0,79.76 +/- 0.77,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,385.24,87.97,2.70,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,564 +/- 28
6,1,56,2355 +/- 0,79.49 +/- 0.81,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,191.96,88.00,1.35,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,544 +/- 22
6,2,56,2355 +/- 0,80.04 +/- 0.63,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,193.28,87.95,1.35,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,583 +/- 18
7,-,112,2355 +/- 0,79.17 +/- 3.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,382.38,88.18,2.68,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,541 +/- 40
7,1,56,2355 +/- 0,77.73 +/- 3.49,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,187.71,88.07,1.32,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,520 +/- 30
7,2,56,2355 +/- 0,80.61 +/- 1.55,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,194.67,88.29,1.36,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,562 +/- 38
8,-,112,2355 +/- 0,75.86 +/- 1.63,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,366.41,89.24,2.57,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,584 +/- 32
8,1,56,2355 +/- 0,74.88 +/- 1.72,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,180.84,88.87,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,565 +/- 26
8,2,56,2355 +/- 0,76.84 +/- 0.66,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,185.57,89.61,1.30,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,604 +/- 25
Read 4
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,76.69 +/- 2.37,0.155 / 0.083,0.153*c + 1.363,0.073*c + 0.870,482.99,370.41,89.12,54.53,147,0.84 +/- 0.08,0.76 +/- 0.21,0.30 +/- 0.16,0.43 +/- 0.20,0.49 +/- 0.21,372 +/- 26
1,1,56,2355 +/- 0,75.38 +/- 2.57,0.157 / 0.081,0.150*c + 1.592,0.070*c + 0.943,241.49,182.04,88.27,26.80,-,0.87 +/- 0.04,0.73 +/- 0.08,0.28 +/- 0.03,0.41 +/- 0.04,0.46 +/- 0.05,354 +/- 16
1,2,56,2355 +/- 0,78.00 +/- 1.12,0.152 / 0.085,0.156*c + 1.135,0.075*c + 0.796,241.49,188.37,89.95,27.73,-,0.81 +/- 0.10,0.78 +/- 0.29,0.33 +/- 0.22,0.45 +/- 0.28,0.52 +/- 0.29,391 +/- 20
2,-,112,2355 +/- 0,73.96 +/- 1.74,0.156 / 0.088,0.151*c + 1.371,0.079*c + 0.788,482.99,357.20,88.33,52.59,147,0.78 +/- 0.02,0.82 +/- 0.24,0.31 +/- 0.16,0.42 +/- 0.12,0.50 +/- 0.19,393 +/- 25
2,1,56,2355 +/- 0,72.60 +/- 1.34,0.158 / 0.087,0.149*c + 1.545,0.077*c + 0.803,241.49,175.33,87.52,25.81,-,0.80 +/- 0.02,0.82 +/- 0.17,0.29 +/- 0.03,0.43 +/- 0.06,0.50 +/- 0.08,373 +/- 15
2,2,56,2355 +/- 0,75.31 +/- 0.78,0.154 / 0.089,0.154*c + 1.197,0.081*c + 0.773,241.49,181.88,89.11,26.77,-,0.77 +/- 0.02,0.82 +/- 0.30,0.33 +/- 0.23,0.41 +/- 0.16,0.50 +/- 0.26,412 +/- 16
3,-,112,2355 +/- 0,78.26 +/- 1.14,0.152 / 0.084,0.151*c + 1.242,0.075*c + 0.819,482.99,377.98,89.22,55.64,147,0.82 +/- 0.04,0.73 +/- 0.18,0.27 +/- 0.09,0.40 +/- 0.16,0.46 +/- 0.17,372 +/- 24
3,1,56,2355 +/- 0,77.63 +/- 1.00,0.157 / 0.084,0.149*c + 1.420,0.074*c + 0.829,241.49,187.46,88.72,27.60,-,0.84 +/- 0.02,0.69 +/- 0.08,0.27 +/- 0.03,0.39 +/- 0.05,0.43 +/- 0.05,357 +/- 22
3,2,56,2355 +/- 0,78.89 +/- 0.90,0.147 / 0.084,0.153*c + 1.063,0.077*c + 0.808,241.49,190.51,89.71,28.04,-,0.80 +/- 0.05,0.76 +/- 0.23,0.28 +/- 0.13,0.42 +/- 0.22,0.49 +/- 0.23,387 +/- 15
4,-,112,2355 +/- 0,76.56 +/- 1.26,0.149 / 0.080,0.150*c + 1.230,0.074*c + 0.838,482.99,369.79,89.07,54.44,147,0.77 +/- 0.06,0.81 +/- 0.44,0.32 +/- 0.24,0.47 +/- 0.40,0.52 +/- 0.41,395 +/- 22
4,1,56,2355 +/- 0,76.02 +/- 1.05,0.152 / 0.078,0.148*c + 1.413,0.073*c + 0.876,241.49,183.59,88.78,27.03,-,0.80 +/- 0.05,0.71 +/- 0.08,0.27 +/- 0.03,0.39 +/- 0.05,0.44 +/- 0.05,383 +/- 20
4,2,56,2355 +/- 0,77.10 +/- 1.23,0.147 / 0.082,0.152*c + 1.047,0.076*c + 0.801,241.49,186.20,89.35,27.41,-,0.74 +/- 0.07,0.92 +/- 0.61,0.37 +/- 0.34,0.56 +/- 0.55,0.61 +/- 0.57,408 +/- 16
5,-,112,2355 +/- 0,75.38 +/- 0.98,0.151 / 0.084,0.152*c + 1.163,0.075*c + 0.814,482.99,364.06,89.37,53.58,147,0.64 +/- 0.06,0.87 +/- 0.39,0.37 +/- 0.32,0.50 +/- 0.36,0.57 +/- 0.36,412 +/- 21
5,1,56,2355 +/- 0,75.09 +/- 1.05,0.153 / 0.084,0.149*c + 1.357,0.073*c + 0.855,241.49,181.35,89.38,26.70,-,0.66 +/- 0.04,0.77 +/- 0.08,0.30 +/- 0.03,0.43 +/- 0.05,0.49 +/- 0.05,401 +/- 19
5,2,56,2355 +/- 0,75.66 +/- 0.83,0.149 / 0.084,0.154*c + 0.969,0.077*c + 0.773,241.49,182.71,89.36,26.88,-,0.61 +/- 0.07,0.98 +/- 0.53,0.44 +/- 0.44,0.56 +/- 0.50,0.65 +/- 0.49,423 +/- 18
6,-,112,2355 +/- 0,79.76 +/- 0.77,0.166 / 0.092,0.141*c + 1.776,0.064*c + 1.207,482.99,385.24,83.65,56.72,147,1.35 +/- 0.06,0.55 +/- 0.29,0.19 +/- 0.24,0.27 +/- 0.20,0.33 +/- 0.23,224 +/- 14
6,1,56,2355 +/- 0,79.49 +/- 0.81,0.173 / 0.092,0.139*c + 1.992,0.063*c + 1.222,241.49,191.96,83.16,28.26,-,1.37 +/- 0.03,0.49 +/- 0.13,0.15 +/- 0.02,0.24 +/- 0.06,0.28 +/- 0.08,214 +/- 8
