# Version: v1.0.16-src
example_run_id
Level,Yield,Projected Yield,Aligned,Error Rate,Intensity C1,%>=Q30
Read 1,450.55,450.55,2.08,0.34,308,93.44
Read 2 (I),21.00,21.00,0.00,nan,528,94.38
Read 3,450.53,450.53,2.01,1.00,266,85.99
Non-indexed,901.08,901.08,2.04,0.67,287,89.72
Total,922.08,922.08,2.04,0.67,367,89.82


Read 1
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
3,1,56,2355 +/- 0,76.62 +/- 1.91,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,185.03,94.66,1.30,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,503 +/- 22
3,2,56,2355 +/- 0,80.87 +/- 0.85,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,195.28,95.37,1.37,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,524 +/- 25
4,-,112,2355 +/- 0,76.07 +/- 2.47,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,367.43,94.52,2.57,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,531 +/- 33
4,1,56,2355 +/- 0,73.98 +/- 1.53,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,178.66,94.24,1.25,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,528 +/- 29
4,2,56,2355 +/- 0,78.17 +/- 1.00,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,188.77,94.79,1.32,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,533 +/- 36
5,-,112,2355 +/- 0,78.13 +/- 2.45,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,377.37,94.64,2.64,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,538 +/- 51
5,1,56,2355 +/- 0,76.04 +/- 1.58,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,183.62,94.14,1.29,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,530 +/- 47
5,2,56,2355 +/- 0,80.23 +/- 0.83,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,193.74,95.11,1.36,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,546 +/- 55
6,-,112,2355 +/- 0,78.73 +/- 1.63,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,380.24,94.73,2.66,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,547 +/- 43
6,1,56,2355 +/- 0,77.36 +/- 0.91,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,186.81,94.32,1.31,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,537 +/- 39
6,2,56,2355 +/- 0,80.10 +/- 0.86,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,193.43,95.12,1.35,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,556 +/- 44
7,-,112,2355 +/- 0,77.13 +/- 2.49,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,372.54,94.56,2.61,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,490 +/- 33
7,1,56,2355 +/- 0,74.82 +/- 1.05,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,180.70,94.23,1.27,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,479 +/- 27
7,2,56,2355 +/- 0,79.44 +/- 0.76,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,191.84,94.86,1.34,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,501 +/- 35
8,-,112,2355 +/- 0,82.56 +/- 1.50,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,482.99,398.74,92.62,2.79,0,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,494 +/- 31
8,1,56,2355 +/- 0,81.63 +/- 0.96,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,197.12,91.21,1.38,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,487 +/- 29
8,2,56,2355 +/- 0,83.49 +/- 1.35,0.000 / 0.000,0.000*c - 0.000,0.000*c - 0.000,241.49,201.61,94.00,1.41,-,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,0.00 +/- 0.00,502 +/- 32
Read 3
Lane,Surface,Tiles,Density,Cluster PF,Phas/Prephas,Phasing Equation,Prephas Equation,Reads,Reads PF,%>=Q30,Yield,Cycles Error,Aligned,Error,Error (35),Error (75),Error (100),Intensity C1
1,-,112,2355 +/- 0,74.00 +/- 3.48,0.141 / 0.091,0.154*c + 0.834,0.090*c + 0.846,482.99,357.41,83.86,53.70,150,1.65 +/- 0.10,1.16 +/- 0.39,0.33 +/- 0.19,0.57 +/- 0.24,0.68 +/- 0.29,273 +/- 11
1,1,56,2355 +/- 0,70.85 +/- 1.88,0.143 / 0.092,0.150*c + 1.044,0.088*c + 0.904,241.49,171.09,80.95,25.71,-,1.66 +/- 0.09,1.38 +/- 0.29,0.35 +/- 0.06,0.68 +/- 0.14,0.81 +/- 0.18,264 +/- 7
1,2,56,2355 +/- 0,77.15 +/- 0.86,0.140 / 0.090,0.158*c + 0.624,0.092*c + 0.787,241.49,186.32,86.54,28.00,-,1.64 +/- 0.10,0.95 +/- 0.36,0.30 +/- 0.27,0.47 +/- 0.28,0.55 +/- 0.32,282 +/- 6
2,-,112,2355 +/- 0,75.50 +/- 2.80,0.139 / 0.092,0.152*c + 0.847,0.090*c + 0.825,482.99,364.66,85.03,54.79,150,1.69 +/- 0.06,1.01 +/- 0.24,0.28 +/- 0.14,0.46 +/- 0.12,0.55 +/- 0.16,272 +/- 19
2,1,56,2355 +/- 0,72.78 +/- 0.83,0.138 / 0.089,0.149*c + 1.077,0.088*c + 0.829,241.49,175.76,83.27,26.41,-,1.65 +/- 0.04,1.14 +/- 0.20,0.30 +/- 0.03,0.52 +/- 0.07,0.63 +/- 0.11,257 +/- 9
2,2,56,2355 +/- 0,78.22 +/- 0.33,0.139 / 0.094,0.156*c + 0.617,0.092*c + 0.822,241.49,188.90,86.67,28.38,-,1.73 +/- 0.04,0.87 +/- 0.20,0.26 +/- 0.19,0.39 +/- 0.13,0.47 +/- 0.15,287 +/- 14
3,-,112,2355 +/- 0,78.74 +/- 2.59,0.142 / 0.093,0.154*c + 0.628,0.091*c + 0.749,482.99,380.31,87.06,57.15,150,1.79 +/- 0.08,0.99 +/- 0.23,0.27 +/- 0.11,0.47 +/- 0.15,0.56 +/- 0.20,276 +/- 21
3,1,56,2355 +/- 0,76.62 +/- 1.91,0.143 / 0.092,0.150*c + 0.849,0.090*c + 0.764,241.49,185.03,85.49,27.80,-,1.84 +/- 0.06,1.02 +/- 0.09,0.29 +/- 0.02,0.49 +/- 0.04,0.56 +/- 0.04,263 +/- 14
3,2,56,2355 +/- 0,80.87 +/- 0.85,0.140 / 0.094,0.157*c + 0.407,0.093*c + 0.735,241.49,195.28,88.54,29.34,-,1.74 +/- 0.07,0.95 +/- 0.30,0.25 +/- 0.15,0.45 +/- 0.21,0.55 +/- 0.27,290 +/- 18
4,-,112,2355 +/- 0,76.07 +/- 2.47,0.140 / 0.095,0.152*c + 0.696,0.091*c + 0.773,482.99,367.43,86.32,55.20,150,1.63 +/- 0.17,0.96 +/- 0.17,0.28 +/- 0.14,0.47 +/- 0.15,0.54 +/- 0.14,276 +/- 21
4,1,56,2355 +/- 0,73.98 +/- 1.53,0.142 / 0.093,0.148*c + 0.914,0.089*c + 0.772,241.49,178.66,84.84,26.83,-,1.60 +/- 0.17,1.03 +/- 0.13,0.29 +/- 0.02,0.48 +/- 0.05,0.57 +/- 0.06,265 +/- 14
4,2,56,2355 +/- 0,78.17 +/- 1.00,0.139 / 0.096,0.156*c + 0.478,0.093*c + 0.773,241.49,188.77,87.72,28.37,-,1.65 +/- 0.18,0.90 +/- 0.18,0.28 +/- 0.19,0.45 +/- 0.20,0.51 +/- 0.19,288 +/- 21
5,-,112,2355 +/- 0,78.13 +/- 2.45,0.137 / 0.092,0.154*c + 0.721,0.092*c + 0.836,482.99,377.37,85.81,56.69,150,1.80 +/- 0.28,0.93 +/- 0.21,0.25 +/- 0.12,0.43 +/- 0.15,0.51 +/- 0.16,268 +/- 24
5,1,56,2355 +/- 0,76.04 +/- 1.58,0.137 / 0.090,0.150*c + 0.929,0.090*c + 0.804,241.49,183.62,84.19,27.59,-,1.80 +/- 0.28,1.00 +/- 0.12,0.27 +/- 0.02,0.46 +/- 0.04,0.54 +/- 0.05,256 +/- 16
5,2,56,2355 +/- 0,80.23 +/- 0.83,0.136 / 0.094,0.157*c + 0.512,0.093*c + 0.868,241.49,193.74,87.34,29.10,-,1.80 +/- 0.29,0.86 +/- 0.26,0.23 +/- 0.17,0.39 +/- 0.20,0.49 +/- 0.22,281 +/- 25
6,-,112,2355 +/- 0,78.73 +/- 1.63,0.139 / 0.094,0.154*c + 0.708,0.092*c + 0.913,482.99,380.24,85.74,57.12,150,1.82 +/- 0.21,0.92 +/- 0.21,0.24 +/- 0.07,0.42 +/- 0.11,0.50 +/- 0.18,271 +/- 23
6,1,56,2355 +/- 0,77.36 +/- 0.91,0.141 / 0.094,0.151*c + 0.919,0.090*c + 0.894,241.49,186.81,84.20,28.07,-,1.78 +/- 0.22,1.01 +/- 0.13,0.27 +/- 0.02,0.46 +/- 0.04,0.54 +/- 0.05,258 +/- 14
6,2,56,2355 +/- 0,80.10 +/- 0.86,0.136 / 0.094,0.158*c + 0.496,0.094*c + 0.933,241.49,193.43,87.22,29.06,-,1.86 +/- 0.21,0.83 +/- 0.24,0.20 +/- 0.09,0.37 +/- 0.13,0.46 +/- 0.24,283 +/- 23
7,-,112,2355 +/- 0,77.13 +/- 2.49,0.142 / 0.097,0.155*c + 0.779,0.090*c + 0.921,482.99,372.54,84.72,55.98,150,1.82 +/- 0.09,1.02 +/- 0.25,0.27 +/- 0.09,0.46 +/- 0.14,0.55 +/- 0.17,260 +/- 23
7,1,56,2355 +/- 0,74.82 +/- 1.05,0.141 / 0.094,0.151*c + 0.994,0.088*c + 0.931,241.49,180.70,82.50,27.15,-,1.80 +/- 0.08,1.19 +/- 0.11,0.31 +/- 0.02,0.54 +/- 0.05,0.64 +/- 0.06,244 +/- 11
7,2,56,2355 +/- 0,79.44 +/- 0.76,0.143 / 0.101,0.158*c + 0.563,0.092*c + 0.912,241.49,191.84,86.81,28.82,-,1.84 +/- 0.10,0.84 +/- 0.23,0.23 +/- 0.11,0.38 +/- 0.16,0.46 +/- 0.21,276 +/- 20
8,-,112,2355 +/- 0,82.56 +/- 1.50,0.137 / 0.085,0.155*c + 0.191,0.082*c + 0.477,482.99,398.74,89.07,59.89,150,3.86 +/- 0.26,1.02 +/- 0.20,0.30 +/- 0.19,0.49 +/- 0.18,0.56 +/- 0.17,229 +/- 18
8,1,56,2355 +/- 0,81.63 +/- 0.96,0.138 / 0.085,0.151*c + 0.393,0.081*c + 0.495,241.49,197.12,87.88,29.60,-,3.98 +/- 0.29,1.09 +/- 0.15,0.28 +/- 0.02,0.50 +/- 0.04,0.58 +/- 0.06,217 +/- 11
8,2,56,2355 +/- 0,83.49 +/- 1.35,0.136 / 0.086,0.158*c - 0.011,0.083*c + 0.458,241.49,201.61,90.23,30.29,-,3.74 +/- 0.15,0.95 +/- 0.21,0.33 +/- 0.27,0.48 +/- 0.25,0.54 +/- 0.23,241 +/- 16
Extracted: 310
Called: 310
Scored: 310
