# HOMER Peaks
# Peak finding parameters:
# tag directory = /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_A01
#
# total peaks = 39675
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 202
# genome size = 2000000000
# Total tags = 16333084.5
# Total tags in peaks = 4735920.5
# Approximate IP efficiency = 29.00%
# tags per bp = 0.007487
# expected tags per peak = 7.487
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# FDR rate threshold = 0.100000000
# FDR effective poisson threshold = 7.749239e-04
# FDR tag threshold = 18.0
# number of putative peaks = 53169
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 13493
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 1
#
# cmd = /hpcdata/sg/sg_data/users/narayananm/tools/homer/bin/findPeaks /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homerpre/Project_ATACseq/Sample_A01 -size 1000 -minDist 2500 -fdr 0.10 -o /hpcdata/sg/sg_data/illumina_hiseq_processed/170407_D00638_0265_AC82GUACXX/piperun_full/anals_output/Data/homer/Project_ATACseq/Sample_A01/A01.peaks1kb.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	Not used	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr19-17	chr19	14136427	14137427	+	640.4	0.000	465.000000	94.14	0.00e+00	1.41
chr16-8	chr16	53502994	53503994	+	640.1	0.000	440.000000	147.02	0.00e+00	1.48
chr15-3	chr15	44728364	44729364	+	638.3	0.000	453.500000	27.68	0.00e+00	1.43
chr17-1	chr17	81860531	81861531	+	638.3	0.000	502.500000	48.12	0.00e+00	1.31
chr11-12	chr11	62025229	62026229	+	637.1	0.000	426.000000	110.82	0.00e+00	1.54
chr16-3	chr16	30922473	30923473	+	636.7	0.000	570.000000	43.43	0.00e+00	1.14
chr19-24	chr19	52189394	52190394	+	632.2	0.000	454.000000	129.97	0.00e+00	1.44
chr20-1	chr20	34875802	34876802	+	631.8	0.000	480.000000	59.73	0.00e+00	1.34
chr19-27	chr19	18521850	18522850	+	627.6	0.000	448.000000	47.92	0.00e+00	1.43
chr7-2	chr7	21427145	21428145	+	625.1	0.000	502.500000	41.96	0.00e+00	1.29
chr1-9	chr1	113904610	113905610	+	623.9	0.000	469.000000	83.00	0.00e+00	1.37
chr11-8	chr11	6234417	6235417	+	623.6	0.000	451.000000	119.82	0.00e+00	1.43
chr2-9	chr2	30146238	30147238	+	617.8	0.000	455.500000	49.62	0.00e+00	1.40
chr17-14	chr17	17972129	17973129	+	617.8	0.000	426.500000	56.76	0.00e+00	1.50
chr3-8	chr3	130111327	130112327	+	616.2	0.000	489.000000	116.88	0.00e+00	1.30
chr1-6	chr1	228165358	228166358	+	615.9	0.000	515.500000	36.73	0.00e+00	1.23
chr17-9	chr17	8156100	8157100	+	612.6	0.000	449.500000	11.86	0.00e+00	1.41
chr6-3	chr6	32195294	32196294	+	612.3	0.000	443.500000	29.80	0.00e+00	1.43
chr13-1	chr13	97432859	97433859	+	611.0	0.000	474.000000	62.59	0.00e+00	1.35
chr7-1	chr7	108525731	108526731	+	609.8	0.000	512.500000	92.41	0.00e+00	1.24
chr14-2	chr14	75258656	75259656	+	609.8	0.000	506.500000	66.90	0.00e+00	1.25
chr6-1	chr6	44058439	44059439	+	608.0	0.000	512.000000	80.51	0.00e+00	1.24
chr19-15	chr19	42242436	42243436	+	607.7	0.000	474.000000	38.09	0.00e+00	1.33
chr8-3	chr8	66666804	66667804	+	605.5	0.000	429.500000	58.95	0.00e+00	1.49
chr15-5	chr15	97959988	97960988	+	604.6	0.000	414.500000	98.75	0.00e+00	1.52
chr7-7	chr7	66628293	66629293	+	604.0	0.000	451.500000	55.84	0.00e+00	1.42
chr15-2	chr15	75042863	75043863	+	603.4	0.000	496.500000	25.86	0.00e+00	1.29
chr13-2	chr13	110715086	110716086	+	602.2	0.000	431.000000	9.35	0.00e+00	1.46
chr16-6	chr16	5097636	5098636	+	601.2	0.000	463.500000	104.59	0.00e+00	1.36
chr19-11	chr19	1252285	1253285	+	600.9	0.000	539.500000	8.17	0.00e+00	1.16
chr10-4	chr10	110918623	110919623	+	599.7	0.000	466.500000	51.55	0.00e+00	1.35
chr14-6	chr14	91060303	91061303	+	599.7	0.000	446.500000	106.85	0.00e+00	1.40
chr3-4	chr3	9396623	9397623	+	599.4	0.000	545.000000	27.62	0.00e+00	1.16
chr17-8	chr17	1716093	1717093	+	596.9	0.000	453.500000	18.45	0.00e+00	1.46
chr14-7	chr14	23320667	23321667	+	595.4	0.000	446.000000	112.21	0.00e+00	1.40
chr11-6	chr11	3797252	3798252	+	594.5	0.000	463.000000	131.41	0.00e+00	1.35
chr9-8	chr9	35731902	35732902	+	593.9	0.000	428.000000	42.90	0.00e+00	1.45
chr2-11	chr2	197452963	197453963	+	591.1	0.000	434.000000	119.03	0.00e+00	1.44
chr14-4	chr14	99480675	99481675	+	591.1	0.000	476.500000	73.33	0.00e+00	1.31
chr14-17	chr14	20461196	20462196	+	589.6	0.000	404.500000	144.45	0.00e+00	1.54
chr12-5	chr12	6851805	6852805	+	589.3	0.000	476.500000	43.75	0.00e+00	1.31
chr16-5	chr16	67561827	67562827	+	588.1	0.000	471.500000	55.41	0.00e+00	1.33
chr3-14	chr3	50299020	50300020	+	586.2	0.000	432.500000	34.40	0.00e+00	1.43
chr11-10	chr11	64778331	64779331	+	585.6	0.000	449.000000	84.81	0.00e+00	1.38
chr5-9	chr5	177425869	177426869	+	582.9	0.000	438.000000	13.45	0.00e+00	1.41
chr9-1	chr9	93095329	93096329	+	582.9	0.000	488.500000	16.82	0.00e+00	1.27
chr2-8	chr2	239400846	239401846	+	581.6	0.000	479.500000	55.34	0.00e+00	1.34
chr11-3	chr11	108222333	108223333	+	581.3	0.000	489.500000	61.26	0.00e+00	1.26
chr1-17	chr1	244652479	244653479	+	579.8	0.000	442.500000	200.54	0.00e+00	1.39
chr5-7	chr5	138542882	138543882	+	577.7	0.000	448.500000	68.76	0.00e+00	1.37
chr11-4	chr11	9460439	9461439	+	577.0	0.000	480.500000	83.99	0.00e+00	1.31
chr17-5	chr17	43360500	43361500	+	576.7	0.000	473.500000	55.96	0.00e+00	1.29
chr1-5	chr1	151281425	151282425	+	574.0	0.000	516.500000	15.89	0.00e+00	1.18
chr7-3	chr7	39949213	39950213	+	573.7	0.000	498.000000	42.06	0.00e+00	1.23
chr21-1	chr21	37267195	37268195	+	572.8	0.000	474.500000	132.59	0.00e+00	1.29
chr19-32	chr19	43668249	43669249	+	570.9	0.000	441.000000	20.17	0.00e+00	1.39
chr19-30	chr19	49877121	49878121	+	568.8	0.000	443.500000	23.29	0.00e+00	1.37
chr12-3	chr12	89708885	89709885	+	568.2	0.000	509.000000	30.32	0.00e+00	1.20
chr14-16	chr14	104752358	104753358	+	568.2	0.000	407.000000	107.08	0.00e+00	1.49
chr19-50	chr19	4791008	4792008	+	568.2	0.000	391.500000	172.21	0.00e+00	1.56
chr19-44	chr19	49639964	49640964	+	568.2	0.000	413.500000	14.05	0.00e+00	1.47
chr17-6	chr17	42388218	42389218	+	566.9	0.000	469.000000	83.76	0.00e+00	1.31
chr1-24	chr1	54052890	54053890	+	566.0	0.000	424.500000	107.36	0.00e+00	1.43
chr1-26	chr1	152047789	152048789	+	564.8	0.000	423.000000	58.06	0.00e+00	1.43
chr19-35	chr19	7829380	7830380	+	564.5	0.000	436.500000	143.07	0.00e+00	1.38
chr2-6	chr2	135530631	135531631	+	560.5	0.000	492.500000	71.65	0.00e+00	1.22
chr9-7	chr9	129776923	129777923	+	558.4	0.000	432.000000	16.21	0.00e+00	1.41
chr19-18	chr19	41263520	41264520	+	558.1	0.000	465.000000	19.28	0.00e+00	1.29
chr4-1	chr4	102827200	102828200	+	557.5	0.000	507.500000	11.57	0.00e+00	1.19
chr19-31	chr19	796711	797711	+	556.5	0.000	441.000000	60.38	0.00e+00	1.38
chr14-13	chr14	74084165	74085165	+	555.6	0.000	411.000000	212.14	0.00e+00	1.45
chr5-8	chr5	131634844	131635844	+	555.3	0.000	445.500000	105.33	0.00e+00	1.36
chr1-25	chr1	30756405	30757405	+	554.7	0.000	423.500000	20.77	0.00e+00	1.42
chr19-22	chr19	9818865	9819865	+	554.7	0.000	459.000000	194.14	0.00e+00	1.30
chr10-2	chr10	99620363	99621363	+	554.1	0.000	505.500000	31.33	0.00e+00	1.23
chr17-17	chr17	63621684	63622684	+	551.0	0.000	403.500000	75.70	0.00e+00	1.49
chr10-3	chr10	128064204	128065204	+	550.7	0.000	502.500000	23.85	0.00e+00	1.19
chr16-7	chr16	30065003	30066003	+	550.7	0.000	450.000000	53.09	0.00e+00	1.33
chr5-6	chr5	138464607	138465607	+	547.4	0.000	460.000000	19.20	0.00e+00	1.29
chr10-6	chr10	123997328	123998328	+	546.4	0.000	434.500000	34.47	0.00e+00	1.36
chr19-23	chr19	2168403	2169403	+	546.4	0.000	457.500000	29.92	0.00e+00	1.30
chr19-29	chr19	49676361	49677361	+	545.2	0.000	443.500000	40.68	0.00e+00	1.36
chr17-15	chr17	4967102	4968102	+	544.9	0.000	423.500000	57.83	0.00e+00	1.40
chr5-10	chr5	179698232	179699232	+	544.3	0.000	435.000000	61.78	0.00e+00	1.36
chr11-11	chr11	2399980	2400980	+	543.7	0.000	437.500000	75.40	0.00e+00	1.37
chr7-13	chr7	149028196	149029196	+	543.4	0.000	420.500000	270.76	0.00e+00	1.40
chr9-14	chr9	127396453	127397453	+	543.1	0.000	382.000000	166.31	0.00e+00	1.54
chr3-13	chr3	57597090	57598090	+	541.5	0.000	435.000000	47.38	0.00e+00	1.35
chr11-5	chr11	695000	696000	+	541.5	0.000	471.000000	31.28	0.00e+00	1.25
chrX-1	chrX	318136	319136	+	541.5	0.000	493.000000	37.11	0.00e+00	1.21
chr7-14	chr7	12686320	12687320	+	540.6	0.000	418.500000	31.72	0.00e+00	1.50
chr4-2	chr4	102760137	102761137	+	540.3	0.000	461.000000	38.74	0.00e+00	1.28
chr12-7	chr12	53500553	53501553	+	539.4	0.000	460.000000	38.30	0.00e+00	1.27
chr4-3	chr4	82900311	82901311	+	537.9	0.000	444.000000	66.16	0.00e+00	1.34
chr19-20	chr19	45584228	45585228	+	535.7	0.000	462.000000	101.61	0.00e+00	1.27
chr3-12	chr3	75434962	75435962	+	534.8	0.000	447.000000	85.92	0.00e+00	1.31
chr1-34	chr1	228139638	228140638	+	534.5	0.000	386.000000	97.60	0.00e+00	1.51
chr18-1	chr18	51197460	51198460	+	534.2	0.000	479.000000	53.24	0.00e+00	1.22
chr17-12	chr17	47895603	47896603	+	533.9	0.000	436.000000	75.83	0.00e+00	1.37
chr4-6	chr4	2261911	2262911	+	533.3	0.000	405.000000	81.23	0.00e+00	1.45
chr6-7	chr6	166627008	166628008	+	532.4	0.000	418.000000	105.04	0.00e+00	1.40
chr1-10	chr1	30717996	30718996	+	531.1	0.000	461.500000	63.48	0.00e+00	1.26
chr1-15	chr1	26541831	26542831	+	530.5	0.000	455.500000	14.36	0.00e+00	1.28
chr11-16	chr11	83156450	83157450	+	529.9	0.000	414.000000	48.84	0.00e+00	1.43
chr11-25	chr11	95230874	95231874	+	529.9	0.000	385.500000	55.05	0.00e+00	1.52
chr1-23	chr1	58783657	58784657	+	528.1	0.000	425.000000	14.02	0.00e+00	1.37
chr17-4	chr17	41688611	41689611	+	528.1	0.000	483.000000	22.08	0.00e+00	1.22
chrX-3	chrX	47217609	47218609	+	527.8	0.000	441.000000	39.58	0.00e+00	1.32
chr1-31	chr1	121184238	121185238	+	525.6	0.000	389.000000	498.48	0.00e+00	1.48
chr11-9	chr11	65418452	65419452	+	525.3	0.000	451.000000	5.19	2.33e-315	1.28
chr19-13	chr19	18281122	18282122	+	525.0	0.000	487.500000	8.41	0.00e+00	1.19
chr19-21	chr19	58572728	58573728	+	524.7	0.000	460.000000	11.48	0.00e+00	1.26
chr19-60	chr19	11434862	11435862	+	523.8	0.000	372.000000	194.92	0.00e+00	1.56
