# Version: v1.0.25
example_run_id
Level          ,Yield          ,Projected Yield,Aligned        ,Error Rate     ,Intensity C1   ,%>=Q30         
Read 1         ,137.94         ,137.94         ,0.59           ,0.12           ,439            ,96.46          
Read 2 (I)     ,19.30          ,19.30          ,0.00           ,nan            ,672            ,94.27          
Non-indexed    ,137.94         ,137.94         ,0.59           ,0.12           ,439            ,96.46          
Total          ,157.24         ,157.24         ,0.59           ,0.12           ,556            ,96.19          


Read 1
Lane           ,Surface        ,Tiles          ,Density        ,Cluster PF     ,Phas/Prephas   ,Phasing Equation,Prephas Equation,Reads          ,Reads PF       ,%>=Q30         ,Yield          ,Cycles Error   ,Aligned        ,Error          ,Error (35)     ,Error (75)     ,Error (100)    ,Intensity C1   
4              ,1              ,56             ,2355 +/- 0     ,70.22 +/- 1.12 ,0.116 / 0.064  ,0.091*c + 1.526,0.063*c - 0.041,241.49         ,169.57         ,96.09          ,8.49           ,-              ,0.47 +/- 0.02  ,0.09 +/- 0.01  ,0.08 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,431 +/- 14     
4              ,2              ,56             ,2355 +/- 0     ,69.30 +/- 1.02 ,0.113 / 0.068  ,0.092*c + 1.427,0.064*c - 0.025,241.49         ,167.35         ,96.28          ,8.38           ,-              ,0.47 +/- 0.03  ,0.20 +/- 0.24  ,0.19 +/- 0.26  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,416 +/- 29     
5              ,-              ,112            ,2355 +/- 0     ,70.67 +/- 0.77 ,0.112 / 0.063  ,0.092*c + 1.416,0.065*c - 0.086,482.99         ,341.32         ,96.33          ,17.09          ,50             ,0.51 +/- 0.03  ,0.13 +/- 0.16  ,0.12 +/- 0.16  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,418 +/- 13     
5              ,1              ,56             ,2355 +/- 0     ,70.90 +/- 0.56 ,0.112 / 0.062  ,0.092*c + 1.456,0.065*c - 0.116,241.49         ,171.22         ,96.19          ,8.57           ,-              ,0.51 +/- 0.03  ,0.09 +/- 0.01  ,0.08 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,425 +/- 12     
5              ,2              ,56             ,2355 +/- 0     ,70.44 +/- 0.88 ,0.112 / 0.065  ,0.093*c + 1.375,0.065*c - 0.057,241.49         ,170.11         ,96.46          ,8.52           ,-              ,0.51 +/- 0.03  ,0.16 +/- 0.23  ,0.15 +/- 0.23  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,411 +/- 10     
6              ,-              ,112            ,2355 +/- 0     ,70.10 +/- 0.87 ,0.113 / 0.070  ,0.094*c + 1.331,0.066*c + 0.064,482.99         ,338.60         ,96.41          ,16.96          ,50             ,0.68 +/- 0.03  ,0.11 +/- 0.10  ,0.10 +/- 0.09  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,441 +/- 12     
6              ,1              ,56             ,2355 +/- 0     ,69.78 +/- 0.90 ,0.116 / 0.071  ,0.094*c + 1.395,0.066*c + 0.062,241.49         ,168.53         ,96.17          ,8.44           ,-              ,0.69 +/- 0.03  ,0.09 +/- 0.01  ,0.09 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,445 +/- 11     
6              ,2              ,56             ,2355 +/- 0     ,70.42 +/- 0.71 ,0.111 / 0.068  ,0.094*c + 1.267,0.066*c + 0.066,241.49         ,170.07         ,96.65          ,8.52           ,-              ,0.67 +/- 0.03  ,0.13 +/- 0.14  ,0.12 +/- 0.13  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,437 +/- 11     
7              ,-              ,112            ,2355 +/- 0     ,68.89 +/- 1.13 ,0.115 / 0.070  ,0.096*c + 1.324,0.067*c + 0.053,482.99         ,332.72         ,96.23          ,16.66          ,50             ,0.54 +/- 0.02  ,0.12 +/- 0.12  ,0.12 +/- 0.14  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,465 +/- 12     
7              ,1              ,56             ,2355 +/- 0     ,68.60 +/- 1.24 ,0.114 / 0.067  ,0.095*c + 1.404,0.066*c + 0.079,241.49         ,165.68         ,95.98          ,8.29           ,-              ,0.55 +/- 0.03  ,0.09 +/- 0.02  ,0.09 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,469 +/- 12     
7              ,2              ,56             ,2355 +/- 0     ,69.17 +/- 0.94 ,0.115 / 0.072  ,0.098*c + 1.243,0.069*c + 0.026,241.49         ,167.05         ,96.48          ,8.37           ,-              ,0.54 +/- 0.02  ,0.15 +/- 0.16  ,0.16 +/- 0.20  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,461 +/- 11     
8              ,-              ,112            ,2355 +/- 0     ,69.14 +/- 0.81 ,0.116 / 0.068  ,0.097*c + 1.398,0.065*c + 0.081,482.99         ,333.96         ,96.20          ,16.72          ,50             ,0.53 +/- 0.02  ,0.11 +/- 0.10  ,0.11 +/- 0.12  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,462 +/- 12     
8              ,1              ,56             ,2355 +/- 0     ,69.09 +/- 0.75 ,0.114 / 0.066  ,0.096*c + 1.454,0.065*c + 0.075,241.49         ,166.85         ,96.04          ,8.36           ,-              ,0.54 +/- 0.02  ,0.09 +/- 0.02  ,0.08 +/- 0.01  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,466 +/- 11     
8              ,2              ,56             ,2355 +/- 0     ,69.20 +/- 0.86 ,0.117 / 0.069  ,0.098*c + 1.342,0.065*c + 0.087,241.49         ,167.11         ,96.37          ,8.37           ,-              ,0.52 +/- 0.03  ,0.14 +/- 0.14  ,0.14 +/- 0.17  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,457 +/- 11     
Read 2 (I)
Lane           ,Surface        ,Tiles          ,Density        ,Cluster PF     ,Phas/Prephas   ,Phasing Equation,Prephas Equation,Reads          ,Reads PF       ,%>=Q30         ,Yield          ,Cycles Error   ,Aligned        ,Error          ,Error (35)     ,Error (75)     ,Error (100)    ,Intensity C1   
1              ,-              ,112            ,2355 +/- 0     ,74.52 +/- 0.94 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,359.93         ,94.65          ,2.52           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,748 +/- 21     
1              ,1              ,56             ,2355 +/- 0     ,74.40 +/- 0.69 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,179.67         ,94.32          ,1.26           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,760 +/- 21     
1              ,2              ,56             ,2355 +/- 0     ,74.64 +/- 1.14 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,180.26         ,94.98          ,1.26           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,735 +/- 12     
2              ,-              ,112            ,2355 +/- 0     ,73.61 +/- 0.87 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,355.50         ,94.55          ,2.49           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,738 +/- 24     
2              ,1              ,56             ,2355 +/- 0     ,73.36 +/- 0.77 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,177.15         ,94.31          ,1.24           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,755 +/- 21     
2              ,2              ,56             ,2355 +/- 0     ,73.85 +/- 0.90 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,178.35         ,94.78          ,1.25           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,721 +/- 12     
3              ,-              ,112            ,2355 +/- 0     ,73.64 +/- 0.87 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,355.66         ,94.65          ,2.49           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,761 +/- 25     
3              ,1              ,56             ,2355 +/- 0     ,73.42 +/- 0.82 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,177.31         ,94.39          ,1.24           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,778 +/- 23     
3              ,2              ,56             ,2355 +/- 0     ,73.85 +/- 0.87 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,178.34         ,94.90          ,1.25           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,745 +/- 14     
4              ,-              ,112            ,2355 +/- 0     ,69.76 +/- 1.16 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,336.91         ,94.56          ,2.36           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,652 +/- 28     
4              ,1              ,56             ,2355 +/- 0     ,70.22 +/- 1.12 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,169.57         ,94.42          ,1.19           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,660 +/- 28     
4              ,2              ,56             ,2355 +/- 0     ,69.30 +/- 1.02 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,167.35         ,94.71          ,1.17           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,644 +/- 25     
5              ,-              ,112            ,2355 +/- 0     ,70.67 +/- 0.77 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,341.32         ,94.56          ,2.39           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,642 +/- 24     
5              ,1              ,56             ,2355 +/- 0     ,70.90 +/- 0.56 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,171.22         ,94.49          ,1.20           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,648 +/- 27     
5              ,2              ,56             ,2355 +/- 0     ,70.44 +/- 0.88 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,170.11         ,94.63          ,1.19           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,636 +/- 20     
6              ,-              ,112            ,2355 +/- 0     ,70.10 +/- 0.87 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,338.60         ,93.81          ,2.37           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,595 +/- 41     
6              ,1              ,56             ,2355 +/- 0     ,69.78 +/- 0.90 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,168.53         ,93.62          ,1.18           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,598 +/- 31     
6              ,2              ,56             ,2355 +/- 0     ,70.42 +/- 0.71 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,170.07         ,94.00          ,1.19           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,593 +/- 48     
7              ,-              ,112            ,2355 +/- 0     ,68.89 +/- 1.13 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,332.72         ,93.66          ,2.33           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,633 +/- 29     
7              ,1              ,56             ,2355 +/- 0     ,68.60 +/- 1.24 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,165.68         ,93.52          ,1.16           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,637 +/- 24     
7              ,2              ,56             ,2355 +/- 0     ,69.17 +/- 0.94 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,167.05         ,93.80          ,1.17           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,628 +/- 33     
8              ,-              ,112            ,2355 +/- 0     ,69.14 +/- 0.81 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,482.99         ,333.96         ,93.61          ,2.34           ,0              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,608 +/- 41     
8              ,1              ,56             ,2355 +/- 0     ,69.09 +/- 0.75 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,166.85         ,93.49          ,1.17           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,604 +/- 45     
8              ,2              ,56             ,2355 +/- 0     ,69.20 +/- 0.86 ,0.000 / 0.000  ,0.000*c - 0.000,0.000*c - 0.000,241.49         ,167.11         ,93.74          ,1.17           ,-              ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,0.00 +/- 0.00  ,611 +/- 37     
Extracted: 59
Called: 59
Scored: 59
