id,strand,fivelen,threelen,polyAlen,insertlen,primer
m64014_190506_005857/1181046/ccs,+,22,25,34,3336,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1181402/ccs,+,22,25,30,1855,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1181662/ccs,+,25,23,29,2306,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1181981/ccs,+,23,25,31,2638,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1182057/ccs,+,25,23,31,1301,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1182393/ccs,+,24,25,30,2980,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1182426/ccs,+,24,25,119,1792,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1182478/ccs,+,25,23,60,1977,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1245244/ccs,+,22,24,38,1964,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1246527/ccs,+,25,23,21,2069,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1246799/ccs,+,25,23,30,3265,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1246999/ccs,+,25,22,28,3078,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247024/ccs,+,25,23,128,4207,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247095/ccs,+,23,25,28,3197,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247273/ccs,+,25,23,31,2273,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247454/ccs,+,25,22,30,3207,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247526/ccs,+,23,25,36,2486,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247790/ccs,+,25,23,27,1561,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1247818/ccs,+,22,25,30,3825,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1311750/ccs,+,23,26,41,2209,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1311756/ccs,+,25,23,113,3532,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1311909/ccs,+,23,25,33,3728,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312106/ccs,+,23,23,32,2174,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312200/ccs,+,23,26,32,2926,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312229/ccs,+,23,25,28,2502,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312439/ccs,+,22,24,33,1586,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312486/ccs,+,25,23,81,1983,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312487/ccs,+,23,25,30,1479,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312504/ccs,+,21,25,31,2418,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1312933/ccs,+,22,25,30,3093,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1313096/ccs,+,22,24,30,2015,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1313187/ccs,+,23,26,30,1667,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1313339/ccs,+,23,25,34,5718,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1313501/ccs,+,22,25,29,3099,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1313560/ccs,+,22,25,26,2604,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1376334/ccs,+,22,26,51,1659,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1376882/ccs,+,25,23,30,3303,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1376900/ccs,+,22,25,30,4484,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1376981/ccs,+,22,25,31,4318,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1377169/ccs,+,23,25,113,2081,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1377536/ccs,+,25,22,29,3214,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1378632/ccs,+,21,25,30,2636,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1378653/ccs,+,22,25,30,1630,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1378891/ccs,+,23,26,31,1906,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1378935/ccs,+,23,25,28,2523,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1379131/ccs,+,24,25,28,4136,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1442862/ccs,+,25,23,29,5408,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1443190/ccs,+,24,25,30,2507,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1443444/ccs,+,23,25,30,5387,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1443646/ccs,+,25,22,34,2661,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1444569/ccs,+,22,25,30,2202,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1507378/ccs,+,22,26,29,1750,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1507534/ccs,+,25,23,31,4535,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1508035/ccs,+,22,26,32,1971,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1508737/ccs,+,22,24,27,1468,NEB_5p--NEB_Clontech_3p
m64014_190506_005857/1508786/ccs,+,23,22,32,2290,NEB_5p--NEB_Clontech_3p
