,Sample 1,Sample 2,Sample 3,Sample 4,Sample 5,Sample 6,Sample 7,Sample 8,Sample 9,Sample 10,Sample 11,Sample 12,Sample 13,Sample 14,Sample 15,Sample 16,Sample 17,Sample 18,Sample 19,Sample 20,Sample 21,Sample 22,Sample 23,Sample 24,Sample 25,Sample 26,Sample 27,Sample 28,Sample 29,Sample 30,Sample 31,Sample 32
Sample 11,-1.537402235,-0.552283302,1.390335553,2.488704476,3.95257337,5.354667269,6.756761167,8.158855066,9.560948965,10.96304286,12.36513676,13.76723066,15.16932456,16.57141846,17.97351236,19.37560626,20.77770016,22.17979405,23.58188795,24.98398185,26.38607575,27.78816965,29.19026355,30.59235745,31.99445135,33.39654525,34.79863914,36.20073304,37.60282694,39.00492084,40.40701474,41.80910864
Sample 12,-1.773946529,-0.672082497,1.498578581,2.726952753,4.363215308,5.9305512,7.497887092,9.065222985,10.63255888,12.19989477,13.76723066,15.33456655,16.90190245,18.46923834,20.03657423,21.60391012,23.17124602,24.73858191,26.3059178,27.87325369,29.44058958,31.00792548,32.57526137,34.14259726,35.70993315,37.27726905,38.84460494,40.41194083,41.97927672,43.54661262,45.11394851,46.6812844
Sample 13,-2.010490822,-0.791881692,1.606821609,2.96520103,4.773857246,6.506435131,8.239013017,9.971590903,11.70416879,13.43674667,15.16932456,16.90190245,18.63448033,20.36705822,22.0996361,23.83221399,25.56479188,27.29736976,29.02994765,30.76252553,32.49510342,34.2276813,35.96025919,37.69283708,39.42541496,41.15799285,42.89057073,44.62314862,46.3557265,48.08830439,49.82088228,51.55346016
Sample 14,-2.247035116,-0.911680887,1.715064637,3.203449307,5.184499184,7.082319063,8.980138942,10.87795882,12.7757787,14.67359858,16.57141846,18.46923834,20.36705822,22.2648781,24.16269798,26.06051786,27.95833773,29.85615761,31.75397749,33.65179737,35.54961725,37.44743713,39.34525701,41.24307689,43.14089677,45.03871665,46.93653653,48.83435641,50.73217629,52.62999617,54.52781604,56.42563592
Sample 15,-2.483579409,-1.031480082,1.823307665,3.441697585,5.595141122,7.658202994,9.721264867,11.78432674,13.84738861,15.91045049,17.97351236,20.03657423,22.0996361,24.16269798,26.22575985,28.28882172,30.35188359,32.41494547,34.47800734,36.54106921,38.60413109,40.66719296,42.73025483,44.7933167,46.85637858,48.91944045,50.98250232,53.04556419,55.10862607,57.17168794,59.23474981,61.29781169
Sample 16,-2.720123702,-1.151279277,1.931550693,3.679945862,6.005783059,8.234086926,10.46239079,12.69069466,14.91899852,17.14730239,19.37560626,21.60391012,23.83221399,26.06051786,28.28882172,30.51712559,32.74542945,34.97373332,37.20203719,39.43034105,41.65864492,43.88694879,46.11525265,48.34355652,50.57186038,52.80016425,55.02846812,57.25677198,59.48507585,61.71337972,63.94168358,66.16998745
Sample 17,-2.956667996,-1.271078472,2.039793721,3.918194139,6.416424997,8.809970857,11.20351672,13.59706258,15.99060844,18.3841543,20.77770016,23.17124602,25.56479188,27.95833773,30.35188359,32.74542945,35.13897531,37.53252117,39.92606703,42.31961289,44.71315875,47.10670461,49.50025047,51.89379633,54.28734219,56.68088805,59.07443391,61.46797977,63.86152563,66.25507149,68.64861735,71.04216321
Sample 18,-3.193212289,-1.390877667,2.148036749,4.156442416,6.827066935,9.385854789,11.94464264,14.50343049,17.06221835,19.6210062,22.17979405,24.73858191,27.29736976,29.85615761,32.41494547,34.97373332,37.53252117,40.09130903,42.65009688,45.20888473,47.76767259,50.32646044,52.88524829,55.44403615,58.002824,60.56161185,63.12039971,65.67918756,68.23797541,70.79676327,73.35555112,75.91433897
Sample 19,-3.429756583,-1.510676862,2.256279777,4.394690693,7.237708873,9.96173872,12.68576857,15.40979841,18.13382826,20.85785811,23.58188795,26.3059178,29.02994765,31.75397749,34.47800734,37.20203719,39.92606703,42.65009688,45.37412673,48.09815657,50.82218642,53.54621627,56.27024611,58.99427596,61.71830581,64.44233565,67.1663655,69.89039535,72.61442519,75.33845504,78.06248489,80.78651473
Sample 20,-3.666300876,-1.630476057,2.364522806,4.632938971,7.648350811,10.53762265,13.42689449,16.31616633,19.20543817,22.09471001,24.98398185,27.87325369,30.76252553,33.65179737,36.54106921,39.43034105,42.31961289,45.20888473,48.09815657,50.98742841,53.87670025,56.76597209,59.65524393,62.54451577,65.43378761,68.32305945,71.21233129,74.10160313,76.99087497,79.88014682,82.76941866,85.6586905
Sample 21,-3.902845169,-1.750275251,2.472765834,4.871187248,8.058992749,11.11350658,14.16802042,17.22253425,20.27704808,23.33156192,26.38607575,29.44058958,32.49510342,35.54961725,38.60413109,41.65864492,44.71315875,47.76767259,50.82218642,53.87670025,56.93121409,59.98572792,63.04024175,66.09475559,69.14926942,72.20378326,75.25829709,78.31281092,81.36732476,84.42183859,87.47635242,90.53086626
Sample 22,-4.139389463,-1.870074446,2.581008862,5.109435525,8.469634687,11.68939051,14.90914634,18.12890217,21.348658,24.56841382,27.78816965,31.00792548,34.2276813,37.44743713,40.66719296,43.88694879,47.10670461,50.32646044,53.54621627,56.76597209,59.98572792,63.20548375,66.42523958,69.6449954,72.86475123,76.08450706,79.30426288,82.52401871,85.74377454,88.96353036,92.18328619,95.40304202
Sample 23,-4.375933756,-1.989873641,2.68925189,5.347683802,8.880276625,12.26527445,15.65027227,19.03527009,22.42026791,25.80526573,29.19026355,32.57526137,35.96025919,39.34525701,42.73025483,46.11525265,49.50025047,52.88524829,56.27024611,59.65524393,63.04024175,66.42523958,69.8102374,73.19523522,76.58023304,79.96523086,83.35022868,86.7352265,90.12022432,93.50522214,96.89021996,100.2752178
Sample 24,-4.61247805,-2.109672836,2.797494918,5.585932079,9.290918563,12.84115838,16.39139819,19.94163801,23.49187782,27.04211763,30.59235745,34.14259726,37.69283708,41.24307689,44.7933167,48.34355652,51.89379633,55.44403615,58.99427596,62.54451577,66.09475559,69.6449954,73.19523522,76.74547503,80.29571484,83.84595466,87.39619447,90.94643429,94.4966741,98.04691391,101.5971537,105.1473935
Sample 25,-4.849022343,-2.229472031,2.905737946,5.824180357,9.701560501,13.41704231,17.13252412,20.84800592,24.56348773,28.27896954,31.99445135,35.70993315,39.42541496,43.14089677,46.85637858,50.57186038,54.28734219,58.002824,61.71830581,65.43378761,69.14926942,72.86475123,76.58023304,80.29571484,84.01119665,87.72667846,91.44216027,95.15764207,98.87312388,102.5886057,106.3040875,110.0195693
Sample 26,-5.085566636,-2.349271226,3.013980974,6.062428634,10.11220244,13.99292624,17.87365004,21.75437384,25.63509764,29.51582144,33.39654525,37.27726905,41.15799285,45.03871665,48.91944045,52.80016425,56.68088805,60.56161185,64.44233565,68.32305945,72.20378326,76.08450706,79.96523086,83.84595466,87.72667846,91.60740226,95.48812606,99.36884986,103.2495737,107.1302975,111.0110213,114.8917451
Sample 27,-5.32211093,-2.469070421,3.122224002,6.300676911,10.52284438,14.56881017,18.61477597,22.66074176,26.70670755,30.75267335,34.79863914,38.84460494,42.89057073,46.93653653,50.98250232,55.02846812,59.07443391,63.12039971,67.1663655,71.21233129,75.25829709,79.30426288,83.35022868,87.39619447,91.44216027,95.48812606,99.53409186,103.5800577,107.6260234,111.6719892,115.717955,119.7639208
Sample 28,-5.558655223,-2.588869616,3.23046703,6.538925188,10.93348631,15.1446941,19.35590189,23.56710968,27.77831747,31.98952525,36.20073304,40.41194083,44.62314862,48.83435641,53.04556419,57.25677198,61.46797977,65.67918756,69.89039535,74.10160313,78.31281092,82.52401871,86.7352265,90.94643429,95.15764207,99.36884986,103.5800577,107.7912654,112.0024732,116.213681,120.4248888,124.6360966
Sample 29,-5.795199517,-2.708668811,3.338710058,6.777173465,11.34412825,15.72057803,20.09702782,24.4734776,28.84992738,33.22637716,37.60282694,41.97927672,46.3557265,50.73217629,55.10862607,59.48507585,63.86152563,68.23797541,72.61442519,76.99087497,81.36732476,85.74377454,90.12022432,94.4966741,98.87312388,103.2495737,107.6260234,112.0024732,116.378923,120.7553728,125.1318226,129.5082724
Sample 30,-6.03174381,-2.828468006,3.446953087,7.015421743,11.75477019,16.29646197,20.83815374,25.37984552,29.92153729,34.46322907,39.00492084,43.54661262,48.08830439,52.62999617,57.17168794,61.71337972,66.25507149,70.79676327,75.33845504,79.88014682,84.42183859,88.96353036,93.50522214,98.04691391,102.5886057,107.1302975,111.6719892,116.213681,120.7553728,125.2970646,129.8387563,134.3804481
Sample 31,-6.268288103,-2.9482672,3.555196115,7.25367002,12.16541213,16.8723459,21.57927967,26.28621343,30.9931472,35.70008097,40.40701474,45.11394851,49.82088228,54.52781604,59.23474981,63.94168358,68.64861735,73.35555112,78.06248489,82.76941866,87.47635242,92.18328619,96.89021996,101.5971537,106.3040875,111.0110213,115.717955,120.4248888,125.1318226,129.8387563,134.5456901,139.2526239
Sample 32,-6.504832397,-3.068066395,3.663439143,7.491918297,12.57605407,17.44822983,22.32040559,27.19258135,32.06475711,36.93693288,41.80910864,46.6812844,51.55346016,56.42563592,61.29781169,66.16998745,71.04216321,75.91433897,80.78651473,85.6586905,90.53086626,95.40304202,100.2752178,105.1473935,110.0195693,114.8917451,119.7639208,124.6360966,129.5082724,134.3804481,139.2526239,144.1247996
