## hicstuff v3.2.4
## distance_law
## columns: start_bp	p(s)	chrom
21	1e-09	ENA|CU329672|CU329672.1
23	1e-09	ENA|CU329672|CU329672.1
25	0.00188531	ENA|CU329672|CU329672.1
28	0.0537313	ENA|CU329672|CU329672.1
30	0.101807	ENA|CU329672|CU329672.1
34	0.348783	ENA|CU329672|CU329672.1
37	0.345013	ENA|CU329672|CU329672.1
41	0.330874	ENA|CU329672|CU329672.1
45	0.349256	ENA|CU329672|CU329672.1
49	0.398181	ENA|CU329672|CU329672.1
54	0.444938	ENA|CU329672|CU329672.1
60	0.461907	ENA|CU329672|CU329672.1
66	0.491131	ENA|CU329672|CU329672.1
72	0.497731	ENA|CU329672|CU329672.1
80	0.535911	ENA|CU329672|CU329672.1
88	0.55241	ENA|CU329672|CU329672.1
97	0.588862	ENA|CU329672|CU329672.1
106	0.622687	ENA|CU329672|CU329672.1
117	0.640558	ENA|CU329672|CU329672.1
129	0.660467	ENA|CU329672|CU329672.1
142	0.673492	ENA|CU329672|CU329672.1
156	0.688553	ENA|CU329672|CU329672.1
171	0.70295	ENA|CU329672|CU329672.1
189	0.674359	ENA|CU329672|CU329672.1
207	0.651021	ENA|CU329672|CU329672.1
228	0.635486	ENA|CU329672|CU329672.1
251	0.625832	ENA|CU329672|CU329672.1
276	0.628279	ENA|CU329672|CU329672.1
304	0.596017	ENA|CU329672|CU329672.1
334	0.596612	ENA|CU329672|CU329672.1
368	0.58448	ENA|CU329672|CU329672.1
405	0.574452	ENA|CU329672|CU329672.1
445	0.545706	ENA|CU329672|CU329672.1
490	0.517909	ENA|CU329672|CU329672.1
539	0.507259	ENA|CU329672|CU329672.1
593	0.49113	ENA|CU329672|CU329672.1
652	0.464171	ENA|CU329672|CU329672.1
717	0.430056	ENA|CU329672|CU329672.1
789	0.407718	ENA|CU329672|CU329672.1
868	0.378368	ENA|CU329672|CU329672.1
955	0.337428	ENA|CU329672|CU329672.1
1051	0.326409	ENA|CU329672|CU329672.1
1156	0.297301	ENA|CU329672|CU329672.1
1271	0.273884	ENA|CU329672|CU329672.1
1399	0.255155	ENA|CU329672|CU329672.1
1538	0.227266	ENA|CU329672|CU329672.1
1692	0.206589	ENA|CU329672|CU329672.1
1862	0.193031	ENA|CU329672|CU329672.1
2048	0.176038	ENA|CU329672|CU329672.1
2253	0.164556	ENA|CU329672|CU329672.1
2478	0.14456	ENA|CU329672|CU329672.1
2726	0.130361	ENA|CU329672|CU329672.1
2999	0.118585	ENA|CU329672|CU329672.1
3298	0.107322	ENA|CU329672|CU329672.1
3628	0.0991393	ENA|CU329672|CU329672.1
3991	0.0888595	ENA|CU329672|CU329672.1
4390	0.0803357	ENA|CU329672|CU329672.1
4830	0.0732326	ENA|CU329672|CU329672.1
5313	0.0649932	ENA|CU329672|CU329672.1
5844	0.061021	ENA|CU329672|CU329672.1
6428	0.0546331	ENA|CU329672|CU329672.1
7071	0.0490112	ENA|CU329672|CU329672.1
7778	0.0460837	ENA|CU329672|CU329672.1
8556	0.0409236	ENA|CU329672|CU329672.1
9412	0.0371442	ENA|CU329672|CU329672.1
10353	0.0347614	ENA|CU329672|CU329672.1
11388	0.0327392	ENA|CU329672|CU329672.1
12527	0.0298568	ENA|CU329672|CU329672.1
13780	0.0275636	ENA|CU329672|CU329672.1
15158	0.0263198	ENA|CU329672|CU329672.1
16674	0.0240163	ENA|CU329672|CU329672.1
18341	0.0220445	ENA|CU329672|CU329672.1
20176	0.0209735	ENA|CU329672|CU329672.1
22193	0.0196176	ENA|CU329672|CU329672.1
24413	0.0177626	ENA|CU329672|CU329672.1
26854	0.0168303	ENA|CU329672|CU329672.1
29539	0.0156394	ENA|CU329672|CU329672.1
32493	0.0142615	ENA|CU329672|CU329672.1
35743	0.0129467	ENA|CU329672|CU329672.1
39317	0.0123627	ENA|CU329672|CU329672.1
43249	0.0114158	ENA|CU329672|CU329672.1
47574	0.0105602	ENA|CU329672|CU329672.1
52331	0.00993278	ENA|CU329672|CU329672.1
57565	0.00930662	ENA|CU329672|CU329672.1
63321	0.00880279	ENA|CU329672|CU329672.1
69653	0.00813862	ENA|CU329672|CU329672.1
76619	0.00782537	ENA|CU329672|CU329672.1
84280	0.00737603	ENA|CU329672|CU329672.1
92709	0.00704528	ENA|CU329672|CU329672.1
101979	0.00671316	ENA|CU329672|CU329672.1
112177	0.0065216	ENA|CU329672|CU329672.1
123395	0.00607192	ENA|CU329672|CU329672.1
135735	0.00582382	ENA|CU329672|CU329672.1
149308	0.0054751	ENA|CU329672|CU329672.1
164239	0.0052283	ENA|CU329672|CU329672.1
180663	0.00498245	ENA|CU329672|CU329672.1
198730	0.0047042	ENA|CU329672|CU329672.1
218603	0.00435042	ENA|CU329672|CU329672.1
240463	0.00401506	ENA|CU329672|CU329672.1
264509	0.00371335	ENA|CU329672|CU329672.1
290960	0.00337592	ENA|CU329672|CU329672.1
320056	0.00305942	ENA|CU329672|CU329672.1
352062	0.00273522	ENA|CU329672|CU329672.1
387268	0.00237127	ENA|CU329672|CU329672.1
425995	0.00203069	ENA|CU329672|CU329672.1
468595	0.00170916	ENA|CU329672|CU329672.1
515454	0.00141311	ENA|CU329672|CU329672.1
567000	0.00110264	ENA|CU329672|CU329672.1
623700	0.000877487	ENA|CU329672|CU329672.1
686070	0.000663999	ENA|CU329672|CU329672.1
754677	0.000507931	ENA|CU329672|CU329672.1
830145	0.000378472	ENA|CU329672|CU329672.1
913159	0.000296413	ENA|CU329672|CU329672.1
1.00448e+06	0.00029802	ENA|CU329672|CU329672.1
1.10492e+06	0.000263701	ENA|CU329672|CU329672.1
1.21542e+06	0.000255702	ENA|CU329672|CU329672.1
1.33696e+06	0.000261128	ENA|CU329672|CU329672.1
1.47065e+06	0.000248837	ENA|CU329672|CU329672.1
1.61772e+06	0.000227048	ENA|CU329672|CU329672.1
1.77949e+06	0.00020677	ENA|CU329672|CU329672.1
1.95744e+06	0.000191102	ENA|CU329672|CU329672.1
2.15318e+06	0.000134873	ENA|CU329672|CU329672.1
2.3685e+06	0.000134873	ENA|CU329672|CU329672.1
1	1e-09	ENA|X54421|X54421.1
2	1e-09	ENA|X54421|X54421.1
3	1e-09	ENA|X54421|X54421.1
4	1e-09	ENA|X54421|X54421.1
5	1e-09	ENA|X54421|X54421.1
6	1e-09	ENA|X54421|X54421.1
7	1e-09	ENA|X54421|X54421.1
8	1e-09	ENA|X54421|X54421.1
9	1e-09	ENA|X54421|X54421.1
10	1e-09	ENA|X54421|X54421.1
11	1e-09	ENA|X54421|X54421.1
13	1e-09	ENA|X54421|X54421.1
14	1e-09	ENA|X54421|X54421.1
15	1e-09	ENA|X54421|X54421.1
17	1e-09	ENA|X54421|X54421.1
19	1e-09	ENA|X54421|X54421.1
21	1e-09	ENA|X54421|X54421.1
23	1e-09	ENA|X54421|X54421.1
25	1e-09	ENA|X54421|X54421.1
28	0.00758771	ENA|X54421|X54421.1
30	0.0151778	ENA|X54421|X54421.1
34	0.0455415	ENA|X54421|X54421.1
37	0.0455498	ENA|X54421|X54421.1
41	0.0417626	ENA|X54421|X54421.1
45	0.0455686	ENA|X54421|X54421.1
49	0.0668494	ENA|X54421|X54421.1
54	0.0607894	ENA|X54421|X54421.1
60	0.0760103	ENA|X54421|X54421.1
66	0.0430859	ENA|X54421|X54421.1
72	0.0874706	ENA|X54421|X54421.1
80	0.102725	ENA|X54421|X54421.1
88	0.118419	ENA|X54421|X54421.1
97	0.101549	ENA|X54421|X54421.1
106	0.10114	ENA|X54421|X54421.1
117	0.127078	ENA|X54421|X54421.1
129	0.116205	ENA|X54421|X54421.1
142	0.117796	ENA|X54421|X54421.1
156	0.124288	ENA|X54421|X54421.1
171	0.135101	ENA|X54421|X54421.1
189	0.125022	ENA|X54421|X54421.1
207	0.127703	ENA|X54421|X54421.1
228	0.109394	ENA|X54421|X54421.1
251	0.11613	ENA|X54421|X54421.1
276	0.147231	ENA|X54421|X54421.1
304	0.11657	ENA|X54421|X54421.1
334	0.117098	ENA|X54421|X54421.1
368	0.0961045	ENA|X54421|X54421.1
405	0.11154	ENA|X54421|X54421.1
445	0.0993685	ENA|X54421|X54421.1
490	0.0914836	ENA|X54421|X54421.1
539	0.0904651	ENA|X54421|X54421.1
593	0.0891498	ENA|X54421|X54421.1
652	0.0884372	ENA|X54421|X54421.1
717	0.0941441	ENA|X54421|X54421.1
789	0.0865511	ENA|X54421|X54421.1
868	0.087899	ENA|X54421|X54421.1
955	0.0843812	ENA|X54421|X54421.1
1051	0.0850687	ENA|X54421|X54421.1
1156	0.0794053	ENA|X54421|X54421.1
1271	0.0807177	ENA|X54421|X54421.1
1399	0.0748824	ENA|X54421|X54421.1
1538	0.0756564	ENA|X54421|X54421.1
1692	0.0725003	ENA|X54421|X54421.1
1862	0.0626814	ENA|X54421|X54421.1
2048	0.0678215	ENA|X54421|X54421.1
2253	0.0681691	ENA|X54421|X54421.1
2478	0.072381	ENA|X54421|X54421.1
2726	0.0686092	ENA|X54421|X54421.1
2999	0.0598729	ENA|X54421|X54421.1
3298	0.0639218	ENA|X54421|X54421.1
3628	0.062567	ENA|X54421|X54421.1
3991	0.0569891	ENA|X54421|X54421.1
4390	0.0577016	ENA|X54421|X54421.1
4830	0.0568436	ENA|X54421|X54421.1
5313	0.051316	ENA|X54421|X54421.1
5844	0.055138	ENA|X54421|X54421.1
6428	0.0518514	ENA|X54421|X54421.1
7071	0.052549	ENA|X54421|X54421.1
7778	0.0555041	ENA|X54421|X54421.1
8556	0.0537002	ENA|X54421|X54421.1
9412	0.0498088	ENA|X54421|X54421.1
10353	0.0494815	ENA|X54421|X54421.1
11388	0.0509498	ENA|X54421|X54421.1
12527	0.0506837	ENA|X54421|X54421.1
13780	0.0446109	ENA|X54421|X54421.1
15158	0.046579	ENA|X54421|X54421.1
16674	0.0449023	ENA|X54421|X54421.1
18341	0.0449023	ENA|X54421|X54421.1
