CpG context
===========
position	count methylated	count unmethylated	% methylation	coverage
50	149209	13397066	1.10	13546275
51	149464	13383703	1.10	13533167
52	149146	13367074	1.10	13516220
53	147990	13368338	1.09	13516328
54	147737	13377139	1.09	13524876
55	146990	13353276	1.09	13500266
56	146849	13360851	1.09	13507700
57	146568	13350198	1.09	13496766
58	146984	13321391	1.09	13468375
59	147126	13315636	1.09	13462762
60	147221	13305983	1.09	13453204
61	146281	13286030	1.09	13432311
62	146228	13260374	1.09	13406602
63	145069	13267762	1.08	13412831
64	144831	13221467	1.08	13366298
65	144609	13205847	1.08	13350456
66	143640	13196844	1.08	13340484
67	143795	13162425	1.08	13306220
68	142659	13140234	1.07	13282893
69	142346	13119764	1.07	13262110
70	143040	13077013	1.08	13220053
71	142211	13036782	1.08	13178993
72	142002	13005433	1.08	13147435
73	140285	12940485	1.07	13080770
74	139360	12868396	1.07	13007756
75	139207	12800990	1.08	12940197
76	137782	12760009	1.07	12897791
77	137500	12746515	1.07	12884015
78	136993	12716210	1.07	12853203
79	136138	12652912	1.06	12789050
80	135646	12597326	1.07	12732972
81	134519	12542397	1.06	12676916
82	133547	12463852	1.06	12597399
83	131728	12376149	1.05	12507877
84	130118	12290160	1.05	12420278
85	128388	12186249	1.04	12314637
86	127726	12078754	1.05	12206480
87	127151	11986479	1.05	12113630
88	125005	11879359	1.04	12004364
89	124999	11774341	1.05	11899340
90	123330	11668862	1.05	11792192
91	121504	11527253	1.04	11648757
92	120795	11358221	1.05	11479016
93	119044	11164198	1.06	11283242
94	114641	11071041	1.02	11185682
95	113661	10834370	1.04	10948031
96	111187	10701678	1.03	10812865
97	107629	10493577	1.02	10601206
98	103409	10264317	1.00	10367726
99	97888	9962691	0.97	10060579
100	89182	9397975	0.94	9487157
101	70520	8702353	0.80	8772873

