read_number	position	bases_total	errors	error_rate	a_to_c_error_rate	a_to_g_error_rate	a_to_t_error_rate	c_to_a_error_rate	c_to_g_error_rate	c_to_t_error_rate
1	32	1000	31	0.031	0.032	0.033	0.034	0.035	0.036	0.037
1	33	1000	32	0.032	0.033	0.034	0.035	0.036	0.037	0.038
1	34	1000	33	0.033	0.034	0.035	0.036	0.037	0.038	0.039
1	35	1000	34	0.034	0.035	0.036	0.037	0.038	0.039	0.04
1	36	1000	35	0.035	0.036	0.037	0.038	0.039	0.04	0.041
1	37	1000	36	0.036	0.037	0.038	0.039	0.04	0.041	0.042
1	38	1000	37	0.037	0.038	0.039	0.04	0.041	0.042	0.043
1	39	1000	38	0.038	0.039	0.04	0.041	0.042	0.043	0.044
1	40	1000	39	0.039	0.04	0.041	0.042	0.043	0.044	0.045
1	41	1000	40	0.04	0.041	0.042	0.043	0.044	0.045	0.046
1	42	1000	41	0.041	0.042	0.043	0.044	0.045	0.046	0.047
1	43	1000	42	0.042	0.043	0.044	0.045	0.046	0.047	0.048
1	44	1000	43	0.043	0.044	0.045	0.046	0.047	0.048	0.049
1	45	1000	44	0.044	0.045	0.046	0.047	0.048	0.049	0.05
1	46	1000	45	0.045	0.046	0.047	0.048	0.049	0.05	0.051
1	47	1000	46	0.046	0.047	0.048	0.049	0.05	0.051	0.052
1	48	1000	47	0.047	0.048	0.049	0.05	0.051	0.052	0.053
1	49	1000	48	0.048	0.049	0.05	0.051	0.052	0.053	0.054
1	50	1000	49	0.049	0.05	0.051	0.052	0.053	0.054	0.055
1	51	1000	50	0.05	0.051	0.052	0.053	0.054	0.055	0.056
1	52	1000	51	0.051	0.052	0.053	0.054	0.055	0.056	0.057
1	53	1000	52	0.052	0.053	0.054	0.055	0.056	0.057	0.058
1	54	1000	53	0.053	0.054	0.055	0.056	0.057	0.058	0.059
1	55	1000	54	0.054	0.055	0.056	0.057	0.058	0.059	0.06
1	56	1000	55	0.055	0.056	0.057	0.058	0.059	0.06	0.061
1	57	1000	56	0.056	0.057	0.058	0.059	0.06	0.061	0.062
1	58	1000	57	0.057	0.058	0.059	0.06	0.061	0.062	0.063
1	59	1000	58	0.058	0.059	0.06	0.061	0.062	0.063	0.064
1	60	1000	59	0.059	0.06	0.061	0.062	0.063	0.064	0.065
1	61	1000	60	0.06	0.061	0.062	0.063	0.064	0.065	0.066
1	62	1000	61	0.061	0.062	0.063	0.064	0.065	0.066	0.067
1	63	1000	62	0.062	0.063	0.064	0.065	0.066	0.067	0.068
1	64	1000	63	0.063	0.064	0.065	0.066	0.067	0.068	0.069
1	65	1000	64	0.064	0.065	0.066	0.067	0.068	0.069	0.07
1	66	1000	65	0.065	0.066	0.067	0.068	0.069	0.07	0.071
1	67	1000	66	0.066	0.067	0.068	0.069	0.07	0.071	0.072
1	68	1000	67	0.067	0.068	0.069	0.07	0.071	0.072	0.073
1	69	1000	68	0.068	0.069	0.07	0.071	0.072	0.073	0.074
1	70	1000	69	0.069	0.07	0.071	0.072	0.073	0.074	0.075
1	71	1000	70	0.07	0.071	0.072	0.073	0.074	0.075	0.076
1	72	1000	71	0.071	0.072	0.073	0.074	0.075	0.076	0.077
1	73	1000	72	0.072	0.073	0.074	0.075	0.076	0.077	0.078
1	74	1000	73	0.073	0.074	0.075	0.076	0.077	0.078	0.079
1	75	1000	74	0.074	0.075	0.076	0.077	0.078	0.079	0.08
1	76	1000	75	0.075	0.076	0.077	0.078	0.079	0.08	0.081
1	77	1000	76	0.076	0.077	0.078	0.079	0.08	0.081	0.082
1	78	1000	77	0.077	0.078	0.079	0.08	0.081	0.082	0.083
1	79	1000	78	0.078	0.079	0.08	0.081	0.082	0.083	0.084
1	80	1000	79	0.079	0.08	0.081	0.082	0.083	0.084	0.085
1	81	1000	80	0.08	0.081	0.082	0.083	0.084	0.085	0.086
1	82	1000	81	0.081	0.082	0.083	0.084	0.085	0.086	0.087
1	83	1000	82	0.082	0.083	0.084	0.085	0.086	0.087	0.088
1	84	1000	83	0.083	0.084	0.085	0.086	0.087	0.088	0.089
1	85	1000	84	0.084	0.085	0.086	0.087	0.088	0.089	0.09
1	86	1000	85	0.085	0.086	0.087	0.088	0.089	0.09	0.091
1	87	1000	86	0.086	0.087	0.088	0.089	0.09	0.091	0.092
1	88	1000	87	0.087	0.088	0.089	0.09	0.091	0.092	0.093
1	89	1000	88	0.088	0.089	0.09	0.091	0.092	0.093	0.094
1	90	1000	89	0.089	0.09	0.091	0.092	0.093	0.094	0.095
1	91	1000	90	0.09	0.091	0.092	0.093	0.094	0.095	0.096
1	92	1000	91	0.091	0.092	0.093	0.094	0.095	0.096	0.097
1	93	1000	92	0.092	0.093	0.094	0.095	0.096	0.097	0.098
1	94	1000	93	0.093	0.094	0.095	0.096	0.097	0.098	0.099
1	95	1000	94	0.094	0.095	0.096	0.097	0.098	0.099	0.1
1	96	1000	95	0.095	0.096	0.097	0.098	0.099	0.1	0.101
1	97	1000	96	0.096	0.097	0.098	0.099	0.1	0.101	0.102
1	98	1000	97	0.097	0.098	0.099	0.1	0.101	0.102	0.103
1	99	1000	98	0.098	0.099	0.1	0.101	0.102	0.103	0.104
1	100	1000	99	0.099	0.1	0.101	0.102	0.103	0.104	0.105
2	1	1000	0	0.0	0.001	0.002	0.003	0.004	0.005	0.006
2	2	1000	1	0.001	0.002	0.003	0.004	0.005	0.006	0.007
2	3	1000	2	0.002	0.003	0.004	0.005	0.006	0.007	0.008
2	4	1000	3	0.003	0.004	0.005	0.006	0.007	0.008	0.009
2	5	1000	4	0.004	0.005	0.006	0.007	0.008	0.009	0.01
2	6	1000	5	0.005	0.006	0.007	0.008	0.009	0.01	0.011
2	7	1000	6	0.006	0.007	0.008	0.009	0.01	0.011	0.012
2	8	1000	7	0.007	0.008	0.009	0.01	0.011	0.012	0.013
2	9	1000	8	0.008	0.009	0.01	0.011	0.012	0.013	0.014
2	10	1000	9	0.009	0.01	0.011	0.012	0.013	0.014	0.015
2	11	1000	10	0.01	0.011	0.012	0.013	0.014	0.015	0.016
2	12	1000	11	0.011	0.012	0.013	0.014	0.015	0.016	0.017
2	13	1000	12	0.012	0.013	0.014	0.015	0.016	0.017	0.018
2	14	1000	13	0.013	0.014	0.015	0.016	0.017	0.018	0.019
2	15	1000	14	0.014	0.015	0.016	0.017	0.018	0.019	0.02
2	16	1000	15	0.015	0.016	0.017	0.018	0.019	0.02	0.021
2	17	1000	16	0.016	0.017	0.018	0.019	0.02	0.021	0.022
2	18	1000	17	0.017	0.018	0.019	0.02	0.021	0.022	0.023
2	19	1000	18	0.018	0.019	0.02	0.021	0.022	0.023	0.024
2	20	1000	19	0.019	0.02	0.021	0.022	0.023	0.024	0.025
2	21	1000	20	0.02	0.021	0.022	0.023	0.024	0.025	0.026
2	22	1000	21	0.021	0.022	0.023	0.024	0.025	0.026	0.027
2	23	1000	22	0.022	0.023	0.024	0.025	0.026	0.027	0.028
2	24	1000	23	0.023	0.024	0.025	0.026	0.027	0.028	0.029
2	25	1000	24	0.024	0.025	0.026	0.027	0.028	0.029	0.03
2	26	1000	25	0.025	0.026	0.027	0.028	0.029	0.03	0.031
2	27	1000	26	0.026	0.027	0.028	0.029	0.03	0.031	0.032
2	28	1000	27	0.027	0.028	0.029	0.03	0.031	0.032	0.033
2	29	1000	28	0.028	0.029	0.03	0.031	0.032	0.033	0.034
2	30	1000	29	0.029	0.03	0.031	0.032	0.033	0.034	0.035
2	31	1000	30	0.03	0.031	0.032	0.033	0.034	0.035	0.036
2	32	1000	31	0.031	0.032	0.033	0.034	0.035	0.036	0.037
2	33	1000	32	0.032	0.033	0.034	0.035	0.036	0.037	0.038
2	34	1000	33	0.033	0.034	0.035	0.036	0.037	0.038	0.039
2	35	1000	34	0.034	0.035	0.036	0.037	0.038	0.039	0.04
2	36	1000	35	0.035	0.036	0.037	0.038	0.039	0.04	0.041
2	37	1000	36	0.036	0.037	0.038	0.039	0.04	0.041	0.042
2	38	1000	37	0.037	0.038	0.039	0.04	0.041	0.042	0.043
2	39	1000	38	0.038	0.039	0.04	0.041	0.042	0.043	0.044
2	40	1000	39	0.039	0.04	0.041	0.042	0.043	0.044	0.045
2	41	1000	40	0.04	0.041	0.042	0.043	0.044	0.045	0.046
2	42	1000	41	0.041	0.042	0.043	0.044	0.045	0.046	0.047
2	43	1000	42	0.042	0.043	0.044	0.045	0.046	0.047	0.048
2	44	1000	43	0.043	0.044	0.045	0.046	0.047	0.048	0.049
2	45	1000	44	0.044	0.045	0.046	0.047	0.048	0.049	0.05
2	46	1000	45	0.045	0.046	0.047	0.048	0.049	0.05	0.051
2	47	1000	46	0.046	0.047	0.048	0.049	0.05	0.051	0.052
2	48	1000	47	0.047	0.048	0.049	0.05	0.051	0.052	0.053
2	49	1000	48	0.048	0.049	0.05	0.051	0.052	0.053	0.054
2	50	1000	49	0.049	0.05	0.051	0.052	0.053	0.054	0.055
2	51	1000	50	0.05	0.051	0.052	0.053	0.054	0.055	0.056
2	52	1000	51	0.051	0.052	0.053	0.054	0.055	0.056	0.057
2	53	1000	52	0.052	0.053	0.054	0.055	0.056	0.057	0.058
2	54	1000	53	0.053	0.054	0.055	0.056	0.057	0.058	0.059
2	55	1000	54	0.054	0.055	0.056	0.057	0.058	0.059	0.06
2	56	1000	55	0.055	0.056	0.057	0.058	0.059	0.06	0.061
2	57	1000	56	0.056	0.057	0.058	0.059	0.06	0.061	0.062
2	58	1000	57	0.057	0.058	0.059	0.06	0.061	0.062	0.063
2	59	1000	58	0.058	0.059	0.06	0.061	0.062	0.063	0.064
2	60	1000	59	0.059	0.06	0.061	0.062	0.063	0.064	0.065
2	61	1000	60	0.06	0.061	0.062	0.063	0.064	0.065	0.066
2	62	1000	61	0.061	0.062	0.063	0.064	0.065	0.066	0.067
2	63	1000	62	0.062	0.063	0.064	0.065	0.066	0.067	0.068
2	64	1000	63	0.063	0.064	0.065	0.066	0.067	0.068	0.069
2	65	1000	64	0.064	0.065	0.066	0.067	0.068	0.069	0.07
2	66	1000	65	0.065	0.066	0.067	0.068	0.069	0.07	0.071
2	67	1000	66	0.066	0.067	0.068	0.069	0.07	0.071	0.072
2	68	1000	67	0.067	0.068	0.069	0.07	0.071	0.072	0.073
2	69	1000	68	0.068	0.069	0.07	0.071	0.072	0.073	0.074
2	70	1000	69	0.069	0.07	0.071	0.072	0.073	0.074	0.075
2	71	1000	70	0.07	0.071	0.072	0.073	0.074	0.075	0.076
2	72	1000	71	0.071	0.072	0.073	0.074	0.075	0.076	0.077
2	73	1000	72	0.072	0.073	0.074	0.075	0.076	0.077	0.078
2	74	1000	73	0.073	0.074	0.075	0.076	0.077	0.078	0.079
2	75	1000	74	0.074	0.075	0.076	0.077	0.078	0.079	0.08
2	76	1000	75	0.075	0.076	0.077	0.078	0.079	0.08	0.081
2	77	1000	76	0.076	0.077	0.078	0.079	0.08	0.081	0.082
2	78	1000	77	0.077	0.078	0.079	0.08	0.081	0.082	0.083
2	79	1000	78	0.078	0.079	0.08	0.081	0.082	0.083	0.084
2	80	1000	79	0.079	0.08	0.081	0.082	0.083	0.084	0.085
2	81	1000	80	0.08	0.081	0.082	0.083	0.084	0.085	0.086
2	82	1000	81	0.081	0.082	0.083	0.084	0.085	0.086	0.087
2	83	1000	82	0.082	0.083	0.084	0.085	0.086	0.087	0.088
2	84	1000	83	0.083	0.084	0.085	0.086	0.087	0.088	0.089
2	85	1000	84	0.084	0.085	0.086	0.087	0.088	0.089	0.09
2	86	1000	85	0.085	0.086	0.087	0.088	0.089	0.09	0.091
2	87	1000	86	0.086	0.087	0.088	0.089	0.09	0.091	0.092
2	88	1000	87	0.087	0.088	0.089	0.09	0.091	0.092	0.093
2	89	1000	88	0.088	0.089	0.09	0.091	0.092	0.093	0.094
2	90	1000	89	0.089	0.09	0.091	0.092	0.093	0.094	0.095
2	91	1000	90	0.09	0.091	0.092	0.093	0.094	0.095	0.096
2	92	1000	91	0.091	0.092	0.093	0.094	0.095	0.096	0.097
2	93	1000	92	0.092	0.093	0.094	0.095	0.096	0.097	0.098
2	94	1000	93	0.093	0.094	0.095	0.096	0.097	0.098	0.099
2	95	1000	94	0.094	0.095	0.096	0.097	0.098	0.099	0.1
2	96	1000	95	0.095	0.096	0.097	0.098	0.099	0.1	0.101
2	97	1000	96	0.096	0.097	0.098	0.099	0.1	0.101	0.102
2	98	1000	97	0.097	0.098	0.099	0.1	0.101	0.102	0.103
2	99	1000	98	0.098	0.099	0.1	0.101	0.102	0.103	0.104
2	100	1000	99	0.099	0.1	0.101	0.102	0.103	0.104	0.105
