/usr/bin/python /home/nservant/Apps/HiC-Pro_2.11.0-beta/scripts/markAllelicStatus.py -s /home/nservant/Desktop/hicpro_dev/test-op/bowtie2_indexes_as_test/snps_CAST_129S1.vcf -v -r -i bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs.bam -o bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs_allspe.bam
Warning : no SNPs found at position chr16:20495861. N ignored
Warning : no SNPs found at position chr7:14354581. N ignored
Warning : no SNPs found at position chr3:125101661. N ignored
Warning : no SNPs found at position chr9:16183106. N ignored
Warning : no SNPs found at position chr19:46361458. N ignored
Warning : no SNPs found at position chr10:34250685. N ignored
Warning : no SNPs found at position chr6:149338984. N ignored
Warning : no SNPs found at position chr18:62554650. N ignored
Warning : no SNPs found at position chr6:123951780. N ignored
Warning : no SNPs found at position chr8:27015460. N ignored
Warning : no SNPs found at position chr6:90967055. N ignored
Warning : no SNPs found at position chr16:8898962. N ignored
Warning : no SNPs found at position chr6:141651999. N ignored
Warning : no SNPs found at position chr1:8936244. N ignored
Warning : no SNPs found at position chr13:99750765. N ignored
Warning : no SNPs found at position chr8:45154954. N ignored
Warning : no SNPs found at position chr8:45154956. N ignored
Warning : no SNPs found at position chr8:109764436. N ignored
Warning : no SNPs found at position chr8:5047910. N ignored
Warning : no SNPs found at position chr16:67428167. N ignored
Warning : no SNPs found at position chrX:50612207. N ignored
Warning : no SNPs found at position chr17:73733075. N ignored
Warning : no SNPs found at position chr4:84230103. N ignored
Warning : no SNPs found at position chr5:19033169. N ignored
Warning : no SNPs found at position chr1:164262349. N ignored
Warning : no SNPs found at position chr11:34196254. N ignored
Warning : no SNPs found at position chr4:101229161. N ignored
Warning : no SNPs found at position chr8:108350470. N ignored
Warning : no SNPs found at position chr16:43694007. N ignored
Warning : no SNPs found at position chr16:43694008. N ignored
Warning : no SNPs found at position chr11:48435865. N ignored
Warning : no SNPs found at position chr14:110251693. N ignored
Warning : no SNPs found at position chr12:86489834. N ignored
Warning : no SNPs found at position chr14:34199410. N ignored
Warning : no SNPs found at position chr3:9540541. N ignored
Warning : no SNPs found at position chr9:91259130. N ignored
Warning : no SNPs found at position chr5:44683636. N ignored
Warning : no SNPs found at position chr16:43902472. N ignored
Warning : no SNPs found at position chr1:95844900. N ignored
Warning : no SNPs found at position chr5:54132260. N ignored
Warning : no SNPs found at position chr3:149095611. N ignored
Warning : no SNPs found at position chr3:12260244. N ignored
Warning : no SNPs found at position chr11:14701587. N ignored
Warning : no SNPs found at position chr10:70966519. N ignored
Warning : no SNPs found at position chr6:86282929. N ignored
Warning : no SNPs found at position chr12:50166872. N ignored
Warning : no SNPs found at position chr8:24455796. N ignored
Warning : no SNPs found at position chr6:99596968. N ignored
Warning : no SNPs found at position chr8:26346035. N ignored
Warning : no SNPs found at position chr5:19714697. N ignored
Warning : no SNPs found at position chr10:97862576. N ignored
Warning : no SNPs found at position chr7:28095263. N ignored
Warning : no SNPs found at position chr8:81811320. N ignored
Warning : no SNPs found at position chr4:58962027. N ignored
Warning : no SNPs found at position chr6:68578526. N ignored
Warning : no SNPs found at position chr18:78645087. N ignored
Warning : no SNPs found at position chr14:61426437. N ignored
Warning : no SNPs found at position chr11:22038489. N ignored
Warning : no SNPs found at position chr6:73922165. N ignored
Warning : no SNPs found at position chr7:60826975. N ignored
Warning : no SNPs found at position chr8:55406147. N ignored
Warning : no SNPs found at position chr9:88543336. N ignored
Warning : no SNPs found at position chr8:118688346. N ignored
Warning : no SNPs found at position chr18:68550698. N ignored
Warning : no SNPs found at position chr7:132920920. N ignored
Warning : no SNPs found at position chr10:66652221. N ignored
Warning : no SNPs found at position chr17:75804016. N ignored
Warning : no SNPs found at position chrX:5990838. N ignored
Warning : no SNPs found at position chr16:46897707. N ignored
Warning : no SNPs found at position chr5:6676359. N ignored
Warning : no SNPs found at position chr8:97790383. N ignored
Warning : no SNPs found at position chr16:93327678. N ignored
Warning : no SNPs found at position chr4:149609157. N ignored
Warning : no SNPs found at position chr4:56797883. N ignored
Warning : no SNPs found at position chr8:50440961. N ignored
Warning : no SNPs found at position chr3:3699032. N ignored
## Loading VCF file ' /home/nservant/Desktop/hicpro_dev/test-op/bowtie2_indexes_as_test/snps_CAST_129S1.vcf '...
## 100000
## 200000
## 300000
## 400000
## 500000
## 600000
## 700000
## 800000
## 900000
## 1000000
## 1100000
## 1200000
## 1300000
## 1400000
## 1500000
## 1600000
## 1700000
## 1800000
## 1900000
## 2000000
## 2100000
## 2200000
## 2300000
## 2400000
## 2500000
## 2600000
## 2700000
## 2800000
## 2900000
## 3000000
## 3100000
## 3200000
## 3300000
## 3400000
## 3500000
## 3600000
## 3700000
## 3800000
## 3900000
## 4000000
## 4100000
## 4200000
## 4300000
## 4400000
## 4500000
## 4600000
## 4700000
## 4800000
## 4900000
## 5000000
## 5100000
## 5200000
## 5300000
## 5400000
## 5500000
## 5600000
## 5700000
## 5800000
## 5900000
## 6000000
## 6100000
## 6200000
## 6300000
## 6400000
## 6500000
## 6600000
## 6700000
## 6800000
## 6900000
## 7000000
## 7100000
## 7200000
## 7300000
## 7400000
## 7500000
## 7600000
## 7700000
## 7800000
## 7900000
## 8000000
## 8100000
## 8200000
## 8300000
## 8400000
## 8500000
## 8600000
## 8700000
## 8800000
## 8900000
## 9000000
## 9100000
## 9200000
## 9300000
## 9400000
## 9500000
## 9600000
## 9700000
## 9800000
## 9900000
## 10000000
## 10100000
## 10200000
## 10300000
## 10400000
## 10500000
## 10600000
## 10700000
## 10800000
## 10900000
## 11000000
## 11100000
## 11200000
## 11300000
## 11400000
## 11500000
## 11600000
## 11700000
## 11800000
## 11900000
## 12000000
## 12100000
## 12200000
## 12300000
## 12400000
## 12500000
## 12600000
## 12700000
## 12800000
## 12900000
## 13000000
## 13100000
## 13200000
## 13300000
## 13400000
## 13500000
## 13600000
## 13700000
## 13800000
## 13900000
## 14000000
## 14100000
## 14200000
## 14300000
## 14400000
## 14500000
## 14600000
## 14700000
## 14800000
## 14900000
## 15000000
## 15100000
## 15200000
## 15300000
## 15400000
## 15500000
## 15600000
## 15700000
## 15800000
## 15900000
## 16000000
## 16100000
## 16200000
## 16300000
## 16400000
## 16500000
## 16600000
## 16700000
## 16800000
## 16900000
## 17000000
## 17100000
## 17200000
## 17300000
## 17400000
## 17500000
## 17600000
## 17700000
## 17800000
## 17900000
## 18000000
## 18100000
## 18200000
## 18300000
## 18400000
## 18500000
## 18600000
## 18700000
## 18800000
## 18900000
## 19000000
## 19100000
## 19200000
## 19300000
## 19400000
## 19500000
## 19600000
## 19700000
## 19800000
## 19900000
## 20000000
## 20100000
## 20200000
## 20300000
## 20400000
## 20500000
## Number of loaded SNPs = 20563466 over 20563466
## Opening SAM/BAM file ' bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs.bam '...
## /home/nservant/Apps/HiC-Pro_2.11.0-beta/scripts/markAllelicStatus.py
## ibam= bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs.bam
## snpFile= /home/nservant/Desktop/hicpro_dev/test-op/bowtie2_indexes_as_test/snps_CAST_129S1.vcf
## tag= XA
## output=bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs_allspe.bam
## verbose= True 

## Assigning allele specific information ...
## 100000
## 200000
## 300000
## 400000
mv bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs_allspe.bam bowtie_results/bwt2/mF1216/SRR2240731_subset_mm10_CAST_129S1_Nmask.bwt2pairs.bam
