BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	71	R	45585
1	72	C	27747
1	72	R	45576
1	73	C	27375
1	73	R	46110
1	74	C	27433
1	74	R	46103
1	75	C	27260
1	75	R	46815
1	76	C	27446
1	76	R	46701
1	77	C	27196
1	77	R	47064
1	78	C	27332
1	78	R	46155
1	79	C	27289
1	79	R	45272
1	80	C	27093
1	80	R	44460
1	81	C	27102
1	81	R	43011
1	82	C	26891
1	82	R	42573
1	83	C	26997
1	83	R	41801
1	84	C	26372
1	84	R	41059
1	85	C	26362
1	85	R	40358
1	86	C	26140
1	86	R	39106
1	87	C	25876
1	87	R	38728
1	88	C	25743
1	88	R	38031
1	89	C	25431
1	89	R	36583
1	90	C	25052
1	90	R	36058
1	91	C	25253
1	91	R	35288
1	92	C	25255
1	92	R	34326
1	93	C	24542
1	93	R	34003
1	94	C	24427
1	94	R	33186
1	95	C	24276
1	95	R	32654
1	96	C	24382
1	96	R	31625
1	97	C	24332
1	97	R	31497
1	98	C	23977
1	98	R	30417
1	99	C	23617
1	99	R	28682
1	100	C	11916
1	100	R	14107
2	0	C	12064
2	0	R	10758
2	1	C	26923
2	1	R	23907
2	2	C	29685
2	2	R	26645
2	3	C	30986
2	3	R	27838
2	4	C	33744
2	4	R	30490
2	5	C	35343
2	5	R	35907
2	6	C	39174
2	6	R	44397
2	7	C	38193
2	7	R	44785
2	8	C	37298
2	8	R	55115
2	9	C	45254
2	9	R	65616
2	10	C	45035
2	10	R	56899
2	11	C	36938
2	11	R	54543
2	12	C	35575
2	12	R	58987
2	13	C	39170
2	13	R	62405
2	14	C	37928
2	14	R	67900
2	15	C	34199
2	15	R	79119
2	16	C	33566
2	16	R	81172
2	17	C	33337
2	17	R	74500
2	18	C	34987
2	18	R	75010
2	19	C	33499
2	19	R	67431
2	20	C	33241
2	20	R	56786
2	21	C	33238
2	21	R	53318
2	22	C	33274
2	22	R	51536
2	23	C	32779
2	23	R	50814
2	24	C	31758
2	24	R	51839
2	25	C	32006
2	25	R	54588
2	26	C	31847
2	26	R	55762
2	27	C	31430
2	27	R	53756
2	28	C	30863
2	28	R	49033
2	29	C	30908
2	29	R	46854
2	30	C	31106
2	30	R	45758
2	31	C	30954
2	31	R	45589
2	32	C	29972
2	32	R	45723
2	33	C	30699
2	33	R	46278
2	34	C	30625
2	34	R	46727
2	35	C	30190
2	35	R	47027
2	36	C	30594
2	36	R	48418
2	37	C	29997
2	37	R	48020
2	38	C	30267
2	38	R	48313
2	39	C	29903
2	39	R	47958
2	40	C	29618
2	40	R	48013
2	41	C	29603
2	41	R	47308
2	42	C	29725
2	42	R	47142
2	43	C	29675
2	43	R	48166
2	44	C	29916
2	44	R	48662
2	45	C	29773
2	45	R	48702
2	46	C	29129
2	46	R	48933
2	47	C	29221
2	47	R	48193
2	48	C	28749
2	48	R	46738
2	49	C	28792
2	49	R	46524
2	50	C	29000
2	50	R	45768
2	51	C	29258
2	51	R	44839
2	52	C	28941
2	52	R	44904
2	53	C	28963
2	53	R	45242
2	54	C	28798
2	54	R	45392
2	55	C	28770
2	55	R	45843
2	56	C	29067
2	56	R	45502
2	57	C	28932
2	57	R	45892
2	58	C	28882
2	58	R	45368
2	59	C	28940
2	59	R	44870
2	60	C	28914
2	60	R	44600
2	61	C	29112
2	61	R	44603
2	62	C	28686
2	62	R	44451
2	63	C	28403
2	63	R	45169
2	64	C	28586
2	64	R	45783
2	65	C	28880
2	65	R	45753
2	66	C	28039
2	66	R	49818
2	67	C	28386
2	67	R	50480
2	68	C	28305
2	68	R	50955
2	69	C	27927
2	69	R	51676
2	70	C	27784
2	70	R	53111
2	71	C	28042
2	71	R	52667
2	72	C	27516
2	72	R	46653
2	73	C	27612
2	73	R	46522
2	74	C	27492
2	74	R	47067
2	75	C	27732
2	75	R	47425
2	76	C	27774
2	76	R	46719
2	77	C	27408
2	77	R	46826
2	78	C	27942
2	78	R	46191
2	79	C	27169
2	79	R	45982
2	80	C	27461
2	80	R	45314
2	81	C	27348
2	81	R	44963
2	82	C	27227
2	82	R	44212
2	83	C	26886
2	83	R	43540
2	84	C	26944
2	84	R	42389
2	85	C	26837
2	85	R	41733
2	86	C	26499
2	86	R	40433
2	87	C	26208
2	87	R	39992
2	88	C	25925
2	88	R	38640
2	89	C	26098
2	89	R	37743
2	90	C	25731
2	90	R	36909
2	91	C	25754
2	91	R	36031
2	92	C	25358
2	92	R	35230
2	93	C	24862
2	93	R	35489
2	94	C	24750
2	94	R	34158
2	95	C	24696
2	95	R	33276
2	96	C	24649
2	96	R	32427
2	97	C	24446
2	97	R	31409
2	98	C	24333
2	98	R	30974
2	99	C	24194
2	99	R	29445
2	100	C	12016
2	100	R	14690
