BISCUITqc CpG Retention by Read Position Table
ReadInPair	Position	Conversion/Retention	Count
1	77	C	33027
1	77	R	48918
1	78	C	32846
1	78	R	48826
1	79	C	32722
1	79	R	48820
1	80	C	32660
1	80	R	48073
1	81	C	32442
1	81	R	48244
1	82	C	32581
1	82	R	47780
1	83	C	32236
1	83	R	46565
1	84	C	31886
1	84	R	46261
1	85	C	31416
1	85	R	45978
1	86	C	31861
1	86	R	44921
1	87	C	31159
1	87	R	44864
1	88	C	31208
1	88	R	44387
1	89	C	31023
1	89	R	42918
1	90	C	31088
1	90	R	42695
1	91	C	30764
1	91	R	42059
1	92	C	30577
1	92	R	41767
1	93	C	30616
1	93	R	41193
1	94	C	30461
1	94	R	40640
1	95	C	30476
1	95	R	40184
1	96	C	30450
1	96	R	39253
1	97	C	30533
1	97	R	39328
1	98	C	29977
1	98	R	38346
1	99	C	29954
1	99	R	37181
1	100	C	15203
1	100	R	18083
2	0	C	13799
2	0	R	11841
2	1	C	28913
2	1	R	26770
2	2	C	32470
2	2	R	30071
2	3	C	33723
2	3	R	30658
2	4	C	36252
2	4	R	32304
2	5	C	37427
2	5	R	37058
2	6	C	41577
2	6	R	45998
2	7	C	41142
2	7	R	47520
2	8	C	39702
2	8	R	56290
2	9	C	49102
2	9	R	67714
2	10	C	48573
2	10	R	56447
2	11	C	38926
2	11	R	51148
2	12	C	37613
2	12	R	53738
2	13	C	39159
2	13	R	55508
2	14	C	38295
2	14	R	59168
2	15	C	36473
2	15	R	65652
2	16	C	36592
2	16	R	67522
2	17	C	36268
2	17	R	65161
2	18	C	36652
2	18	R	66343
2	19	C	36288
2	19	R	62297
2	20	C	36074
2	20	R	55955
2	21	C	36176
2	21	R	54146
2	22	C	36455
2	22	R	52922
2	23	C	36322
2	23	R	53353
2	24	C	35786
2	24	R	53655
2	25	C	36120
2	25	R	55533
2	26	C	35940
2	26	R	56350
2	27	C	36070
2	27	R	55628
2	28	C	36059
2	28	R	53315
2	29	C	36002
2	29	R	52069
2	30	C	36015
2	30	R	51660
2	31	C	36251
2	31	R	51081
2	32	C	36131
2	32	R	51713
2	33	C	36138
2	33	R	52146
2	34	C	35954
2	34	R	52586
2	35	C	36198
2	35	R	52245
2	36	C	36065
2	36	R	52763
2	37	C	36012
2	37	R	53062
2	38	C	36169
2	38	R	53357
2	39	C	36127
2	39	R	53429
2	40	C	35643
2	40	R	52876
2	41	C	35943
2	41	R	53264
2	42	C	36042
2	42	R	53097
2	43	C	35795
2	43	R	53173
2	44	C	36112
2	44	R	54082
2	45	C	35967
2	45	R	53770
2	46	C	35672
2	46	R	53829
2	47	C	35992
2	47	R	53030
2	48	C	36029
2	48	R	52605
2	49	C	35350
2	49	R	52278
2	50	C	35501
2	50	R	52407
2	51	C	35977
2	51	R	52244
2	52	C	36021
2	52	R	51727
2	53	C	35512
2	53	R	51970
2	54	C	35577
2	54	R	52410
2	55	C	35506
2	55	R	51912
2	56	C	35396
2	56	R	52229
2	57	C	35135
2	57	R	51876
2	58	C	35691
2	58	R	51792
2	59	C	35636
2	59	R	51423
2	60	C	35388
2	60	R	51669
2	61	C	34803
2	61	R	51380
2	62	C	34662
2	62	R	51067
2	63	C	35012
2	63	R	51319
2	64	C	34904
2	64	R	50695
2	65	C	34765
2	65	R	50705
2	66	C	34786
2	66	R	52819
2	67	C	34543
2	67	R	53108
2	68	C	33982
2	68	R	53104
2	69	C	34134
2	69	R	54021
2	70	C	34002
2	70	R	54205
2	71	C	33893
2	71	R	54277
2	72	C	33658
2	72	R	50655
2	73	C	33644
2	73	R	50513
2	74	C	33619
2	74	R	50010
2	75	C	33321
2	75	R	50030
2	76	C	33527
2	76	R	49995
2	77	C	33232
2	77	R	50059
2	78	C	33385
2	78	R	49312
2	79	C	32746
2	79	R	49594
2	80	C	32756
2	80	R	49529
2	81	C	32673
2	81	R	48874
2	82	C	32611
2	82	R	48007
2	83	C	32445
2	83	R	48004
2	84	C	32647
2	84	R	47084
2	85	C	32591
2	85	R	46551
2	86	C	32191
2	86	R	45381
2	87	C	32088
2	87	R	45171
2	88	C	31444
2	88	R	43961
2	89	C	31214
2	89	R	43703
2	90	C	31320
2	90	R	43153
2	91	C	31453
2	91	R	42487
2	92	C	31227
2	92	R	41830
2	93	C	31109
2	93	R	42251
2	94	C	30843
2	94	R	40971
2	95	C	30806
2	95	R	41098
2	96	C	30860
2	96	R	40682
2	97	C	31200
2	97	R	39413
2	98	C	30590
2	98	R	38996
2	99	C	30756
2	99	R	38265
2	100	C	15527
2	100	R	18894
