total_counts	n_genes_by_counts	cellrank_total_counts	cellrank_n_genes_by_counts	cell_index
218.0	95	390	95	95
250.0	95	267	96	96
343.0	95	68	97	97
327.0	95	85	98	98
376.0	95	48	99	99
268.0	94	206	100	100
225.0	94	366	101	101
312.0	93	108	102	102
280.0	93	180	103	103
281.0	93	174	104	104
299.0	93	138	105	105
311.0	93	110	106	106
324.0	93	90	107	107
287.0	93	162	108	108
323.0	93	94	109	109
292.0	92	151	110	110
229.0	92	339	111	111
310.0	92	112	112	112
257.0	92	241	113	113
231.0	92	327	114	114
249.0	92	268	115	115
340.0	92	69	116	116
297.0	92	144	117	117
381.0	91	45	118	118
302.0	91	130	119	119
295.0	91	147	120	120
205.0	91	445	121	121
239.0	90	298	122	122
350.0	90	60	123	123
259.0	90	233	124	124
288.0	89	160	125	125
290.0	89	154	126	126
322.0	89	96	127	127
230.0	89	331	128	128
236.0	89	313	129	129
269.0	89	205	130	130
271.0	89	198	131	131
236.0	89	311	132	132
204.0	89	452	133	133
261.0	88	226	134	134
347.0	88	64	135	135
227.0	88	349	136	136
332.0	88	80	137	137
166.0	88	671	138	138
241.0	88	291	139	139
331.0	88	81	140	140
369.0	88	51	141	141
294.0	87	148	142	142
264.0	87	217	143	143
192.0	87	532	144	144
196.0	87	499	145	145
229.0	87	340	146	146
334.0	87	79	147	147
345.0	87	66	148	148
204.0	87	453	149	149
173.0	87	636	150	150
340.0	87	70	151	151
226.0	86	359	152	152
258.0	86	238	153	153
232.0	86	324	154	154
323.0	86	95	155	155
234.0	86	320	156	156
324.0	86	93	157	157
296.0	86	145	158	158
221.0	85	376	159	159
203.0	85	461	160	160
239.0	85	300	161	161
189.0	85	550	162	162
247.0	85	273	163	163
260.0	84	228	164	164
256.0	84	247	165	165
359.0	84	53	166	166
281.0	84	175	167	167
299.0	84	137	168	168
298.0	84	139	169	169
185.0	84	574	170	170
238.0	84	305	171	171
290.0	84	156	172	172
271.0	84	199	173	173
241.0	84	293	174	174
315.0	84	104	175	175
207.0	84	431	176	176
238.0	83	304	177	177
236.0	83	312	178	178
238.0	83	302	179	179
205.0	83	446	180	180
309.0	83	113	181	181
243.0	83	284	182	182
265.0	83	210	183	183
197.0	83	496	184	184
221.0	83	377	185	185
189.0	83	557	186	186
196.0	83	502	187	187
198.0	83	489	188	188
260.0	82	227	189	189
309.0	82	117	190	190
408.0	82	32	191	191
246.0	82	277	192	192
297.0	82	143	193	193
261.0	82	225	194	194
230.0	82	333	195	195
195.0	82	506	196	196
159.0	82	703	197	197
260.0	82	229	198	198
307.0	82	122	199	199
251.0	82	263	200	200
304.0	82	127	201	201
358.0	82	55	202	202
168.0	82	659	203	203
213.0	81	407	204	204
229.0	81	342	205	205
176.0	81	623	206	206
244.0	81	282	207	207
163.0	81	690	208	208
265.0	81	214	209	209
239.0	81	299	210	210
322.0	81	97	211	211
270.0	81	200	212	212
289.0	81	158	213	213
191.0	81	538	214	214
186.0	81	570	215	215
283.0	81	168	216	216
274.0	81	187	217	217
273.0	81	192	218	218
273.0	81	194	219	219
304.0	81	125	220	220
338.0	81	72	221	221
285.0	80	165	222	222
292.0	80	150	223	223
334.0	80	77	224	224
182.0	80	592	225	225
229.0	80	336	226	226
251.0	80	261	227	227
224.0	80	371	228	228
229.0	80	343	229	229
325.0	80	89	230	230
168.0	80	656	231	231
281.0	80	177	232	232
265.0	80	211	233	233
291.0	80	152	234	234
266.0	79	209	235	235
288.0	79	161	236	236
217.0	79	400	237	237
215.0	79	404	238	238
253.0	79	253	239	239
221.0	79	379	240	240
257.0	79	243	241	241
212.0	79	417	242	242
383.0	79	44	243	243
160.0	79	698	244	244
173.0	79	641	245	245
354.0	79	58	246	246
300.0	79	135	247	247
304.0	79	126	248	248
156.0	79	719	249	249
194.0	79	516	250	250
312.0	79	109	251	251
233.0	79	323	252	252
252.0	79	258	253	253
241.0	78	292	254	254
298.0	78	141	255	255
189.0	78	555	256	256
327.0	78	87	257	257
321.0	78	100	258	258
265.0	78	212	259	259
211.0	78	419	260	260
202.0	78	466	261	261
211.0	78	421	262	262
263.0	78	219	263	263
167.0	78	669	264	264
273.0	77	189	265	265
229.0	77	341	266	266
301.0	77	131	267	267
303.0	77	128	268	268
404.0	77	35	269	269
228.0	77	345	270	270
216.0	77	401	271	271
290.0	77	155	272	272
226.0	77	358	273	273
195.0	77	508	274	274
330.0	77	83	275	275
298.0	77	142	276	276
270.0	77	202	277	277
164.0	77	682	278	278
159.0	77	706	279	279
264.0	77	216	280	280
219.0	77	388	281	281
192.0	77	525	282	282
324.0	77	91	283	283
269.0	77	204	284	284
185.0	77	571	285	285
309.0	76	114	286	286
268.0	76	207	287	287
190.0	76	545	288	288
154.0	76	731	289	289
262.0	76	220	290	290
195.0	76	505	291	291
264.0	76	215	292	292
203.0	76	454	293	293
237.0	76	308	294	294
251.0	76	260	295	295
296.0	76	146	296	296
256.0	76	249	297	297
280.0	76	178	298	298
251.0	76	264	299	299
281.0	76	173	300	300
180.0	76	604	301	301
253.0	76	254	302	302
221.0	76	375	303	303
248.0	76	271	304	304
246.0	76	276	305	305
226.0	76	362	306	306
189.0	76	554	307	307
256.0	76	246	308	308
173.0	76	640	309	309
220.0	76	382	310	310
198.0	76	483	311	311
229.0	75	338	312	312
225.0	75	364	313	313
181.0	75	594	314	314
224.0	75	370	315	315
207.0	75	430	316	316
395.0	75	39	317	317
200.0	75	472	318	318
205.0	75	447	319	319
212.0	75	413	320	320
220.0	75	385	321	321
192.0	75	533	322	322
142.0	75	790	323	323
340.0	75	71	324	324
142.0	75	785	325	325
244.0	75	281	326	326
240.0	75	294	327	327
237.0	75	307	328	328
252.0	75	259	329	329
262.0	75	224	330	330
167.0	74	668	331	331
183.0	74	584	332	332
318.0	74	102	333	333
314.0	74	105	334	334
152.0	74	738	335	335
200.0	74	474	336	336
242.0	74	287	337	337
193.0	74	519	338	338
294.0	74	149	339	339
192.0	74	529	340	340
259.0	74	231	341	341
218.0	74	389	342	342
195.0	74	503	343	343
203.0	74	457	344	344
178.0	74	615	345	345
301.0	73	132	346	346
300.0	73	133	347	347
281.0	73	176	348	348
195.0	73	509	349	349
145.0	73	769	350	350
123.0	73	852	351	351
197.0	73	493	352	352
256.0	73	245	353	353
254.0	73	252	354	354
194.0	73	518	355	355
309.0	73	115	356	356
176.0	73	624	357	357
348.0	73	62	358	358
361.0	73	52	359	359
272.0	73	195	360	360
242.0	73	289	361	361
192.0	73	527	362	362
154.0	72	729	363	363
183.0	72	586	364	364
249.0	72	269	365	365
189.0	72	553	366	366
277.0	72	182	367	367
237.0	72	309	368	368
163.0	72	684	369	369
230.0	72	330	370	370
173.0	72	635	371	371
147.0	72	756	372	372
256.0	72	244	373	373
199.0	72	482	374	374
224.0	72	368	375	375
199.0	72	478	376	376
302.0	72	129	377	377
133.0	72	821	378	378
209.0	72	427	379	379
280.0	72	181	380	380
217.0	71	397	381	381
198.0	71	488	382	382
356.0	71	57	383	383
206.0	71	441	384	384
181.0	71	596	385	385
146.0	71	765	386	386
282.0	71	171	387	387
169.0	71	652	388	388
186.0	71	569	389	389
202.0	71	464	390	390
180.0	71	602	391	391
138.0	71	803	392	392
251.0	71	266	393	393
230.0	71	332	394	394
230.0	71	334	395	395
230.0	71	335	396	396
227.0	71	348	397	397
226.0	71	357	398	398
244.0	71	280	399	399
225.0	71	367	400	400
163.0	71	688	401	401
253.0	71	257	402	402
191.0	70	535	403	403
270.0	70	203	404	404
190.0	70	546	405	405
248.0	70	272	406	406
201.0	70	467	407	407
202.0	70	465	408	408
191.0	70	542	409	409
240.0	70	296	410	410
273.0	70	190	411	411
226.0	70	355	412	412
206.0	70	437	413	413
196.0	70	498	414	414
179.0	70	606	415	415
193.0	70	524	416	416
270.0	70	201	417	417
150.0	70	743	418	418
201.0	70	468	419	419
254.0	70	251	420	420
201.0	70	469	421	421
257.0	70	242	422	422
246.0	70	274	423	423
224.0	70	369	424	424
145.0	70	767	425	425
221.0	70	380	426	426
246.0	70	275	427	427
225.0	70	365	428	428
138.0	70	804	429	429
190.0	70	547	430	430
188.0	70	560	431	431
143.0	70	780	432	432
195.0	69	507	433	433
191.0	69	540	434	434
184.0	69	581	435	435
280.0	69	179	436	436
139.0	69	796	437	437
196.0	69	500	438	438
191.0	69	543	439	439
191.0	69	539	440	440
282.0	69	170	441	441
190.0	69	544	442	442
192.0	69	526	443	443
275.0	69	185	444	444
233.0	69	322	445	445
236.0	69	315	446	446
262.0	69	221	447	447
206.0	69	442	448	448
215.0	69	402	449	449
218.0	69	391	450	450
169.0	69	651	451	451
171.0	69	644	452	452
221.0	69	378	453	453
222.0	69	374	454	454
149.0	69	748	455	455
245.0	69	279	456	456
168.0	69	660	457	457
174.0	69	634	458	458
161.0	69	696	459	459
168.0	69	665	460	460
263.0	69	218	461	461
235.0	69	319	462	462
207.0	69	432	463	463
157.0	69	713	464	464
153.0	69	734	465	465
236.0	69	314	466	466
177.0	69	621	467	467
219.0	68	386	468	468
192.0	68	530	469	469
197.0	68	491	470	470
253.0	68	256	471	471
288.0	68	159	472	472
192.0	68	528	473	473
197.0	68	497	474	474
251.0	68	265	475	475
220.0	68	384	476	476
231.0	68	328	477	477
162.0	68	694	478	478
156.0	68	718	479	479
225.0	68	363	480	480
190.0	68	548	481	481
242.0	68	288	482	482
226.0	68	353	483	483
227.0	68	352	484	484
195.0	68	512	485	485
267.0	68	208	486	486
211.0	68	424	487	487
187.0	68	563	488	488
185.0	68	575	489	489
202.0	68	462	490	490
200.0	68	473	491	491
177.0	68	620	492	492
211.0	68	423	493	493
271.0	68	197	494	494
189.0	68	559	495	495
231.0	67	329	496	496
204.0	67	451	497	497
182.0	67	593	498	498
276.0	67	183	499	499
274.0	67	186	500	500
176.0	67	622	501	501
275.0	67	184	502	502
179.0	67	610	503	503
180.0	67	598	504	504
208.0	67	429	505	505
133.0	67	822	506	506
157.0	67	712	507	507
193.0	67	521	508	508
197.0	67	490	509	509
226.0	67	361	510	510
255.0	67	250	511	511
172.0	67	642	512	512
171.0	67	643	513	513
215.0	67	405	514	514
286.0	67	164	515	515
166.0	67	672	516	516
213.0	67	411	517	517
213.0	67	410	518	518
166.0	67	670	519	519
188.0	67	562	520	520
168.0	66	664	521	521
127.0	66	839	522	522
159.0	66	705	523	523
177.0	66	618	524	524
153.0	66	733	525	525
187.0	66	565	526	526
171.0	66	645	527	527
163.0	66	685	528	528
165.0	66	675	529	529
162.0	66	695	530	530
148.0	66	752	531	531
143.0	66	781	532	532
189.0	66	558	533	533
196.0	66	501	534	534
235.0	66	317	535	535
211.0	66	422	536	536
229.0	66	337	537	537
212.0	66	412	538	538
238.0	66	303	539	539
211.0	66	418	540	540
239.0	66	301	541	541
203.0	66	459	542	542
211.0	66	420	543	543
253.0	66	255	544	544
195.0	66	510	545	545
209.0	66	426	546	546
207.0	66	434	547	547
206.0	66	436	548	548
192.0	66	531	549	549
289.0	66	157	550	550
117.0	65	871	551	551
123.0	65	854	552	552
258.0	65	239	553	553
334.0	65	78	554	554
146.0	65	763	555	555
119.0	65	864	556	556
215.0	65	406	557	557
226.0	65	354	558	558
187.0	65	567	559	559
143.0	65	783	560	560
237.0	65	306	561	561
324.0	65	92	562	562
156.0	65	722	563	563
226.0	65	360	564	564
155.0	65	723	565	565
233.0	65	321	566	566
259.0	65	234	567	567
167.0	65	667	568	568
182.0	64	590	569	569
199.0	64	480	570	570
190.0	64	549	571	571
220.0	64	383	572	572
194.0	64	514	573	573
168.0	64	661	574	574
148.0	64	754	575	575
152.0	64	737	576	576
175.0	64	625	577	577
223.0	64	373	578	578
137.0	64	811	579	579
138.0	64	807	580	580
174.0	64	632	581	581
146.0	64	760	582	582
308.0	64	119	583	583
217.0	64	396	584	584
184.0	64	578	585	585
160.0	64	702	586	586
212.0	64	415	587	587
197.0	64	494	588	588
235.0	64	318	589	589
217.0	64	398	590	590
198.0	64	485	591	591
184.0	64	580	592	592
155.0	64	724	593	593
144.0	64	773	594	594
168.0	64	663	595	595
207.0	63	435	596	596
206.0	63	438	597	597
163.0	63	683	598	598
173.0	63	638	599	599
164.0	63	681	600	600
175.0	63	629	601	601
136.0	63	812	602	602
213.0	63	409	603	603
165.0	63	678	604	604
156.0	63	721	605	605
153.0	63	732	606	606
179.0	63	611	607	607
163.0	63	686	608	608
193.0	63	522	609	609
191.0	63	536	610	610
206.0	63	440	611	611
111.0	63	883	612	612
201.0	63	471	613	613
231.0	63	326	614	614
181.0	62	595	615	615
143.0	62	779	616	616
262.0	62	223	617	617
286.0	62	163	618	618
189.0	62	552	619	619
183.0	62	582	620	620
133.0	62	819	621	621
134.0	62	817	622	622
139.0	62	798	623	623
201.0	62	470	624	624
232.0	62	325	625	625
170.0	62	647	626	626
206.0	62	439	627	627
218.0	62	392	628	628
164.0	62	680	629	629
219.0	62	387	630	630
204.0	62	449	631	631
122.0	62	857	632	632
197.0	62	495	633	633
189.0	62	551	634	634
178.0	62	614	635	635
180.0	62	605	636	636
198.0	62	484	637	637
259.0	62	236	638	638
226.0	62	356	639	639
180.0	62	600	640	640
133.0	62	825	641	641
118.0	62	867	642	642
132.0	62	826	643	643
175.0	62	627	644	644
186.0	61	568	645	645
199.0	61	481	646	646
257.0	61	240	647	647
217.0	61	399	648	648
168.0	61	655	649	649
125.0	61	847	650	650
203.0	61	460	651	651
135.0	61	814	652	652
166.0	61	673	653	653
146.0	61	762	654	654
240.0	61	295	655	655
181.0	61	597	656	656
156.0	61	715	657	657
178.0	61	612	658	658
150.0	61	744	659	659
127.0	61	840	660	660
236.0	60	310	661	661
165.0	60	679	662	662
158.0	60	708	663	663
218.0	60	394	664	664
193.0	60	523	665	665
228.0	60	346	666	666
273.0	60	191	667	667
114.0	60	880	668	668
149.0	60	747	669	669
245.0	60	278	670	670
175.0	60	628	671	671
156.0	60	716	672	672
204.0	60	450	673	673
203.0	60	456	674	674
199.0	60	479	675	675
259.0	60	235	676	676
256.0	60	248	677	677
305.0	60	124	678	678
155.0	60	727	679	679
107.0	60	891	680	680
169.0	60	653	681	681
215.0	60	403	682	682
160.0	59	700	683	683
133.0	59	823	684	684
229.0	59	344	685	685
160.0	59	699	686	686
207.0	59	433	687	687
223.0	59	372	688	688
220.0	59	381	689	689
191.0	59	541	690	690
193.0	59	520	691	691
142.0	59	787	692	692
197.0	59	492	693	693
198.0	59	487	694	694
187.0	59	564	695	695
200.0	59	475	696	696
185.0	59	576	697	697
117.0	59	875	698	698
180.0	59	601	699	699
121.0	59	858	700	700
179.0	59	609	701	701
137.0	59	810	702	702
243.0	59	285	703	703
175.0	59	626	704	704
153.0	59	735	705	705
155.0	59	725	706	706
157.0	59	711	707	707
133.0	58	820	708	708
142.0	58	784	709	709
168.0	58	658	710	710
183.0	58	585	711	711
130.0	58	832	712	712
103.0	58	904	713	713
177.0	58	616	714	714
123.0	58	855	715	715
199.0	58	477	716	716
189.0	58	556	717	717
187.0	58	566	718	718
126.0	58	843	719	719
168.0	58	662	720	720
203.0	58	455	721	721
131.0	58	830	722	722
163.0	58	687	723	723
163.0	58	691	724	724
184.0	57	579	725	725
157.0	57	714	726	726
205.0	57	444	727	727
208.0	57	428	728	728
191.0	57	537	729	729
138.0	57	800	730	730
149.0	57	750	731	731
249.0	57	270	732	732
124.0	57	850	733	733
194.0	57	517	734	734
147.0	57	755	735	735
169.0	57	654	736	736
138.0	57	802	737	737
138.0	57	805	738	738
148.0	56	751	739	739
145.0	56	766	740	740
148.0	56	753	741	741
159.0	56	707	742	742
138.0	56	801	743	743
145.0	56	768	744	744
177.0	56	617	745	745
151.0	56	739	746	746
175.0	56	631	747	747
210.0	56	425	748	748
173.0	56	639	749	749
212.0	56	416	750	750
140.0	56	794	751	751
170.0	56	649	752	752
99.0	56	913	753	753
194.0	56	513	754	754
129.0	56	833	755	755
87.0	56	936	756	756
159.0	56	704	757	757
152.0	56	736	758	758
104.0	55	900	759	759
110.0	55	887	760	760
158.0	55	709	761	761
120.0	55	860	762	762
227.0	55	350	763	763
115.0	55	876	764	764
149.0	55	749	765	765
180.0	55	599	766	766
121.0	55	859	767	767
178.0	55	613	768	768
165.0	55	677	769	769
183.0	55	587	770	770
170.0	55	650	771	771
213.0	55	408	772	772
135.0	55	815	773	773
99.0	54	914	774	774
132.0	54	828	775	775
114.0	54	879	776	776
142.0	54	789	777	777
124.0	54	851	778	778
138.0	54	806	779	779
113.0	54	882	780	780
140.0	54	793	781	781
191.0	54	534	782	782
161.0	54	697	783	783
212.0	54	414	784	784
168.0	54	666	785	785
146.0	54	761	786	786
179.0	54	608	787	787
179.0	54	607	788	788
145.0	54	770	789	789
188.0	54	561	790	790
145.0	54	771	791	791
144.0	54	772	792	792
195.0	54	504	793	793
155.0	54	726	794	794
163.0	54	692	795	795
202.0	54	463	796	796
175.0	54	630	797	797
166.0	53	674	798	798
183.0	53	583	799	799
165.0	53	676	800	800
127.0	53	838	801	801
162.0	53	693	802	802
218.0	53	395	803	803
102.0	53	908	804	804
174.0	53	633	805	805
97.0	53	919	806	806
146.0	53	764	807	807
105.0	53	893	808	808
141.0	53	792	809	809
119.0	53	863	810	810
180.0	53	603	811	811
118.0	53	869	812	812
110.0	53	885	813	813
177.0	53	619	814	814
160.0	52	701	815	815
198.0	52	486	816	816
143.0	52	778	817	817
132.0	52	827	818	818
182.0	52	589	819	819
120.0	52	861	820	820
115.0	52	878	821	821
144.0	52	776	822	822
151.0	52	740	823	823
154.0	52	730	824	824
142.0	52	788	825	825
146.0	52	759	826	826
144.0	52	777	827	827
137.0	52	808	828	828
142.0	51	786	829	829
205.0	51	448	830	830
139.0	51	795	831	831
126.0	51	842	832	832
149.0	51	746	833	833
113.0	51	881	834	834
156.0	51	717	835	835
125.0	51	849	836	836
104.0	51	899	837	837
168.0	51	657	838	838
104.0	51	898	839	839
135.0	51	813	840	840
129.0	51	834	841	841
134.0	51	816	842	842
163.0	51	689	843	843
151.0	51	742	844	844
185.0	50	577	845	845
127.0	50	841	846	846
104.0	50	901	847	847
170.0	50	648	848	848
104.0	50	903	849	849
195.0	50	511	850	850
185.0	50	572	851	851
123.0	50	853	852	852
107.0	50	890	853	853
98.0	50	918	854	854
133.0	50	824	855	855
100.0	50	912	856	856
205.0	50	443	857	857
100.0	49	910	858	858
118.0	49	868	859	859
156.0	49	720	860	860
105.0	49	897	861	861
125.0	49	848	862	862
194.0	49	515	863	863
227.0	48	351	864	864
107.0	48	889	865	865
134.0	48	818	866	866
243.0	48	283	867	867
139.0	48	797	868	868
199.0	48	476	869	869
144.0	48	774	870	870
82.0	48	940	871	871
139.0	48	799	872	872
126.0	48	845	873	873
126.0	48	844	874	874
100.0	48	911	875	875
94.0	47	925	876	876
105.0	47	896	877	877
98.0	47	917	878	878
143.0	47	782	879	879
158.0	47	710	880	880
137.0	47	809	881	881
218.0	47	393	882	882
127.0	47	837	883	883
126.0	47	846	884	884
147.0	47	758	885	885
141.0	47	791	886	886
117.0	46	873	887	887
117.0	46	872	888	888
109.0	46	888	889	889
97.0	46	921	890	890
119.0	46	866	891	891
182.0	46	588	892	892
103.0	46	905	893	893
144.0	46	775	894	894
173.0	46	637	895	895
102.0	46	909	896	896
151.0	45	741	897	897
130.0	45	831	898	898
92.0	45	928	899	899
94.0	45	926	900	900
118.0	45	870	901	901
119.0	45	865	902	902
110.0	44	886	903	903
103.0	44	907	904	904
203.0	44	458	905	905
128.0	44	835	906	906
150.0	43	745	907	907
105.0	43	894	908	908
117.0	43	874	909	909
95.0	43	923	910	910
154.0	43	728	911	911
119.0	43	862	912	912
90.0	42	931	913	913
96.0	42	922	914	914
75.0	42	955	915	915
89.0	42	934	916	916
99.0	42	915	917	917
76.0	42	954	918	918
82.0	42	941	919	919
111.0	41	884	920	920
97.0	41	920	921	921
132.0	41	829	922	922
103.0	41	906	923	923
79.0	40	946	924	924
84.0	40	937	925	925
78.0	40	950	926	926
74.0	40	957	927	927
93.0	40	927	928	928
147.0	40	757	929	929
76.0	40	953	930	930
171.0	40	646	931	931
122.0	40	856	932	932
105.0	40	895	933	933
84.0	40	938	934	934
77.0	39	952	935	935
81.0	39	944	936	936
81.0	39	942	937	937
64.0	39	972	938	938
106.0	39	892	939	939
98.0	39	916	940	940
74.0	38	956	941	941
78.0	38	949	942	942
115.0	38	877	943	943
69.0	38	965	944	944
67.0	38	967	945	945
66.0	38	969	946	946
78.0	37	947	947	947
79.0	37	945	948	948
70.0	37	962	949	949
104.0	37	902	950	950
89.0	37	933	951	951
78.0	36	948	952	952
94.0	36	924	953	953
185.0	36	573	954	954
73.0	36	959	955	955
57.0	35	978	956	956
61.0	35	975	957	957
69.0	35	964	958	958
55.0	35	980	959	959
64.0	35	971	960	960
73.0	35	960	961	961
74.0	35	958	962	962
127.0	35	836	963	963
49.0	35	987	964	964
92.0	35	929	965	965
48.0	35	991	966	966
50.0	34	986	967	967
48.0	34	989	968	968
46.0	34	994	969	969
83.0	34	939	970	970
55.0	33	979	971	971
66.0	33	970	972	972
87.0	33	935	973	973
81.0	33	943	974	974
68.0	33	966	975	975
69.0	33	963	976	976
63.0	32	973	977	977
62.0	32	974	978	978
60.0	31	976	979	979
66.0	31	968	980	980
90.0	31	932	981	981
71.0	31	961	982	982
48.0	30	988	983	983
47.0	29	992	984	984
92.0	29	930	985	985
47.0	28	993	986	986
77.0	28	951	987	987
50.0	27	985	988	988
51.0	26	982	989	989
53.0	26	981	990	990
44.0	26	995	991	991
37.0	26	999	992	992
50.0	24	984	993	993
48.0	24	990	994	994
51.0	24	983	995	995
57.0	24	977	996	996
42.0	24	996	997	997
41.0	21	998	998	998
42.0	19	997	999	999
18.0	13	1000	1000	1000
