n_genes_by_counts	total_counts	cellrank_n_genes_by_counts	cellrank_total_counts	cell_index
7085	4109.574	228	88	88
8415	4108.025	59	89	89
5288	4106.074	1197	90	90
8094	4101.9253	88	91	91
7658	4101.6934	125	92	92
6304	4097.642	474	93	93
6313	4096.814	469	94	94
6289	4096.5107	481	95	95
7622	4096.149	131	96	96
6069	4095.8384	576	97	97
9869	4095.8005	15	98	98
6853	4095.6008	285	99	99
8286	4095.569	68	100	100
5266	4094.025	1219	101	101
6664	4093.602	321	102	102
7264	4093.275	182	103	103
5754	4090.5999	783	104	104
8044	4090.4956	91	105	105
6713	4090.2358	313	106	106
5701	4089.2896	832	107	107
6902	4088.6091	275	108	108
10713	4088.1272	8	109	109
7614	4087.2053	132	110	110
6548	4086.3367	363	111	111
5741	4085.7449	790	112	112
6437	4083.8135	406	113	113
11745	4079.8633	1	114	114
6975	4079.2883	253	115	115
9756	4078.8176	17	116	116
5619	4075.1763	885	117	117
7717	4074.4937	120	118	118
5395	4072.9207	1090	119	119
6585	4072.3682	348	120	120
7106	4072.1042	224	121	121
8323	4072.0688	65	122	122
8719	4070.5366	39	123	123
6278	4070.512	488	124	124
8691	4069.5166	42	125	125
6908	4066.859	272	126	126
6435	4066.665	407	127	127
5432	4064.713	1039	128	128
7214	4063.1077	198	129	129
7750	4060.968	112	130	130
8579	4060.9136	47	131	131
6038	4059.983	598	132	132
6172	4052.4312	539	133	133
5806	4051.002	747	134	134
6059	4050.644	582	135	135
5812	4047.3745	744	136	136
8512	4046.7493	52	137	137
6426	4044.6104	413	138	138
5233	4044.5027	1270	139	139
5662	4042.275	855	140	140
8465	4041.5938	54	141	141
6962	4041.245	259	142	142
6416	4039.9937	417	143	143
5395	4039.843	1089	144	144
7720	4039.0215	119	145	145
7034	4037.3813	242	146	146
8713	4037.214	40	147	147
5371	4037.0327	1113	148	148
6952	4036.9736	264	149	149
8244	4035.6365	73	150	150
5859	4033.3904	716	151	151
5419	4033.2725	1055	152	152
5769	4033.0583	772	153	153
6983	4033.0496	251	154	154
8575	4031.7515	48	155	155
5783	4031.197	761	156	156
6498	4030.2769	381	157	157
6486	4029.7188	388	158	158
5918	4029.0132	676	159	159
5670	4027.8552	853	160	160
5090	4027.2466	1447	161	161
7192	4024.6167	203	162	162
6739	4024.4475	307	163	163
6096	4024.1594	563	164	164
7365	4022.6433	169	165	165
6707	4022.4214	314	166	166
7340	4021.5557	172	167	167
8684	4021.3174	43	168	168
5184	4019.5276	1328	169	169
8242	4018.8472	74	170	170
7292	4018.766	177	171	171
5451	4017.1865	1018	172	172
5822	4016.0784	735	173	173
6801	4014.9019	297	174	174
7276	4014.6409	181	175	175
6368	4014.4883	446	176	176
6004	4014.4458	617	177	177
6260	4014.3867	501	178	178
6472	4014.1582	395	179	179
6097	4012.812	561	180	180
5764	4012.548	778	181	181
8023	4011.698	92	182	182
8220	4010.751	79	183	183
5523	4010.1912	964	184	184
5887	4009.6482	693	185	185
5685	4008.7383	845	186	186
7580	4008.2808	137	187	187
7734	4005.5913	115	188	188
7601	4005.2302	134	189	189
6946	4005.023	266	190	190
4991	4004.263	1574	191	191
5686	4003.2473	844	192	192
5787	4002.053	756	193	193
8282	4001.5178	69	194	194
5916	4000.3655	678	195	195
5470	4000.1768	1001	196	196
5263	4000.0642	1227	197	197
8330	3999.63	64	198	198
10691	3999.613	9	199	199
8933	3998.0889	35	200	200
7436	3998.0454	158	201	201
4560	3995.9214	2333	202	202
4916	3994.7725	1698	203	203
6505	3993.3328	378	204	204
5512	3992.4858	970	205	205
7292	3992.161	176	206	206
6776	3991.5159	302	207	207
6960	3990.9556	260	208	208
6764	3990.0166	304	209	209
7456	3989.8564	152	210	210
10958	3988.8416	4	211	211
6577	3988.8042	355	212	212
6620	3988.754	339	213	213
5986	3988.37	627	214	214
6531	3987.31	370	215	215
6408	3987.015	423	216	216
6509	3986.5044	377	217	217
6884	3986.125	281	218	218
6810	3984.7966	294	219	219
6663	3984.0933	322	220	220
6511	3984.076	376	221	221
3654	3983.0073	5218	222	222
5254	3982.5967	1244	223	223
6353	3981.9314	453	224	224
6200	3981.1333	525	225	225
8946	3979.9683	34	226	226
5197	3979.176	1309	227	227
9177	3979.1504	27	228	228
6326	3978.7146	462	229	229
6054	3977.4468	587	230	230
4911	3977.3445	1704	231	231
7078	3977.2827	230	232	232
4801	3977.2092	1894	233	233
6863	3976.4097	284	234	234
4840	3975.3452	1817	235	235
4179	3974.0347	3240	236	236
4957	3973.056	1625	237	237
7443	3972.8027	156	238	238
5951	3972.6555	648	239	239
6630	3971.226	334	240	240
5931	3970.0986	662	241	241
7731	3968.4785	116	242	242
8369	3968.1	60	243	243
5874	3967.9714	706	244	244
4838	3967.897	1820	245	245
7011	3966.4756	246	246	246
6486	3964.912	389	247	247
5258	3964.7126	1237	248	248
8274	3964.6455	70	249	249
5992	3964.5947	623	250	250
7035	3963.796	241	251	251
8448	3963.392	55	252	252
6403	3962.577	427	253	253
7176	3962.2385	208	254	254
5406	3961.8362	1071	255	255
4705	3961.3618	2056	256	256
5670	3961.3362	852	257	257
6490	3961.177	385	258	258
7255	3959.736	185	259	259
7061	3959.4397	234	260	260
7373	3958.5098	166	261	261
4549	3957.896	2356	262	262
7516	3957.2856	145	263	263
5520	3956.6108	966	264	264
7606	3955.3845	133	265	265
5659	3953.5942	857	266	266
8151	3953.2864	82	267	267
5201	3952.817	1302	268	268
7807	3952.7588	105	269	269
6383	3952.1687	438	270	270
6581	3951.2136	350	271	271
6627	3950.9138	335	272	272
6034	3949.9585	601	273	273
6901	3947.9338	276	274	274
6700	3947.0317	315	275	275
5114	3944.9968	1423	276	276
4821	3944.4873	1863	277	277
6212	3943.9878	519	278	278
6726	3943.683	309	279	279
5435	3943.28	1036	280	280
4949	3942.7905	1643	281	281
5409	3942.4639	1068	282	282
5419	3942.3667	1056	283	283
4403	3941.8787	2660	284	284
5620	3941.8123	884	285	285
5681	3941.7834	848	286	286
5695	3941.3044	838	287	287
6605	3940.4265	344	288	288
7468	3939.503	150	289	289
4148	3939.486	3345	290	290
5268	3938.4226	1217	291	291
4876	3938.272	1758	292	292
5819	3938.229	737	293	293
6290	3938.0537	480	294	294
6621	3937.92	337	295	295
6283	3937.8833	486	296	296
6831	3937.7634	293	297	297
5191	3937.2744	1316	298	298
6458	3937.0059	399	299	299
6258	3936.934	503	300	300
6486	3936.3748	390	301	301
4611	3936.165	2235	302	302
4138	3935.4546	3371	303	303
7259	3933.883	184	304	304
5463	3933.564	1006	305	305
5876	3933.461	705	306	306
5260	3933.0576	1233	307	307
4891	3932.6882	1734	308	308
6374	3932.5789	442	309	309
6299	3932.2166	476	310	310
7370	3931.899	167	311	311
9377	3931.4565	24	312	312
5789	3931.2	755	313	313
5115	3930.6338	1419	314	314
5404	3930.373	1073	315	315
4188	3929.4148	3214	316	316
5987	3929.1897	626	317	317
6386	3929.1492	436	318	318
6023	3928.7463	607	319	319
4953	3928.6562	1636	320	320
6889	3928.5244	279	321	321
6572	3928.107	356	322	322
5369	3927.727	1115	323	323
8187	3927.2622	81	324	324
7697	3926.9343	121	325	325
6324	3926.4724	464	326	326
6260	3925.6455	502	327	327
5972	3925.1265	638	328	328
6989	3924.921	248	329	329
6046	3923.5364	591	330	330
4643	3923.2866	2163	331	331
7243	3923.2554	187	332	332
6193	3923.2358	533	333	333
7362	3923.1128	170	334	334
5090	3923.001	1446	335	335
5650	3921.7473	864	336	336
4486	3921.2903	2484	337	337
8193	3921.1516	80	338	338
5324	3920.7876	1162	339	339
6166	3920.657	542	340	340
5141	3920.3628	1390	341	341
6059	3919.644	583	342	342
8428	3919.1475	57	343	343
6783	3918.9756	301	344	344
5712	3918.8572	819	345	345
5056	3918.6545	1486	346	346
6353	3916.8733	456	347	347
6151	3916.4692	545	348	348
7245	3916.4656	186	349	349
5869	3916.211	708	350	350
4982	3915.6016	1592	351	351
8263	3914.7595	71	352	352
6578	3914.057	354	353	353
6319	3913.8584	468	354	354
5738	3913.812	796	355	355
5537	3913.5288	952	356	356
9894	3913.2856	13	357	357
6036	3912.9526	600	358	358
5878	3911.204	702	359	359
4135	3910.6306	3382	360	360
6208	3910.485	523	361	361
4828	3910.4417	1851	362	362
6529	3910.1975	372	363	363
5838	3909.6873	727	364	364
6042	3909.6592	596	365	365
5705	3909.6233	829	366	366
4554	3909.2932	2347	367	367
5691	3909.2554	840	368	368
6905	3909.0593	273	369	369
4076	3908.9043	3567	370	370
6011	3907.8591	614	371	371
4542	3907.5713	2366	372	372
6540	3907.2124	367	373	373
7447	3907.0752	155	374	374
4569	3906.7422	2315	375	375
7555	3906.6606	142	376	376
7161	3906.3652	212	377	377
5398	3905.9658	1087	378	378
6776	3905.7297	303	379	379
8618	3905.3064	45	380	380
5257	3905.1091	1240	381	381
7667	3904.707	124	382	382
5990	3904.4912	624	383	383
5351	3904.1082	1136	384	384
5707	3903.4612	827	385	385
4794	3902.5786	1900	386	386
4065	3902.179	3613	387	387
4733	3901.813	2009	388	388
7505	3901.0542	147	389	389
6092	3900.8865	564	390	390
6864	3900.7715	283	391	391
4301	3900.1228	2902	392	392
9347	3900.1091	26	393	393
5751	3899.2686	788	394	394
4637	3899.132	2171	395	395
4810	3898.8923	1878	396	396
6170	3898.654	541	397	397
7158	3898.4744	213	398	398
5942	3898.0955	656	399	399
4954	3897.4768	1631	400	400
8096	3897.269	87	401	401
5976	3896.8022	634	402	402
7052	3896.1829	240	403	403
4825	3895.5728	1854	404	404
4500	3894.6892	2456	405	405
6323	3893.6904	465	406	406
5735	3893.2844	798	407	407
5710	3892.5918	824	408	408
6517	3892.4216	374	409	409
5876	3892.1973	704	410	410
5550	3891.2615	943	411	411
6948	3889.3235	265	412	412
5315	3889.1619	1173	413	413
5184	3888.958	1327	414	414
6472	3888.7678	394	415	415
4895	3888.1177	1729	416	416
6221	3888.0403	516	417	417
5344	3887.0872	1146	418	418
4956	3886.5754	1627	419	419
6848	3886.208	286	420	420
5192	3885.8271	1314	421	421
5762	3884.6226	779	422	422
6838	3883.9304	289	423	423
5374	3883.6042	1107	424	424
3609	3882.9976	5433	425	425
6747	3882.0	305	426	426
4852	3881.6243	1794	427	427
5238	3881.4998	1266	428	428
5759	3880.8127	781	429	429
5584	3880.6162	914	430	430
7577	3879.9314	139	431	431
5718	3879.0051	814	432	432
6261	3878.756	500	433	433
5879	3878.1116	701	434	434
6547	3877.6975	365	435	435
4785	3877.5952	1914	436	436
6625	3876.3167	336	437	437
5988	3875.7659	625	438	438
6072	3875.2515	574	439	439
6014	3874.774	611	440	440
4169	3874.1536	3268	441	441
5698	3874.0447	835	442	442
6099	3874.0283	559	443	443
6388	3874.015	434	444	444
7027	3873.0007	243	445	445
10860	3872.9014	6	446	446
5860	3872.7817	715	447	447
4718	3872.532	2033	448	448
5120	3871.8953	1416	449	449
7675	3871.1838	123	450	450
4238	3871.1091	3060	451	451
5041	3870.84	1508	452	452
5597	3870.6433	905	453	453
4725	3870.481	2017	454	454
7179	3870.121	207	455	455
7231	3869.9658	191	456	456
5581	3869.754	922	457	457
4060	3869.1006	3629	458	458
6227	3868.7402	514	459	459
6029	3868.6892	603	460	460
6954	3868.6877	263	461	461
5406	3868.2356	1069	462	462
5140	3868.0884	1391	463	463
6471	3868.0352	396	464	464
5590	3867.6519	911	465	465
6413	3867.2485	419	466	466
4332	3866.5085	2830	467	467
5293	3866.2878	1190	468	468
5366	3865.7778	1117	469	469
6360	3865.5344	451	470	470
7408	3865.1292	161	471	471
5199	3864.2817	1306	472	472
6808	3864.1482	295	473	473
6348	3864.127	458	474	474
8702	3864.0913	41	475	475
5500	3864.0793	975	476	476
5435	3863.9954	1035	477	477
5769	3863.715	773	478	478
5529	3863.638	956	479	479
6265	3863.5476	498	480	480
6295	3863.1997	478	481	481
4060	3862.8867	3631	482	482
4899	3862.672	1720	483	483
5221	3862.657	1278	484	484
5907	3862.3352	684	485	485
6432	3862.2031	409	486	486
5189	3861.9084	1321	487	487
8142	3861.8567	84	488	488
5529	3861.5374	957	489	489
4982	3861.3606	1593	490	490
4984	3861.2932	1589	491	491
5452	3860.374	1015	492	492
6678	3859.3027	317	493	493
5862	3859.1826	712	494	494
3981	3858.7349	3894	495	495
7289	3858.1533	178	496	496
5443	3856.449	1024	497	497
5703	3856.287	830	498	498
6922	3856.1038	271	499	499
6367	3855.995	447	500	500
5727	3855.9336	804	501	501
5950	3855.924	650	502	502
4940	3855.6592	1652	503	503
5843	3854.5464	724	504	504
6012	3854.2742	613	505	505
5152	3854.1692	1365	506	506
4690	3854.0737	2075	507	507
5461	3853.6519	1010	508	508
4785	3853.4272	1915	509	509
5855	3853.2444	717	510	510
5322	3853.236	1167	511	511
5289	3853.1208	1195	512	512
7415	3852.971	159	513	513
5605	3852.9392	896	514	514
5627	3852.6562	880	515	515
5401	3852.6038	1076	516	516
6964	3851.8281	257	517	517
5403	3851.247	1074	518	518
3728	3851.1523	4871	519	519
4841	3850.9346	1813	520	520
4619	3850.6	2214	521	521
4814	3849.8164	1874	522	522
6580	3849.7874	351	523	523
5426	3849.4756	1046	524	524
6113	3849.2444	555	525	525
5929	3848.9404	665	526	526
4558	3848.2878	2338	527	527
5465	3847.9963	1005	528	528
5056	3847.6272	1485	529	529
6452	3847.569	402	530	530
6578	3847.3105	353	531	531
4298	3846.9795	2911	532	532
6636	3846.8716	331	533	533
5486	3846.81	985	534	534
7279	3846.7666	180	535	535
6548	3846.4773	364	536	536
5536	3845.4622	953	537	537
6402	3845.3135	428	538	538
5723	3845.265	806	539	539
5201	3844.6658	1301	540	540
5178	3844.517	1333	541	541
7441	3844.4546	157	542	542
7747	3844.2898	113	543	543
4634	3844.072	2183	544	544
5768	3844.0693	774	545	545
6353	3843.918	455	546	546
5155	3843.8772	1358	547	547
6210	3843.7517	521	548	548
6630	3843.7258	333	549	549
5220	3843.5005	1280	550	550
4248	3843.4197	3034	551	551
4755	3842.8718	1976	552	552
7093	3842.568	227	553	553
8425	3842.5376	58	554	554
6546	3842.3726	366	555	555
5953	3841.402	644	556	556
6044	3841.2944	593	557	557
4891	3840.603	1735	558	558
6493	3840.2903	383	559	559
5701	3840.1555	831	560	560
5560	3840.0159	935	561	561
6025	3839.185	605	562	562
4867	3838.8257	1773	563	563
7391	3838.5388	162	564	564
6102	3838.3862	557	565	565
7838	3838.1877	101	566	566
4876	3838.011	1759	567	567
6126	3837.8232	552	568	568
6836	3837.1885	290	569	569
6030	3836.4705	602	570	570
5406	3836.454	1070	571	571
6199	3835.7866	526	572	572
8647	3835.4766	44	573	573
7350	3834.5789	171	574	574
5550	3834.2039	941	575	575
5243	3834.0308	1261	576	576
4522	3833.9392	2403	577	577
5831	3833.9165	731	578	578
5642	3833.7524	869	579	579
5332	3833.0684	1152	580	580
6445	3832.7515	404	581	581
5210	3832.6748	1292	582	582
6174	3832.5793	538	583	583
5906	3832.3135	685	584	584
5786	3832.1255	757	585	585
7657	3831.9885	126	586	586
5771	3831.835	767	587	587
4211	3831.7393	3143	588	588
5437	3831.073	1031	589	589
6024	3830.9731	606	590	590
5930	3830.945	663	591	591
5946	3829.633	654	592	592
4936	3828.669	1660	593	593
5401	3827.9473	1077	594	594
5753	3827.2773	786	595	595
4416	3825.9722	2635	596	596
5977	3825.0547	633	597	597
6274	3824.6265	490	598	598
5494	3824.2183	982	599	599
5560	3824.217	934	600	600
5327	3823.7588	1160	601	601
5121	3823.681	1415	602	602
5345	3822.7998	1145	603	603
4810	3822.6975	1879	604	604
6097	3822.1218	562	605	605
5173	3822.0808	1339	606	606
4249	3821.9404	3029	607	607
5485	3821.928	986	608	608
4209	3821.292	3152	609	609
4236	3821.0247	3069	610	610
5337	3820.9216	1149	611	611
4611	3820.626	2236	612	612
5475	3820.5745	996	613	613
6273	3820.373	491	614	614
4952	3819.682	1637	615	615
8542	3819.1235	50	616	616
5881	3818.6248	698	617	617
4543	3818.5703	2363	618	618
7182	3818.5557	206	619	619
4612	3818.4724	2232	620	620
6479	3817.571	391	621	621
4481	3817.3787	2500	622	622
5597	3817.122	906	623	623
4869	3816.812	1772	624	624
5470	3816.792	999	625	625
4801	3816.0105	1893	626	626
5306	3815.8533	1180	627	627
5968	3815.4697	640	628	628
3996	3815.3313	3847	629	629
5300	3815.2964	1184	630	630
5431	3814.908	1041	631	631
6298	3814.5017	477	632	632
5177	3814.38	1334	633	633
4449	3814.1292	2557	634	634
4240	3814.1172	3057	635	635
4298	3813.5962	2909	636	636
5443	3813.2854	1025	637	637
3673	3813.1287	5124	638	638
4586	3812.7104	2273	639	639
7451	3812.6738	154	640	640
4987	3812.5488	1583	641	641
5266	3812.5234	1222	642	642
7573	3812.4426	141	643	643
5718	3812.0852	813	644	644
4654	3811.8203	2144	645	645
6787	3811.1206	300	646	646
5028	3810.9954	1526	647	647
5924	3810.8667	670	648	648
4507	3810.852	2442	649	649
5374	3810.7427	1109	650	650
4431	3810.3735	2594	651	651
5576	3810.0852	924	652	652
5208	3810.0503	1293	653	653
5499	3809.6675	976	654	654
5215	3809.6423	1284	655	655
4312	3809.4226	2876	656	656
6369	3809.2893	445	657	657
4360	3809.2458	2755	658	658
5059	3808.9778	1483	659	659
5583	3808.3306	916	660	660
4799	3808.1343	1895	661	661
5038	3806.7124	1516	662	662
5812	3806.3684	743	663	663
4380	3806.183	2703	664	664
5550	3805.9697	942	665	665
4377	3805.059	2716	666	666
7334	3804.6853	173	667	667
7193	3804.606	202	668	668
4627	3804.3928	2197	669	669
4957	3804.3264	1624	670	670
6686	3804.2822	316	671	671
4664	3803.9026	2116	672	672
4641	3803.5613	2167	673	673
4631	3803.4788	2190	674	674
4834	3803.0847	1841	675	675
3655	3802.944	5209	676	676
5078	3802.8867	1457	677	677
5320	3802.593	1169	678	678
7378	3802.5085	164	679	679
5835	3801.951	729	680	680
4693	3801.9194	2073	681	681
6243	3801.356	508	682	682
4612	3801.3198	2227	683	683
4027	3801.2593	3746	684	684
5216	3800.8357	1282	685	685
5226	3800.5562	1276	686	686
5104	3800.4956	1435	687	687
5719	3800.3428	812	688	688
3750	3800.1807	4773	689	689
7052	3800.175	239	690	690
7014	3800.1135	245	691	691
4896	3799.9912	1726	692	692
4111	3799.533	3450	693	693
4971	3798.0732	1603	694	694
4197	3797.9363	3190	695	695
5949	3797.9229	651	696	696
5402	3797.6833	1075	697	697
7505	3797.437	148	698	698
7201	3796.5452	201	699	699
4535	3795.617	2376	700	700
4581	3795.3313	2289	701	701
7227	3795.142	194	702	702
5051	3795.1272	1494	703	703
4413	3795.1125	2641	704	704
5048	3795.0881	1497	705	705
6400	3794.4766	429	706	706
5687	3794.1238	842	707	707
6054	3794.1045	586	708	708
5886	3793.933	694	709	709
6044	3793.5283	594	710	710
5019	3793.4539	1540	711	711
4360	3793.427	2754	712	712
5773	3793.0747	766	713	713
7236	3793.0322	190	714	714
3787	3792.6353	4630	715	715
5765	3792.6138	777	716	716
6570	3792.347	359	717	717
4530	3792.2383	2383	718	718
4956	3791.8823	1626	719	719
5586	3791.0535	913	720	720
4317	3790.7346	2861	721	721
4515	3790.5435	2417	722	722
4904	3790.1497	1709	723	723
5025	3789.651	1531	724	724
6192	3789.1646	534	725	725
7223	3788.797	195	726	726
4986	3788.7615	1586	727	727
4597	3788.7087	2255	728	728
7763	3788.676	109	729	729
4677	3788.4893	2095	730	730
6351	3788.3845	457	731	731
5142	3788.1804	1386	732	732
6088	3788.0527	567	733	733
5262	3787.9614	1228	734	734
6241	3787.9404	509	735	735
5310	3787.928	1177	736	736
6964	3787.7134	258	737	737
4522	3787.6987	2400	738	738
4307	3787.2996	2894	739	739
7638	3786.952	129	740	740
5173	3786.9397	1340	741	741
5816	3786.9248	740	742	742
5310	3786.7747	1176	743	743
7804	3786.6833	107	744	744
5376	3786.6072	1106	745	745
5286	3786.5613	1202	746	746
8818	3786.3408	37	747	747
7205	3786.2576	199	748	748
5952	3785.8757	646	749	749
3817	3785.8345	4505	750	750
5476	3785.7378	995	751	751
7412	3785.6533	160	752	752
5947	3785.5723	652	753	753
5324	3785.5325	1163	754	754
4881	3785.4941	1749	755	755
4746	3785.342	1995	756	756
5953	3784.68	645	757	757
5382	3784.6472	1101	758	758
6646	3784.622	325	759	759
4943	3784.6042	1648	760	760
4818	3784.441	1866	761	761
4214	3784.3342	3134	762	762
4684	3784.0696	2085	763	763
4947	3784.0208	1646	764	764
4805	3783.84	1888	765	765
4509	3783.7744	2436	766	766
5446	3783.6904	1019	767	767
5386	3783.6028	1096	768	768
4661	3783.5667	2125	769	769
6016	3782.4495	610	770	770
4321	3781.4683	2853	771	771
5786	3780.995	758	772	772
5093	3780.7546	1443	773	773
5689	3780.7524	841	774	774
3865	3780.5376	4302	775	775
5106	3780.5115	1431	776	776
3973	3780.1694	3926	777	777
5871	3780.13	707	778	778
5925	3779.435	668	779	779
5610	3779.3828	891	780	780
4642	3779.3083	2166	781	781
5176	3779.248	1335	782	782
5446	3779.241	1020	783	783
4763	3779.2263	1963	784	784
4708	3779.1592	2048	785	785
4367	3778.952	2739	786	786
5603	3778.5815	898	787	787
5437	3778.443	1032	788	788
4755	3777.4778	1975	789	789
5008	3777.371	1554	790	790
5225	3777.368	1277	791	791
5973	3776.9265	636	792	792
5430	3776.4824	1042	793	793
4223	3776.3345	3105	794	794
4206	3776.0256	3165	795	795
5040	3775.5515	1510	796	796
5624	3775.2964	882	797	797
6218	3775.1992	517	798	798
4547	3774.9873	2357	799	799
6281	3774.967	487	800	800
5711	3774.4673	822	801	801
6946	3774.0964	267	802	802
4240	3774.0452	3056	803	803
5432	3773.6719	1038	804	804
6090	3773.635	566	805	805
3963	3773.6335	3959	806	806
5608	3772.7156	894	807	807
4422	3772.3608	2624	808	808
3827	3772.3372	4463	809	809
7805	3772.0989	106	810	810
6636	3771.9106	329	811	811
7103	3771.6846	225	812	812
6052	3771.5994	588	813	813
5144	3771.0098	1379	814	814
4972	3770.79	1602	815	815
7535	3770.6406	143	816	816
6845	3770.5725	287	817	817
4766	3770.3037	1959	818	818
5883	3770.191	696	819	819
5538	3770.1067	949	820	820
4858	3769.939	1787	821	821
4130	3769.91	3397	822	822
5711	3769.7385	823	823	823
4286	3769.6858	2943	824	824
5027	3769.4937	1527	825	825
6072	3769.4668	572	826	826
3919	3769.0513	4105	827	827
5721	3769.028	809	828	828
4578	3768.9714	2295	829	829
4444	3768.951	2569	830	830
5200	3768.852	1304	831	831
4006	3768.8506	3817	832	832
6322	3768.8474	466	833	833
5329	3768.815	1153	834	834
5076	3768.8123	1459	835	835
3329	3768.7847	6832	836	836
4037	3768.7683	3712	837	837
5655	3768.5737	860	838	838
4613	3768.5093	2224	839	839
4377	3768.1333	2714	840	840
4636	3768.1152	2175	841	841
5495	3768.0413	979	842	842
4551	3767.5598	2351	843	843
3875	3767.4565	4263	844	844
4144	3767.377	3357	845	845
4413	3767.1797	2644	846	846
5125	3766.8096	1412	847	847
5581	3766.7837	921	848	848
6170	3766.373	540	849	849
4192	3765.9944	3209	850	850
6157	3765.8975	543	851	851
3748	3765.8682	4783	852	852
5581	3765.6877	920	853	853
5686	3765.1377	843	854	854
5819	3765.0525	736	855	855
5099	3764.7312	1442	856	856
8237	3764.6035	75	857	857
5057	3764.4312	1484	858	858
4874	3764.3394	1764	859	859
7743	3763.8845	114	860	860
3836	3763.7148	4425	861	861
4306	3763.515	2896	862	862
4661	3762.8835	2127	863	863
6421	3762.682	415	864	864
3920	3762.5989	4102	865	865
5719	3762.579	810	866	866
4093	3762.3452	3509	867	867
5483	3762.2222	989	868	868
4994	3761.834	1569	869	869
5441	3761.5737	1028	870	870
5983	3761.4944	630	871	871
4700	3760.162	2062	872	872
2975	3759.5881	9018	873	873
5285	3758.8337	1203	874	874
6428	3758.4646	411	875	875
5430	3758.3586	1043	876	876
5679	3758.25	849	877	877
4409	3758.169	2653	878	878
5746	3758.0728	789	879	879
5617	3758.0674	888	880	880
5302	3758.0635	1181	881	881
5147	3758.0276	1374	882	882
5399	3757.9553	1085	883	883
6362	3757.7393	449	884	884
5468	3757.7375	1002	885	885
4380	3757.717	2704	886	886
5418	3757.6777	1057	887	887
5132	3757.442	1405	888	888
6266	3757.3667	497	889	889
6001	3757.3137	618	890	890
6928	3756.9143	269	891	891
4753	3756.8123	1980	892	892
4616	3756.8015	2219	893	893
4633	3756.768	2187	894	894
4028	3756.756	3744	895	895
6503	3756.5913	379	896	896
5149	3756.4836	1370	897	897
4899	3756.2031	1721	898	898
5420	3756.0781	1053	899	899
6634	3756.0073	332	900	900
4921	3755.883	1689	901	901
4880	3755.8342	1752	902	902
4384	3755.6406	2696	903	903
5203	3755.6306	1298	904	904
8077	3755.6235	89	905	905
4002	3755.1257	3831	906	906
5712	3754.9407	820	907	907
5198	3754.8267	1308	908	908
4748	3754.3118	1990	909	909
3802	3754.2893	4557	910	910
6669	3754.114	320	911	911
5373	3754.031	1111	912	912
6870	3753.7874	282	913	913
6645	3753.5881	326	914	914
4071	3753.385	3583	915	915
4952	3753.2659	1638	916	916
4839	3753.151	1819	917	917
4695	3752.7756	2070	918	918
3431	3752.5593	6268	919	919
5134	3752.5273	1403	920	920
