min_len: 35; max_len: 151; avg_len: 145.38; 6 distinct quality values
POS	#bases	%A	%C	%G	%T	%N	avgQ	errQ	%Q2	%Q14	%Q21	%Q27	%Q32	%Q36
41	7121754	47.9	25.8	1.5	24.8	0.0	33.3	23.8	0.01	9.25	1.71	1.16	8.41	79.46
42	7121616	47.7	26.0	1.4	24.8	0.0	33.2	23.8	0.01	9.35	1.78	1.26	8.43	79.17
43	7121433	47.4	26.1	1.4	25.1	0.0	33.2	23.8	0.00	9.46	1.75	1.35	8.48	78.96
44	7121266	47.9	25.7	1.4	25.0	0.0	33.1	23.7	0.00	9.62	1.87	1.43	8.37	78.72
45	7121035	48.0	25.5	1.4	25.1	0.0	33.1	23.6	0.00	9.91	1.83	1.44	8.43	78.39
46	7120722	47.9	25.4	1.5	25.2	0.0	33.0	23.5	0.00	10.06	1.88	1.51	8.49	78.06
47	7120145	47.9	25.6	1.4	25.1	0.0	33.0	23.5	0.00	10.26	1.91	1.52	8.70	77.62
48	7119585	47.6	25.7	1.4	25.3	0.0	32.9	23.4	0.00	10.40	1.91	1.60	8.60	77.49
49	7118786	47.6	25.5	1.5	25.5	0.0	32.9	23.3	0.00	10.62	1.96	1.67	8.79	76.96
50	7116871	48.0	25.4	1.5	25.1	0.0	32.8	23.2	0.00	10.89	2.08	1.83	8.79	76.43
51	7114709	47.9	25.6	1.4	25.1	0.0	32.7	23.1	0.00	11.10	2.07	1.82	8.92	76.09
52	7111964	47.8	25.5	1.5	25.3	0.0	32.7	23.0	0.01	11.34	2.11	1.91	8.94	75.69
53	7108550	47.9	25.4	1.5	25.2	0.0	32.6	23.0	0.00	11.56	2.10	1.96	9.07	75.32
54	7104800	47.8	25.3	1.5	25.5	0.0	32.6	22.9	0.00	11.68	2.14	2.01	9.08	75.09
55	7100683	47.7	25.4	1.4	25.4	0.0	32.5	22.9	0.00	11.85	2.18	2.14	9.29	74.53
56	7096232	47.9	25.2	1.5	25.4	0.0	32.4	22.8	0.00	12.00	2.22	2.20	9.51	74.07
57	7091277	48.1	25.1	1.5	25.3	0.0	32.4	22.7	0.00	12.16	2.30	2.27	9.42	73.84
58	7086354	48.3	25.1	1.5	25.1	0.0	32.3	22.6	0.00	12.48	2.38	2.41	9.90	72.83
59	7081610	48.2	25.3	1.4	25.1	0.0	32.2	22.6	0.00	12.65	2.30	2.58	10.51	71.96
60	7076814	48.3	25.0	1.6	25.1	0.0	32.1	22.5	0.00	12.89	2.39	2.67	10.43	71.61
61	7072114	48.2	25.2	1.5	25.1	0.0	32.1	22.4	0.00	13.10	2.43	2.67	10.38	71.42
62	7067380	48.4	25.2	1.5	25.0	0.0	32.0	22.3	0.01	13.30	2.42	2.81	10.86	70.60
63	7062580	48.6	25.0	1.5	24.9	0.0	32.0	22.3	0.00	13.45	2.44	2.80	10.61	70.71
64	7057719	48.6	25.0	1.5	24.8	0.0	31.9	22.3	0.00	13.67	2.46	2.89	10.89	70.09
65	7052775	48.7	24.9	1.5	24.8	0.0	31.9	22.2	0.00	13.79	2.51	2.97	11.15	69.59
66	7047781	48.7	25.0	1.5	24.7	0.0	31.9	22.2	0.00	13.85	2.48	3.07	11.29	69.32
67	7042807	48.5	25.1	1.5	24.9	0.0	31.8	22.2	0.00	14.02	2.51	3.14	11.34	68.99
68	7037682	48.7	24.9	1.5	24.9	0.0	31.7	22.1	0.00	14.14	2.54	3.34	11.81	68.18
69	7032576	48.8	24.8	1.5	24.9	0.0	31.7	22.0	0.00	14.41	2.52	3.39	12.04	67.64
70	7027347	48.7	24.9	1.5	24.9	0.0	31.6	22.0	0.00	14.62	2.55	3.51	12.13	67.18
71	7022003	48.7	24.8	1.5	25.0	0.0	31.5	21.9	0.00	14.95	2.57	3.62	12.31	66.55
72	7015968	48.8	24.7	1.5	25.0	0.0	31.5	21.8	0.00	15.12	2.58	3.68	12.27	66.35
73	7007299	48.8	24.8	1.6	24.8	0.0	31.5	21.8	0.00	15.26	2.60	3.60	11.80	66.74
74	7001518	48.9	24.6	1.6	24.9	0.0	31.7	22.0	0.00	14.41	2.50	3.18	10.99	68.91
75	6996155	49.0	24.4	1.6	25.0	0.0	31.3	21.7	0.00	15.53	2.96	3.68	12.13	65.70
76	6990644	49.1	24.6	1.5	24.8	0.0	31.3	21.7	0.00	15.56	2.74	3.66	12.28	65.76
77	6984893	49.0	24.7	1.6	24.8	0.0	31.3	21.7	0.01	15.74	2.50	3.63	12.21	65.90
78	6979150	48.8	24.7	1.6	24.8	0.0	31.6	21.9	0.02	14.87	2.45	3.37	11.50	67.79
79	6973158	48.9	24.6	1.6	24.9	0.0	31.4	21.8	0.01	15.28	2.46	3.79	11.90	66.56
80	6967240	48.8	24.6	1.6	24.9	0.0	31.0	21.4	0.02	16.54	2.81	4.38	12.78	63.47
81	6961136	49.0	24.5	1.6	24.8	0.0	31.0	21.4	0.01	16.53	2.78	4.45	12.63	63.61
82	6955001	49.2	24.4	1.6	24.8	0.0	31.3	21.7	0.01	15.58	2.66	4.38	12.55	64.82
83	6948839	49.4	24.1	1.6	24.9	0.0	30.8	21.3	0.00	17.11	2.90	5.13	13.73	61.13
84	6942487	49.2	24.4	1.6	24.8	0.0	31.2	21.7	0.00	15.78	2.45	4.67	12.90	64.20
85	6936146	49.3	24.5	1.5	24.7	0.0	30.9	21.3	0.00	17.27	2.35	4.86	13.23	62.28
86	6929716	49.4	24.2	1.5	24.8	0.0	30.8	21.3	0.00	17.29	2.59	5.23	13.91	60.98
87	6923058	49.5	24.3	1.5	24.7	0.0	30.7	21.2	0.00	17.58	2.45	5.20	13.83	60.94
88	6916155	49.7	24.1	1.6	24.7	0.0	30.6	21.2	0.00	17.84	2.53	6.11	14.59	58.92
89	6909288	49.6	24.2	1.6	24.6	0.0	30.7	21.2	0.00	17.79	2.29	5.14	13.60	61.18
90	6902315	49.5	24.4	1.6	24.5	0.0	31.0	21.4	0.00	17.00	2.24	4.68	13.17	62.91
91	6894926	49.6	24.5	1.5	24.5	0.0	30.6	21.0	0.01	18.57	2.30	4.78	13.67	60.68
92	6887560	49.8	24.3	1.5	24.5	0.0	30.6	21.0	0.01	18.70	2.31	4.65	13.36	60.97
93	6880174	49.8	24.2	1.6	24.4	0.0	30.8	21.1	0.01	17.88	2.49	4.46	13.18	61.98
94	6872710	50.2	23.8	1.7	24.3	0.0	30.8	21.2	0.00	17.48	2.45	4.62	13.08	62.37
95	6865070	50.4	23.5	1.6	24.5	0.0	30.2	20.8	0.01	19.20	3.05	6.23	15.03	56.47
96	6857299	50.3	23.7	1.5	24.4	0.0	30.2	20.9	0.01	18.99	2.92	6.32	14.72	57.03
97	6849555	50.1	24.0	1.5	24.4	0.0	30.1	20.7	0.00	19.90	2.63	5.76	14.33	57.37
98	6841745	50.1	24.1	1.5	24.3	0.0	30.2	20.7	0.00	19.92	2.39	5.19	14.04	58.46
99	6833830	50.1	24.0	1.6	24.3	0.0	30.3	20.8	0.00	19.67	2.37	5.12	13.72	59.12
100	6825650	50.2	23.9	1.6	24.3	0.0	30.3	20.8	0.00	19.75	2.52	5.14	13.62	58.97
101	6817076	50.3	23.7	1.7	24.3	0.0	30.2	20.7	0.00	19.87	2.61	5.43	13.66	58.43
102	6808688	50.2	23.9	1.7	24.2	0.0	30.5	21.0	0.00	18.71	2.58	5.35	13.55	59.81
103	6799901	50.2	23.9	1.6	24.3	0.0	30.0	20.6	0.00	20.50	2.60	5.84	14.10	56.97
104	6791013	50.4	23.7	1.6	24.3	0.0	29.9	20.5	0.00	20.80	2.67	6.01	14.27	56.24
105	6781945	50.4	23.5	1.6	24.4	0.0	29.7	20.5	0.01	20.94	2.77	7.64	15.44	53.19
106	6772877	50.4	23.7	1.6	24.3	0.0	29.8	20.5	0.01	21.00	2.60	6.95	14.49	54.95
107	6763350	50.5	23.6	1.6	24.2	0.0	29.8	20.5	0.01	20.83	2.60	7.01	14.81	54.74
108	6754124	50.5	23.5	1.7	24.3	0.0	29.7	20.4	0.02	21.08	2.73	6.93	14.48	54.76
109	6744756	50.4	23.7	1.7	24.2	0.0	29.8	20.5	0.02	20.75	2.65	6.71	14.43	55.44
110	6735262	50.5	23.6	1.6	24.2	0.0	29.7	20.4	0.03	21.08	2.53	7.29	14.77	54.32
111	6725418	50.6	23.5	1.6	24.2	0.0	29.7	20.4	0.04	21.00	2.46	7.94	15.40	53.17
112	6715610	50.8	23.4	1.6	24.2	0.0	29.4	20.3	0.01	21.54	2.44	9.41	17.15	49.44
113	6705428	51.3	23.0	1.6	24.1	0.0	28.2	20.0	0.01	22.79	3.72	14.06	23.06	36.36
114	6695253	50.9	23.7	1.5	23.9	0.0	27.7	19.9	0.00	23.00	5.11	15.53	26.07	30.28
115	6685001	50.2	24.2	1.5	24.1	0.0	27.9	19.9	0.00	23.51	4.04	13.98	26.14	32.32
116	6674488	50.5	23.8	1.6	24.1	0.0	28.0	19.9	0.01	23.52	4.24	13.16	24.14	34.93
117	6664045	50.5	23.7	1.7	24.1	0.0	28.5	20.0	0.01	23.54	2.52	12.29	20.72	40.93
118	6653507	50.7	23.5	1.8	23.9	0.0	29.1	20.2	0.01	22.48	1.86	10.68	17.94	47.03
119	6642670	50.8	23.5	1.7	24.0	0.0	28.4	19.9	0.01	23.91	2.56	12.40	20.02	41.10
120	6631582	51.0	23.3	1.7	23.9	0.0	28.3	19.8	0.01	24.19	2.71	12.55	20.36	40.18
121	6620177	50.7	23.5	1.8	24.0	0.0	28.6	19.9	0.02	23.99	2.15	11.35	19.31	43.18
122	6608813	50.8	23.5	2.0	23.7	0.0	28.9	20.0	0.01	23.35	2.03	10.60	17.97	46.04
123	6597265	50.8	23.7	1.8	23.7	0.0	28.6	19.9	0.01	24.20	1.80	11.53	18.54	43.91
124	6585640	50.9	23.6	1.8	23.7	0.0	28.9	20.0	0.00	23.75	1.77	10.28	16.86	47.33
125	6573837	50.9	23.4	2.0	23.7	0.0	28.9	20.0	0.00	23.35	1.92	10.70	17.53	46.50
126	6561779	51.0	23.4	1.8	23.9	0.0	27.9	19.7	0.00	25.03	3.69	13.24	22.33	35.70
127	6549440	50.9	23.4	1.7	23.9	0.0	27.7	19.6	0.00	25.44	3.65	13.19	23.26	34.45
128	6536781	50.9	23.4	1.7	24.0	0.0	27.7	19.6	0.01	25.37	3.65	13.15	24.11	33.70
129	6524048	50.9	23.4	1.8	23.9	0.0	27.9	19.7	0.01	25.17	3.27	12.85	22.84	35.86
130	6510721	50.9	23.4	1.8	23.8	0.0	27.8	19.6	0.01	25.40	3.31	12.68	23.33	35.27
131	6496464	50.8	23.3	1.9	23.9	0.0	27.8	19.6	0.02	25.20	3.45	12.73	23.74	34.86
132	6482618	51.1	23.2	2.1	23.6	0.0	28.1	19.8	0.02	24.54	3.15	12.81	21.85	37.64
133	6469632	51.1	23.2	1.9	23.7	0.0	27.5	19.5	0.02	26.02	4.10	13.50	23.60	32.76
134	6455909	51.0	23.3	1.8	23.9	0.0	27.4	19.4	0.02	26.16	4.25	13.61	24.83	31.14
135	6442185	51.2	23.2	2.0	23.7	0.0	27.7	19.6	0.01	25.37	3.66	13.32	23.07	34.57
136	6428702	51.6	23.0	2.2	23.3	0.0	27.8	19.6	0.01	25.19	3.72	13.71	22.30	35.08
137	6413741	52.0	22.8	2.1	23.1	0.0	27.0	19.3	0.01	27.11	5.18	14.36	23.30	30.04
138	6398772	52.1	23.0	2.1	22.8	0.0	27.1	19.2	0.00	27.78	4.25	14.13	21.43	32.41
139	6383232	52.1	22.9	2.1	22.8	0.0	27.2	19.3	0.01	27.73	3.96	13.91	20.63	33.76
140	6368199	52.2	22.8	2.1	22.9	0.0	27.3	19.3	0.00	27.76	3.72	13.74	19.98	34.80
141	6352120	52.2	22.7	2.1	23.0	0.0	27.3	19.3	0.01	27.64	3.67	13.62	19.82	35.25
142	6335914	52.3	22.5	2.2	23.0	0.0	27.3	19.2	0.01	27.84	3.64	13.52	19.62	35.37
143	6320768	52.4	22.4	2.2	22.9	0.0	27.2	19.2	0.02	28.13	3.85	13.69	19.85	34.47
144	6305523	52.6	22.3	2.2	22.9	0.0	27.1	19.1	0.02	28.60	4.03	13.73	20.04	33.59
145	6289811	52.6	22.3	2.3	22.9	0.0	26.6	18.9	0.04	29.42	4.98	14.50	21.04	30.03
146	6272864	52.5	22.3	2.5	22.8	0.0	26.0	18.7	0.01	30.90	6.32	14.94	21.48	26.34
147	6255771	51.5	22.4	3.5	22.6	0.0	26.6	18.9	0.01	30.52	4.21	14.13	19.45	31.68
148	6239477	51.7	22.3	3.1	22.8	0.0	26.9	19.1	0.01	28.60	4.55	14.16	21.11	31.57
149	6206866	51.7	22.5	3.0	22.8	0.0	27.3	19.3	0.00	27.65	3.64	13.58	20.07	35.05
150	6175086	52.0	22.5	2.7	22.8	0.0	27.6	19.4	0.00	27.15	3.28	13.05	19.47	37.05
151	2765908	0.0	49.6	4.7	45.7	0.0	26.3	19.3	0.01	26.35	5.95	20.73	27.86	19.10
