File name	example_aligned.bam
chrUn_KI270382v1	0.20
chrUn_KI270383v1	0.07
chrUn_KI270384v1	0.59
chrUn_KI270385v1	0.37
chrUn_KI270386v1	0.14
chrUn_KI270387v1	0.16
chrUn_KI270388v1	0.30
chrUn_KI270390v1	0.20
chrUn_KI270391v1	0.08
chrUn_KI270392v1	0.13
chrUn_KI270393v1	0.47
chrUn_KI270394v1	0.50
chrUn_KI270395v1	2.55
chrUn_KI270396v1	0.06
chrUn_KI270411v1	8.60
chrUn_KI270412v1	1.24
chrUn_KI270414v1	0.49
chrUn_KI270417v1	1.07
chrUn_KI270418v1	0.57
chrUn_KI270419v1	0.71
chrUn_KI270420v1	2.15
chrUn_KI270422v1	0.93
chrUn_KI270423v1	2.36
chrUn_KI270424v1	0.17
chrUn_KI270425v1	0.13
chrUn_KI270429v1	3.04
chrUn_KI270435v1	1.69
chrUn_KI270438v1	29.54
chrUn_KI270442v1	2.38
chrUn_KI270448v1	1.57
chrUn_KI270465v1	20.30
chrUn_KI270466v1	163.50
chrUn_KI270467v1	185.90
chrUn_KI270468v1	1.56
chrUn_KI270507v1	2.95
chrUn_KI270508v1	3.93
chrUn_KI270509v1	3.52
chrUn_KI270510v1	3.93
chrUn_KI270511v1	1.77
chrUn_KI270512v1	2.16
chrUn_KI270515v1	3.58
chrUn_KI270516v1	2.62
chrUn_KI270517v1	3.55
chrUn_KI270518v1	2.89
chrUn_KI270519v1	1.96
chrUn_KI270521v1	0.88
chrUn_KI270522v1	0.60
chrUn_KI270528v1	0.69
chrUn_KI270529v1	2.11
chrUn_KI270530v1	1.01
chrUn_KI270538v1	1.86
chrUn_KI270539v1	0.37
chrUn_KI270544v1	4.55
chrUn_KI270548v1	0.46
chrUn_KI270579v1	0.99
chrUn_KI270580v1	3.53
chrUn_KI270581v1	0.88
chrUn_KI270582v1	0.95
chrUn_KI270583v1	4.87
chrUn_KI270584v1	3.96
chrUn_KI270587v1	1.39
chrUn_KI270588v1	2.23
chrUn_KI270589v1	1.65
chrUn_KI270590v1	5.97
chrUn_KI270591v1	4.20
chrUn_KI270593v1	1.68
chrUn_KI270741v1	0.92
chrUn_KI270742v1	2.46
chrUn_KI270743v1	0.85
chrUn_KI270744v1	4.45
chrUn_KI270745v1	0.62
chrUn_KI270746v1	2.42
chrUn_KI270747v1	0.41
chrUn_KI270748v1	0.66
chrUn_KI270749v1	1.38
chrUn_KI270750v1	1.25
chrUn_KI270751v1	2.96
chrUn_KI270753v1	1.28
chrUn_KI270754v1	2.29
chrUn_KI270755v1	0.61
chrUn_KI270756v1	0.90
chrUn_KI270757v1	2.54
chrX	0.81
chrY	0.02

Path	/work/aligned_reads/example_aligned/example_aligned.bam
Creation time	NA
